money_type,warning_amount,error_amount
0,3000000,40000000
1,1000,20000
2,2000,10000
10,1500000,20000000
11,1500000,20000000
12,1500000,20000000
15,300,2000
20,500,20000
25,50000,1000000
30,30,1000
31,15,100
32,100,10000
35,100,10000
36,100,10000
37,100,10000
40,20,1000
41,10000,20000
42,10,100
45,30,1000
46,10000,100000
50,50,500
51,15,200
52,5,500
60,6,100
61,100,1000
70,300,3000
71,5,10
75,5,10
76,5,10
77,5,10
80,200,100000
85,5,10
90,10,500
91,5,500
100,5000,32000
110,5,10000
112,10,20
113,100000,1000000000
115,1000,500000
116,1000,500000
117,1000,500000
118,1000,500000
119,1000,500000
120,400,2000
121,400,15000
122,5,10
123,5,10
124,5,10
130,1000000,2000000000
131,1000000,2000000000
135,1000000,2000000000
136,1000000,2000000000
140,1000000,2000000000
141,1000000,2000000000
142,1000000,2000000000
150,10000,1000000
151,10000,1000000
152,10000,1000000
153,10000,1000000
154,10000,1000000
160,10000,1000000
165,1000,100000
166,1000,100000
167,5000,100000
168,5000,100000
170,10000,1000000
180,1000,10000
181,1000,10000
190,10000,1000000
191,10000,1000000
195,10000,1000000
200,1000,1000000
201,1000,1000000
202,1000,1000000
203,1000,1000000
204,1000,1000000
205,1000,1000000
206,1000,1000000
207,1000,1000000
208,1000,1000000
209,1000,1000000
210,1000,1000000
211,1000,1000000
220,1000,1000000
221,1000,1000000
222,1000,1000000
225,1000,1000000
230,1000,1000000
235,1000,1000000
236,1000,1000000
237,1000,1000000
238,1000,1000000
239,1000,1000000
240,1000,1000000
241,1000,1000000
242,1000,1000000
243,1000,1000000
244,1000,1000000
245,1000,1000000
246,1000,1000000
250,1000,1000000
251,1000,1000000
