bot_id,elo,define_summoner_id,id_team_level,id_team_star,formation_id,hero_1,hero_2,hero_3,hero_4,hero_5,boss_slot,id_team_item,id_team_mastery
1,800,1,521,453,4,40013,20017,40019,50022,10026,-1,,
2,805,1,622,453,4,30015,20022,60017,20013,30022,-1,,
3,810,1,723,453,4,30025,60022,30016,40017,40013,-1,,
4,815,1,824,453,4,30025,10019,60022,30015,60017,-1,,
5,820,1,925,453,4,40019,20022,60017,20022,40019,-1,,
6,825,1,1026,453,4,10024,20018,10025,60016,60016,-1,,
7,830,1,1127,453,4,20019,30024,50019,10014,10026,-1,,
8,835,1,1228,453,4,60017,60024,10014,30015,40017,-1,,
9,840,1,1329,453,4,30021,40020,20021,40018,40017,-1,,
10,845,1,1430,453,4,30017,10019,30021,20023,50017,-1,,
11,850,1,1531,453,4,20022,40018,30026,10022,20018,-1,,
12,855,1,1632,453,4,30024,10020,50023,40020,60024,-1,,
13,860,1,1733,453,4,30023,60016,50022,40020,10020,-1,,
14,865,1,1834,453,4,50019,40014,30025,60016,30023,-1,,
15,870,1,1935,453,4,50017,30017,30022,40016,10019,-1,,
16,875,1,2036,453,4,30021,40016,10023,60019,60025,-1,,
17,880,1,537,453,4,20013,40016,30015,60019,50020,-1,,
18,885,1,638,453,4,50018,10020,20017,50017,60025,-1,,
19,890,1,739,453,4,40017,60019,50018,30015,60016,-1,,
20,895,1,840,453,4,60025,60025,30021,20015,50024,-1,,
21,900,1,941,453,4,30021,30017,20021,10014,40017,-1,,
22,905,1,1042,453,4,40013,50021,30017,50017,60017,-1,,
23,910,1,1143,453,4,40013,10022,50024,40020,60025,-1,,
24,915,1,1244,453,4,30016,50020,50023,50016,60016,-1,,
25,920,1,1345,453,4,40020,60023,40018,20022,10014,-1,,
26,925,1,1446,453,4,20015,10019,60016,30015,10022,-1,,
27,930,1,1547,453,4,10021,60022,10026,40019,40013,-1,,
28,935,1,1648,453,4,50024,30017,10023,10019,40014,-1,,
29,940,1,1749,453,4,60022,30021,20017,10019,10014,-1,,
30,945,1,1850,453,4,50023,10014,50020,60022,30026,-1,,
31,950,1,1951,453,4,10024,40016,40018,60019,10026,-1,,
32,955,1,2052,453,4,50022,10022,50018,60023,60020,-1,,
33,960,1,553,453,4,20020,30022,10023,20013,60017,-1,,
34,965,1,654,453,4,60018,60025,50022,40013,60022,-1,,
35,970,1,755,453,4,50022,30017,40016,20021,40019,-1,,
36,975,1,856,453,4,30017,10025,20015,20013,10022,-1,,
37,980,1,957,453,4,60019,40014,10021,50020,60022,-1,,
38,985,1,1058,453,4,50022,50019,50018,40018,60024,-1,,
39,990,1,1159,453,4,50023,50020,50016,50023,50016,-1,,
40,995,1,1260,453,4,40014,60020,20021,40017,60016,-1,,
41,1005,2,1561,454,3,30023,40026,50013,30013,40015,-1,,
42,1015,3,1662,454,4,30022,40012,30023,30017,40016,-1,,
43,1025,4,1763,454,3,10023,60020,60014,60026,40022,-1,,
44,1035,5,1864,454,4,40013,50013,30026,10016,20016,-1,,
45,1045,2,1965,454,3,20018,10021,40022,20012,50024,-1,,
46,1055,3,2066,454,4,50014,30014,30012,10022,60016,-1,,
47,1065,4,2167,454,3,10021,60014,10014,20016,20016,-1,,
48,1075,5,2268,454,4,20019,10018,20020,20024,10020,-1,,
49,1085,2,2369,454,3,50020,40023,30022,40012,30013,-1,,
50,1095,3,2470,454,4,60026,30022,10020,10018,30014,-1,,
51,1105,4,2571,454,3,40023,60022,50019,60014,60012,-1,,
