delta_elo,elo_win_min,elo_win_max,elo_lose_min,elo_lose_max
-3000,43,44,5,6
-2900,42,43,6,7
-2800,42,43,6,7
-2700,42,43,6,7
-2600,41,42,7,8
-2500,41,42,7,8
-2400,41,42,7,8
-2300,40,41,8,9
-2200,40,41,8,9
-2100,40,41,8,9
-2000,39,40,9,10
-1900,38,39,10,11
-1800,37,38,11,12
-1700,36,37,12,13
-1600,35,36,13,14
-1500,34,35,14,15
-1400,33,34,15,16
-1300,32,33,16,17
-1200,31,32,17,18
-1100,30,31,18,19
-1000,29,30,19,20
-900,28,29,20,21
-800,28,29,20,21
-700,27,28,21,22
-600,27,28,21,22
-500,26,27,22,23
-400,26,27,22,23
-300,25,26,23,24
-200,25,26,23,24
-100,24,25,24,25
0,24,25,24,25
100,24,25,24,25
200,23,24,25,26
300,23,24,25,26
400,22,23,26,27
500,22,23,26,27
600,21,22,27,28
700,21,22,27,28
800,20,21,28,29
900,20,21,28,29
1000,19,20,29,30
1100,18,19,30,31
1200,17,18,31,32
1300,16,17,32,33
1400,15,16,33,34
1500,14,15,34,35
1600,13,14,35,36
1700,12,13,36,37
1800,11,12,37,38
1900,10,11,38,39
2000,9,10,39,40
2100,8,9,40,41
2200,8,9,40,41
2300,8,9,40,41
2400,7,8,41,42
2500,7,8,41,42
2600,7,8,41,42
2700,6,7,42,43
2800,6,7,42,43
2900,6,7,42,43
3000,5,6,43,44
