bot_id,elo,define_summoner_id,id_team_level,id_team_star,formation_id,hero_1,hero_2,hero_3,hero_4,hero_5,boss_slot,id_team_item,id_team_mastery
1,800,1,400,453,4,40013,20017,40019,50022,10026,-1,,
,,1,421,453,4,20021,30023,40024,10016,20015,-1,,
,,1,476,453,4,10017,40022,60026,30013,50019,-1,,
2,825,1,622,453,4,30015,20022,60017,20013,30022,-1,,
,,1,723,453,4,30025,60022,30016,40017,40013,-1,,
,,1,824,453,4,30025,10019,60022,30015,60017,-1,,
3,850,1,925,453,4,40019,20022,60017,20022,40019,-1,,
,,1,1026,453,4,10024,20018,10025,60016,60016,-1,,
,,1,1127,453,4,20019,30024,50019,10014,10026,-1,,
4,875,1,1531,453,4,20022,40018,30026,10022,20018,-1,,
,,1,1632,453,4,30024,10020,50023,40020,60024,-1,,
,,1,1733,453,4,30023,60016,50022,40020,10020,-1,,
5,900,1,537,453,4,20013,40016,30015,60019,50020,-1,,
,,1,638,453,4,50018,10020,20017,50017,60025,-1,,
,,1,739,453,4,40017,60019,50018,30015,60016,-1,,
6,925,1,1143,453,4,40013,10022,50024,40020,60025,-1,,
,,1,1244,453,4,30016,50020,50023,50016,60016,-1,,
,,1,1345,453,4,40020,60023,40018,20022,10014,-1,,
7,950,1,1446,453,4,20015,10019,60016,30015,10022,-1,,
,,1,1547,453,4,10021,60022,10026,40019,40013,-1,,
,,1,1648,453,4,50024,30017,10023,10019,40014,-1,,
8,975,1,1749,453,4,60022,30021,20017,10019,10014,-1,,
,,1,1850,453,4,50023,10014,50020,60022,30026,-1,,
,,1,1951,453,4,10024,40016,40018,60019,10026,-1,,
9,1000,1,2052,453,4,50022,10022,50018,60023,60020,-1,,
,,1,1524,453,4,10018,30010,20026,50024,40024,-1,,
,,1,1725,453,4,20023,50023,40012,30013,10017,-1,,
10,1025,1,1869,453,4,20020,30022,10023,20013,60017,-1,,
,,1,1900,453,4,20025,40025,50024,30010,50025,-1,,
,,1,2001,453,4,30013,10013,40026,10017,20012,-1,,
11,1050,1,1876,453,4,60018,60025,50022,40013,60022,-1,,
,,1,2001,453,4,10018,50015,60012,40026,60013,-1,,
,,1,2110,453,4,40025,30013,10015,20016,50005,-1,,
12,1075,1,1854,453,4,50022,30017,40016,20021,40019,-1,,
,,1,1932,453,4,40012,10013,20024,50005,60013,-1,,
,,1,2078,453,4,10018,50013,60014,20025,30013,-1,,
13,1100,1,1945,453,4,30017,10025,20015,20013,10022,-1,,
,,1,2101,453,4,60013,50014,40012,30019,50015,-1,,
,,1,2234,453,4,50005,30018,60026,50013,40025,-1,,
14,1125,1,1143,453,4,40013,10022,50024,40020,60025,-1,,
,,1,1244,453,4,30016,50020,50023,50016,60016,-1,,
,,1,1345,453,4,40020,60023,40018,20022,10014,-1,,
15,1150,4,2975,454,3,40023,10017,50024,40021,10025,-1,,
,,5,3076,454,4,20013,30024,60018,30026,10023,-1,,
,,2,1577,454,3,30018,60012,50022,10015,30021,-1,,
16,1175,3,1678,454,4,40024,60024,30022,10014,50014,-1,,
,,4,1779,454,3,30020,50005,10017,30022,50024,-1,,
