stage,group,group_rate,res_type,res_id,res_number,item_rate,initial_production_number,production_number,production_interval
101001,0,39,2,10,1,1,,,
,1,1,2,11,1,1,,,
101002,0,39,2,10,1,1,,,
,1,1,2,11,1,1,,,
101003,0,39,2,10,1,1,,,
,1,1,2,11,1,1,,,
101004,0,39,2,10,1,1,,,
,1,1,2,11,1,1,,,
101005,0,39,2,10,1,1,,,
,1,1,2,11,1,1,,,
101006,0,39,2,10,1,1,,,
,1,1,2,11,1,1,,,
101007,0,39,2,10,1,1,,,
,1,1,2,11,1,1,,,
101008,0,39,2,10,1,1,,,
,1,1,2,11,1,1,,,
101009,0,39,2,10,1,1,,,
,1,1,2,11,1,1,,,
101010,0,39,2,10,1,1,,,
,1,1,2,11,1,1,,,
102001,0,39,2,10,1,1,,,
,1,1,2,11,1,1,,,
102002,0,39,2,10,1,1,,,
,1,1,2,11,1,1,,,
102003,0,39,2,10,1,1,,,
,1,1,2,11,1,1,,,
102004,0,39,2,10,1,1,,,
,1,1,2,11,1,1,,,
102005,0,39,2,10,1,1,,,
,1,1,2,11,1,1,,,
102006,0,39,2,10,1,1,,,
,1,1,2,11,1,1,,,
102007,0,39,2,10,1,1,,,
,1,1,2,11,1,1,,,
102008,0,39,2,10,1,1,,,
,1,1,2,11,1,1,,,
102009,0,39,2,10,1,1,,,
,1,1,2,11,1,1,,,
102010,0,39,2,10,1,1,,,
,1,1,2,11,1,1,,,
102011,0,39,2,10,1,1,,,
,1,1,2,11,1,1,,,
102012,0,39,2,10,1,1,,,
,1,1,2,11,1,1,,,
102013,0,39,2,10,1,1,,,
,1,1,2,11,1,1,,,
102014,0,39,2,10,1,1,,,
,1,1,2,11,1,1,,,
102015,0,39,2,10,1,1,,,
,1,1,2,11,1,1,,,
103001,0,39,2,10,1,1,,,
,1,1,2,11,1,1,,,
103002,0,39,2,10,1,1,,,
,1,1,2,11,1,1,,,
103003,0,39,2,10,1,1,,,
,1,1,2,11,1,1,,,
103004,0,39,2,10,1,1,,,
,1,1,2,11,1,1,,,
103005,0,39,2,10,1,1,,,
,1,1,2,11,1,1,,,
103006,0,39,2,10,1,1,,,
,1,1,2,11,1,1,,,
103007,0,39,2,10,1,1,,,
,1,1,2,11,1,1,,,
103008,0,39,2,10,1,1,,,
,1,1,2,11,1,1,,,
103009,0,39,2,10,1,1,,,
,1,1,2,11,1,1,,,
103010,0,39,2,10,1,1,,,
,1,1,2,11,1,1,,,
103011,0,39,2,10,1,1,,,
,1,1,2,11,1,1,,,
103012,0,39,2,10,1,1,,,
,1,1,2,11,1,1,,,
103013,0,39,2,10,1,1,,,
,1,1,2,11,1,1,,,
103014,0,39,2,10,1,1,,,
,1,1,2,11,1,1,,,
103015,0,39,2,10,1,1,,,
,1,1,2,11,1,1,,,
103016,0,39,2,10,1,1,,,
,1,1,2,11,1,1,,,
103017,0,39,2,10,1,1,,,
,1,1,2,11,1,1,,,
103018,0,39,2,10,1,1,,,
,1,1,2,11,1,1,,,
103019,0,39,2,10,1,1,,,
,1,1,2,11,1,1,,,
103020,0,39,2,10,1,1,,,
,1,1,2,11,1,1,,,
104001,0,39,2,10,1,1,,,
,1,1,2,11,1,1,,,
104002,0,39,2,10,1,1,,,
,1,1,2,11,1,1,,,
104003,0,39,2,10,1,1,,,
,1,1,2,11,1,1,,,
104004,0,39,2,10,1,1,,,
,1,1,2,11,1,1,,,
104005,0,39,2,10,1,1,,,
,1,1,2,11,1,1,,,
104006,0,39,2,10,1,1,,,
,1,1,2,11,1,1,,,
104007,0,39,2,10,1,1,,,
,1,1,2,11,1,1,,,
104008,0,39,2,10,1,1,,,
,1,1,2,11,1,1,,,
104009,0,39,2,10,1,1,,,
,1,1,2,11,1,1,,,
104010,0,39,2,10,1,1,,,
,1,1,2,11,1,1,,,
104011,0,39,2,10,1,1,,,
,1,1,2,11,1,1,,,
104012,0,39,2,10,1,1,,,
,1,1,2,11,1,1,,,
104013,0,39,2,10,1,1,,,
,1,1,2,11,1,1,,,
104014,0,39,2,10,1,1,,,
,1,1,2,11,1,1,,,
104015,0,39,2,10,1,1,,,
,1,1,2,11,1,1,,,
104016,0,39,2,10,1,1,,,
,1,1,2,11,1,1,,,
104017,0,39,2,10,1,1,,,
,1,1,2,11,1,1,,,
104018,0,39,2,10,1,1,,,
,1,1,2,11,1,1,,,
104019,0,39,2,10,1,1,,,
,1,1,2,11,1,1,,,
104020,0,39,2,10,1,1,,,
,1,1,2,11,1,1,,,
104021,0,39,2,10,1,1,,,
,1,1,2,11,1,1,,,
104022,0,39,2,10,1,1,,,
,1,1,2,11,1,1,,,
104023,0,39,2,10,1,1,,,
,1,1,2,11,1,1,,,
104024,0,39,2,10,1,1,,,
,1,1,2,11,1,1,,,
104025,0,39,2,10,1,1,,,
,1,1,2,11,1,1,,,
105001,0,39,2,10,1,1,,,
,1,1,2,11,1,1,,,
105002,0,39,2,10,1,1,,,
,1,1,2,11,1,1,,,
105003,0,39,2,10,1,1,,,
,1,1,2,11,1,1,,,
105004,0,39,2,10,1,1,,,
,1,1,2,11,1,1,,,
105005,0,39,2,10,1,1,,,
,1,1,2,11,1,1,,,
105006,0,39,2,10,1,1,,,
,1,1,2,11,1,1,,,
105007,0,39,2,10,1,1,,,
,1,1,2,11,1,1,,,
105008,0,39,2,10,1,1,,,
,1,1,2,11,1,1,,,
105009,0,39,2,10,1,1,,,
,1,1,2,11,1,1,,,
105010,0,39,2,10,1,1,,,
,1,1,2,11,1,1,,,
105011,0,39,2,10,1,1,,,
,1,1,2,11,1,1,,,
105012,0,39,2,10,1,1,,,
,1,1,2,11,1,1,,,
105013,0,39,2,10,1,1,,,
,1,1,2,11,1,1,,,
105014,0,39,2,10,1,1,,,
,1,1,2,11,1,1,,,
105015,0,39,2,10,1,1,,,
,1,1,2,11,1,1,,,
105016,0,39,2,10,1,1,,,
,1,1,2,11,1,1,,,
105017,0,39,2,10,1,1,,,
,1,1,2,11,1,1,,,
105018,0,39,2,10,1,1,,,
,1,1,2,11,1,1,,,
105019,0,39,2,10,1,1,,,
,1,1,2,11,1,1,,,
105020,0,39,2,10,1,1,,,
,1,1,2,11,1,1,,,
105021,0,39,2,10,1,1,,,
,1,1,2,11,1,1,,,
105022,0,39,2,10,1,1,,,
,1,1,2,11,1,1,,,
105023,0,39,2,10,1,1,,,
,1,1,2,11,1,1,,,
105024,0,39,2,10,1,1,,,
,1,1,2,11,1,1,,,
105025,0,39,2,10,1,1,,,
,1,1,2,11,1,1,,,
105026,0,39,2,10,1,1,,,
,1,1,2,11,1,1,,,
105027,0,39,2,10,1,1,,,
,1,1,2,11,1,1,,,
105028,0,39,2,10,1,1,,,
,1,1,2,11,1,1,,,
105029,0,39,2,10,1,1,,,
,1,1,2,11,1,1,,,
105030,0,39,2,10,1,1,,,
,1,1,2,11,1,1,,,
201001,0,232,2,10,1,1,,,
,1,8,2,11,1,1,,,
,2,23,3,1011,1,1,,,
,,,3,2011,1,1,,,
,,,3,3011,1,1,,,
,,,3,4011,1,1,,,
,3,6,3,1012,1,1,,,
,,,3,2012,1,1,,,
,,,3,3012,1,1,,,
,,,3,4012,1,1,,,
,4,1,3,1013,1,1,,,
,,,3,2013,1,1,,,
,,,3,3013,1,1,,,
,,,3,4013,1,1,,,
201002,0,232,2,10,1,1,,,
,1,8,2,11,1,1,,,
,2,23,3,1011,1,1,,,
,,,3,2011,1,1,,,
,,,3,3011,1,1,,,
,,,3,4011,1,1,,,
,3,6,3,1012,1,1,,,
,,,3,2012,1,1,,,
,,,3,3012,1,1,,,
,,,3,4012,1,1,,,
,4,1,3,1013,1,1,,,
,,,3,2013,1,1,,,
,,,3,3013,1,1,,,
,,,3,4013,1,1,,,
201003,0,232,2,10,1,1,,,
,1,8,2,11,1,1,,,
,2,23,3,1011,1,1,,,
,,,3,2011,1,1,,,
,,,3,3011,1,1,,,
,,,3,4011,1,1,,,
,3,6,3,1012,1,1,,,
