stage,exp_train,res_type,res_id,res_number
101001,1,2,0,20
,,2,10,10
101002,1,2,0,20
,,2,10,10
101003,1,2,0,20
,,2,10,10
,,8,0,50
101004,1,2,0,20
,,2,10,10
,,8,0,50
101005,1,2,0,20
,,2,10,10
,,8,0,50
101006,1,2,0,22
,,2,10,11
,,8,0,51
101007,1,2,0,22
,,2,10,11
,,8,0,51
101008,1,2,0,22
,,2,10,11
,,8,0,51
101009,1,2,0,22
,,2,10,11
,,8,0,51
101010,1,2,0,22
,,2,10,11
,,8,0,51
102001,1,2,0,24
,,2,10,12
,,8,0,52
102002,1,2,0,24
,,2,10,12
,,8,0,52
102003,1,2,0,24
,,2,10,12
,,8,0,52
102004,1,2,0,24
,,2,10,12
,,8,0,52
102005,1,2,0,24
,,2,10,12
,,8,0,52
102006,1,2,0,26
,,2,10,13
,,8,0,53
102007,1,2,0,26
,,2,10,13
,,8,0,53
102008,1,2,0,26
,,2,10,13
,,8,0,53
102009,1,2,0,26
,,2,10,13
,,8,0,53
102010,1,2,0,26
,,2,10,13
,,8,0,53
102011,1,2,0,28
,,2,10,14
,,8,0,54
102012,1,2,0,28
,,2,10,14
,,8,0,54
102013,1,2,0,28
,,2,10,14
,,8,0,54
102014,1,2,0,28
,,2,10,14
,,8,0,54
102015,1,2,0,28
,,2,10,14
,,8,0,54
103001,1,2,0,30
,,2,10,15
,,8,0,55
103002,1,2,0,30
,,2,10,15
,,8,0,55
103003,1,2,0,30
,,2,10,15
,,8,0,55
103004,1,2,0,30
,,2,10,15
,,8,0,55
103005,1,2,0,30
,,2,10,15
,,8,0,55
103006,1,2,0,32
,,2,10,16
,,8,0,56
103007,1,2,0,32
,,2,10,16
,,8,0,56
103008,1,2,0,32
,,2,10,16
,,8,0,56
103009,1,2,0,32
,,2,10,16
,,8,0,56
103010,1,2,0,32
,,2,10,16
,,8,0,56
103011,1,2,0,34
,,2,10,17
,,8,0,57
103012,1,2,0,34
,,2,10,17
,,8,0,57
103013,1,2,0,34
,,2,10,17
,,8,0,57
103014,1,2,0,34
,,2,10,17
,,8,0,57
103015,1,2,0,34
,,2,10,17
,,8,0,57
103016,1,2,0,36
,,2,10,18
,,8,0,58
103017,1,2,0,36
,,2,10,18
,,8,0,58
103018,1,2,0,36
,,2,10,18
,,8,0,58
103019,1,2,0,36
,,2,10,18
,,8,0,58
103020,1,2,0,36
,,2,10,18
,,8,0,58
104001,1,2,0,38
,,2,10,19
,,8,0,59
104002,1,2,0,38
,,2,10,19
,,8,0,59
104003,1,2,0,38
,,2,10,19
,,8,0,59
104004,1,2,0,38
,,2,10,19
,,8,0,59
104005,1,2,0,38
,,2,10,19
,,8,0,59
104006,1,2,0,40
,,2,10,20
,,8,0,60
104007,1,2,0,40
,,2,10,20
,,8,0,60
104008,1,2,0,40
,,2,10,20
,,8,0,60
104009,1,2,0,40
,,2,10,20
,,8,0,60
104010,1,2,0,40
,,2,10,20
,,8,0,60
104011,1,2,0,42
,,2,10,21
,,8,0,61
104012,1,2,0,42
,,2,10,21
,,8,0,61
104013,1,2,0,42
,,2,10,21
,,8,0,61
104014,1,2,0,42
,,2,10,21
,,8,0,61
104015,1,2,0,42
,,2,10,21
,,8,0,61
104016,1,2,0,44
,,2,10,22
,,8,0,62
104017,1,2,0,44
,,2,10,22
,,8,0,62
104018,1,2,0,44
,,2,10,22
,,8,0,62
104019,1,2,0,44
,,2,10,22
,,8,0,62
104020,1,2,0,44
,,2,10,22
,,8,0,62
104021,1,2,0,46
,,2,10,23
,,8,0,63
104022,1,2,0,46
,,2,10,23
,,8,0,63
104023,1,2,0,46
,,2,10,23
,,8,0,63
104024,1,2,0,46
,,2,10,23
,,8,0,63
104025,1,2,0,46
,,2,10,23
,,8,0,63
105001,1,2,0,48
,,2,10,24
,,8,0,64
105002,1,2,0,48
