stage,level_required
101001,1
101002,1
101003,1
101004,1
101005,1
101006,1
101007,1
101008,1
101009,1
101010,1
102001,1
102002,1
102003,1
102004,1
102005,1
102006,1
102007,1
102008,1
102009,1
102010,1
102011,1
102012,1
102013,1
102014,1
102015,1
103001,1
103002,1
103003,1
103004,1
103005,1
103006,1
103007,1
103008,1
103009,1
103010,1
103011,1
103012,1
103013,1
103014,1
103015,1
103016,1
103017,1
103018,1
103019,1
103020,1
104001,1
104002,1
104003,1
104004,1
104005,1
104006,1
104007,1
104008,1
104009,1
104010,1
104011,1
104012,1
104013,1
104014,1
104015,1
104016,1
104017,1
104018,1
104019,1
104020,1
104021,1
104022,1
104023,1
104024,1
104025,1
105001,1
105002,1
105003,1
105004,1
105005,1
105006,1
105007,1
105008,1
105009,1
105010,1
105011,1
105012,1
105013,1
105014,1
105015,1
105016,1
105017,1
105018,1
105019,1
105020,1
105021,1
105022,1
105023,1
105024,1
105025,1
105026,1
105027,1
105028,1
105029,1
105030,1
201001,1
201002,1
201003,1
201004,1
201005,1
201006,1
201007,1
201008,1
201009,1
201010,1
201011,1
201012,1
201013,1
201014,1
201015,1
202001,1
202002,1
202003,1
202004,1
202005,1
202006,1
202007,1
202008,1
202009,1
202010,1
202011,1
202012,1
202013,1
202014,1
202015,1
202016,1
202017,1
202018,1
202019,1
202020,1
203001,1
203002,1
203003,1
203004,1
203005,1
203006,1
203007,1
203008,1
203009,1
203010,1
203011,1
203012,1
203013,1
203014,1
203015,1
203016,1
203017,1
203018,1
203019,1
203020,1
203021,1
203022,1
203023,1
203024,1
203025,1
204001,1
204002,1
204003,1
204004,1
204005,1
204006,1
204007,1
204008,1
204009,1
204010,1
204011,1
204012,1
204013,1
204014,1
204015,1
204016,1
204017,1
204018,1
204019,1
204020,1
204021,1
204022,1
204023,1
204024,1
204025,1
204026,1
204027,1
204028,1
204029,1
204030,1
205001,1
205002,1
205003,1
205004,1
205005,1
205006,1
205007,1
205008,1
205009,1
205010,1
205011,1
205012,1
205013,1
205014,1
205015,1
205016,1
205017,1
205018,1
205019,1
205020,1
205021,1
205022,1
205023,1
205024,1
205025,1
205026,1
205027,1
205028,1
205029,1
205030,1
205031,1
205032,1
205033,1
205034,1
205035,1
206001,1
206002,1
206003,1
206004,1
206005,1
206006,1
206007,1
206008,1
206009,1
206010,1
206011,1
206012,1
206013,1
206014,1
206015,1
206016,1
206017,1
206018,1
206019,1
206020,1
206021,1
206022,1
206023,1
206024,1
206025,1
206026,1
206027,1
206028,1
206029,1
206030,1
206031,1
206032,1
206033,1
206034,1
206035,1
301001,1
301002,1
301003,1
301004,1
301005,1
301006,1
301007,1
301008,1
301009,1
301010,1
301011,1
301012,1
301013,1
301014,1
301015,1
301016,1
301017,1
301018,1
301019,1
301020,1
302001,1
302002,1
302003,1
302004,1
302005,1
302006,1
302007,1
302008,1
302009,1
302010,1
302011,1
302012,1
302013,1
302014,1
302015,1
302016,1
302017,1
302018,1
302019,1
302020,1
302021,1
302022,1
302023,1
302024,1
302025,1
303001,1
303002,1
303003,1
303004,1
303005,1
303006,1
303007,1
303008,1
303009,1
303010,1
303011,1
303012,1
303013,1
303014,1
303015,1
303016,1
303017,1
303018,1
303019,1
303020,1
303021,1
303022,1
303023,1
303024,1
303025,1
303026,1
303027,1
303028,1
303029,1
303030,1
304001,1
304002,1
304003,1
304004,1
304005,1
304006,1
304007,1
304008,1
304009,1
304010,1
304011,1
304012,1
304013,1
304014,1
304015,1
304016,1
304017,1
304018,1
304019,1
304020,1
304021,1
304022,1
304023,1
304024,1
304025,1
304026,1
304027,1
304028,1
304029,1
304030,1
305001,1
305002,1
305003,1
305004,1
305005,1
305006,1
305007,1
305008,1
305009,1
305010,1
305011,1
305012,1
305013,1
305014,1
305015,1
305016,1
305017,1
305018,1
305019,1
305020,1
305021,1
305022,1
305023,1
305024,1
305025,1
305026,1
305027,1
305028,1
305029,1
305030,1
305031,1
305032,1
305033,1
305034,1
305035,1
306001,1
306002,1
306003,1
306004,1
306005,1
306006,1
306007,1
306008,1
306009,1
306010,1
306011,1
306012,1
306013,1
306014,1
306015,1
306016,1
306017,1
306018,1
306019,1
306020,1
306021,1
306022,1
306023,1
306024,1
306025,1
306026,1
306027,1
306028,1
306029,1
306030,1
306031,1
306032,1
306033,1
306034,1
306035,1
306036,1
306037,1
306038,1
306039,1
306040,1
307001,1
307002,1
307003,1
307004,1
307005,1
307006,1
307007,1
307008,1
307009,1
307010,1
307011,1
307012,1
307013,1
307014,1
307015,1
307016,1
307017,1
307018,1
307019,1
307020,1
307021,1
307022,1
307023,1
307024,1
307025,1
307026,1
307027,1
307028,1
307029,1
307030,1
307031,1
307032,1
307033,1
307034,1
307035,1
307036,1
307037,1
307038,1
307039,1
307040,1
307041,1
307042,1
307043,1
307044,1
307045,1
401001,1
401002,1
401003,1
401004,1
401005,1
401006,1
401007,1
401008,1
401009,1
401010,1
401011,1
401012,1
401013,1
401014,1
401015,1
401016,1
401017,1
401018,1
401019,1
401020,1
401021,1
401022,1
401023,1
401024,1
401025,1
402001,1
402002,1
402003,1
402004,1
402005,1
402006,1
402007,1
402008,1
402009,1
402010,1
402011,1
402012,1
402013,1
402014,1
402015,1
402016,1
402017,1
402018,1
402019,1
402020,1
402021,1
402022,1
402023,1
402024,1
402025,1
402026,1
402027,1
402028,1
402029,1
402030,1
403001,1
403002,1
403003,1
403004,1
403005,1
403006,1
403007,1
403008,1
403009,1
403010,1
403011,1
403012,1
403013,1
403014,1
403015,1
403016,1
403017,1
403018,1
403019,1
403020,1
403021,1
403022,1
403023,1
403024,1
403025,1
403026,1
403027,1
403028,1
403029,1
403030,1
403031,1
403032,1
403033,1
403034,1
403035,1
404001,1
404002,1
404003,1
404004,1
404005,1
404006,1
404007,1
404008,1
404009,1
404010,1
404011,1
404012,1
404013,1
404014,1
404015,1
404016,1
404017,1
404018,1
404019,1
404020,1
404021,1
404022,1
404023,1
404024,1
404025,1
404026,1
404027,1
404028,1
404029,1
404030,1
404031,1
404032,1
404033,1
404034,1
404035,1
405001,1
405002,1
405003,1
405004,1
405005,1
405006,1
405007,1
405008,1
405009,1
405010,1
405011,1
405012,1
405013,1
405014,1
405015,1
405016,1
405017,1
405018,1
405019,1
405020,1
405021,1
405022,1
405023,1
405024,1
405025,1
405026,1
405027,1
405028,1
405029,1
405030,1
405031,1
405032,1
405033,1
405034,1
405035,1
405036,1
405037,1
405038,1
405039,1
405040,1
406001,1
406002,1
406003,1
406004,1
406005,1
406006,1
406007,1
406008,1
406009,1
406010,1
406011,1
406012,1
406013,1
406014,1
406015,1
406016,1
406017,1
406018,1
406019,1
406020,1
406021,1
406022,1
406023,1
406024,1
406025,1
406026,1
406027,1
406028,1
406029,1
406030,1
406031,1
406032,1
406033,1
406034,1
406035,1
406036,1
406037,1
406038,1
406039,1
406040,1
406041,1
406042,1
406043,1
406044,1
406045,1
406046,1
406047,1
406048,1
406049,1
406050,1
407001,1
407002,1
407003,1
407004,1
407005,1
407006,1
407007,1
407008,1
407009,1
407010,1
407011,1
407012,1
407013,1
407014,1
407015,1
407016,1
407017,1
407018,1
407019,1
407020,1
407021,1
407022,1
407023,1
407024,1
407025,1
407026,1
407027,1
407028,1
407029,1
407030,1
407031,1
407032,1
407033,1
407034,1
407035,1
407036,1
407037,1
407038,1
407039,1
407040,1
407041,1
407042,1
407043,1
407044,1
407045,1
407046,1
407047,1
407048,1
407049,1
407050,1
408001,1
408002,1
408003,1
408004,1
408005,1
408006,1
408007,1
408008,1
408009,1
408010,1
408011,1
408012,1
408013,1
408014,1
408015,1
408016,1
408017,1
408018,1
408019,1
408020,1
408021,1
408022,1
408023,1
408024,1
408025,1
408026,1
408027,1
408028,1
408029,1
408030,1
408031,1
408032,1
408033,1
408034,1
408035,1
408036,1
408037,1
408038,1
408039,1
408040,1
408041,1
408042,1
408043,1
408044,1
408045,1
408046,1
408047,1
408048,1
408049,1
408050,1
408051,1
408052,1
408053,1
408054,1
408055,1
501001,1
501002,1
501003,1
501004,1
501005,1
501006,1
501007,1
501008,1
501009,1
501010,1
501011,1
501012,1
501013,1
501014,1
501015,1
501016,1
501017,1
501018,1
501019,1
501020,1
501021,1
501022,1
501023,1
501024,1
501025,1
501026,1
501027,1
501028,1
501029,1
501030,1
502001,1
502002,1
502003,1
502004,1
502005,1
502006,1
502007,1
502008,1
502009,1
502010,1
502011,1
502012,1
502013,1
502014,1
502015,1
502016,1
502017,1
502018,1
502019,1
502020,1
502021,1
502022,1
502023,1
502024,1
502025,1
502026,1
502027,1
502028,1
502029,1
502030,1
502031,1
502032,1
502033,1
502034,1
502035,1
503001,1
503002,1
503003,1
503004,1
503005,1
503006,1
503007,1
503008,1
503009,1
503010,1
503011,1
503012,1
503013,1
503014,1
503015,1
503016,1
503017,1
503018,1
503019,1
503020,1
503021,1
503022,1
503023,1
503024,1
503025,1
503026,1
503027,1
503028,1
503029,1
503030,1
503031,1
503032,1
503033,1
503034,1
503035,1
503036,1
503037,1
503038,1
503039,1
503040,1
504001,1
504002,1
504003,1
504004,1
504005,1
504006,1
504007,1
504008,1
504009,1
504010,1
504011,1
504012,1
504013,1
504014,1
504015,1
504016,1
504017,1
504018,1
504019,1
504020,1
504021,1
504022,1
504023,1
504024,1
504025,1
504026,1
504027,1
504028,1
504029,1
504030,1
504031,1
504032,1
504033,1
504034,1
504035,1
504036,1
504037,1
504038,1
504039,1
504040,1
504041,1
504042,1
504043,1
504044,1
504045,1
505001,1
505002,1
505003,1
505004,1
505005,1
505006,1
505007,1
505008,1
505009,1
505010,1
505011,1
505012,1
505013,1
505014,1
505015,1
505016,1
505017,1
505018,1
505019,1
505020,1
505021,1
505022,1
505023,1
505024,1
505025,1
505026,1
505027,1
505028,1
505029,1
505030,1
505031,1
505032,1
505033,1
505034,1
505035,1
505036,1
505037,1
505038,1
505039,1
505040,1
505041,1
505042,1
505043,1
505044,1
505045,1
505046,1
505047,1
505048,1
505049,1
505050,1
506001,1
506002,1
506003,1
506004,1
506005,1
506006,1
506007,1
506008,1
506009,1
506010,1
506011,1
506012,1
506013,1
506014,1
506015,1
506016,1
506017,1
506018,1
506019,1
506020,1
506021,1
506022,1
506023,1
506024,1
506025,1
506026,1
506027,1
506028,1
506029,1
506030,1
506031,1
506032,1
506033,1
506034,1
506035,1
506036,1
506037,1
506038,1
506039,1
506040,1
506041,1
506042,1
506043,1
506044,1
506045,1
506046,1
506047,1
506048,1
506049,1
506050,1
507001,1
507002,1
507003,1
507004,1
507005,1
507006,1
507007,1
507008,1
507009,1
507010,1
507011,1
507012,1
507013,1
507014,1
507015,1
507016,1
507017,1
507018,1
507019,1
507020,1
507021,1
507022,1
507023,1
507024,1
507025,1
507026,1
507027,1
507028,1
507029,1
507030,1
507031,1
507032,1
507033,1
507034,1
507035,1
507036,1
507037,1
507038,1
507039,1
507040,1
507041,1
507042,1
507043,1
507044,1
507045,1
507046,1
507047,1
507048,1
507049,1
507050,1
507051,1
507052,1
507053,1
507054,1
507055,1
508001,1
508002,1
508003,1
508004,1
508005,1
508006,1
508007,1
508008,1
508009,1
508010,1
508011,1
508012,1
508013,1
508014,1
508015,1
508016,1
508017,1
508018,1
508019,1
508020,1
508021,1
508022,1
508023,1
508024,1
508025,1
508026,1
508027,1
508028,1
508029,1
508030,1
508031,1
508032,1
508033,1
508034,1
508035,1
508036,1
508037,1
508038,1
508039,1
508040,1
508041,1
508042,1
508043,1
508044,1
508045,1
508046,1
508047,1
508048,1
508049,1
508050,1
508051,1
508052,1
508053,1
508054,1
508055,1
508056,1
508057,1
508058,1
508059,1
508060,1
509001,1
509002,1
509003,1
509004,1
509005,1
509006,1
509007,1
509008,1
509009,1
509010,1
509011,1
509012,1
509013,1
509014,1
509015,1
509016,1
509017,1
509018,1
509019,1
509020,1
509021,1
509022,1
509023,1
509024,1
509025,1
509026,1
509027,1
509028,1
509029,1
509030,1
509031,1
509032,1
509033,1
509034,1
509035,1
509036,1
509037,1
509038,1
509039,1
509040,1
509041,1
509042,1
509043,1
509044,1
509045,1
509046,1
509047,1
509048,1
509049,1
509050,1
509051,1
509052,1
509053,1
509054,1
509055,1
509056,1
509057,1
509058,1
509059,1
509060,1
509061,1
509062,1
509063,1
509064,1
509065,1
601001,1
601002,1
601003,1
601004,1
601005,1
601006,1
601007,1
601008,1
601009,1
601010,1
601011,1
601012,1
601013,1
601014,1
601015,1
601016,1
601017,1
601018,1
601019,1
601020,1
601021,1
601022,1
601023,1
601024,1
601025,1
601026,1
601027,1
601028,1
601029,1
601030,1
601031,1
601032,1
601033,1
601034,1
601035,1
601036,1
601037,1
601038,1
601039,1
601040,1
601041,1
601042,1
601043,1
601044,1
601045,1
601046,1
601047,1
601048,1
601049,1
601050,1
601051,1
601052,1
601053,1
601054,1
601055,1
602001,1
602002,1
602003,1
602004,1
602005,1
602006,1
602007,1
602008,1
602009,1
602010,1
602011,1
602012,1
602013,1
602014,1
602015,1
602016,1
602017,1
602018,1
602019,1
602020,1
602021,1
602022,1
602023,1
602024,1
602025,1
602026,1
602027,1
602028,1
602029,1
602030,1
602031,1
602032,1
602033,1
602034,1
602035,1
602036,1
602037,1
602038,1
602039,1
602040,1
602041,1
602042,1
602043,1
602044,1
602045,1
602046,1
602047,1
602048,1
602049,1
602050,1
602051,1
602052,1
602053,1
602054,1
602055,1
603001,1
603002,1
603003,1
603004,1
603005,1
603006,1
603007,1
603008,1
603009,1
603010,1
603011,1
603012,1
603013,1
603014,1
603015,1
603016,1
603017,1
603018,1
603019,1
603020,1
603021,1
603022,1
603023,1
603024,1
603025,1
603026,1
603027,1
603028,1
603029,1
603030,1
603031,1
603032,1
603033,1
603034,1
603035,1
603036,1
603037,1
603038,1
603039,1
603040,1
603041,1
603042,1
603043,1
603044,1
603045,1
603046,1
603047,1
603048,1
603049,1
603050,1
603051,1
603052,1
603053,1
603054,1
603055,1
603056,1
603057,1
603058,1
603059,1
603060,1
604001,1
604002,1
604003,1
604004,1
604005,1
604006,1
604007,1
604008,1
604009,1
604010,1
604011,1
604012,1
604013,1
604014,1
604015,1
604016,1
604017,1
604018,1
604019,1
604020,1
604021,1
604022,1
604023,1
604024,1
604025,1
604026,1
604027,1
604028,1
604029,1
604030,1
604031,1
604032,1
604033,1
604034,1
604035,1
604036,1
604037,1
604038,1
604039,1
604040,1
604041,1
604042,1
604043,1
604044,1
604045,1
604046,1
604047,1
604048,1
604049,1
604050,1
604051,1
604052,1
604053,1
604054,1
604055,1
604056,1
604057,1
604058,1
604059,1
604060,1
604061,1
604062,1
604063,1
604064,1
604065,1
605001,1
605002,1
605003,1
605004,1
605005,1
605006,1
605007,1
605008,1
605009,1
605010,1
605011,1
605012,1
605013,1
605014,1
605015,1
605016,1
605017,1
605018,1
605019,1
605020,1
605021,1
605022,1
605023,1
605024,1
605025,1
605026,1
605027,1
605028,1
605029,1
605030,1
605031,1
605032,1
605033,1
605034,1
605035,1
605036,1
605037,1
605038,1
605039,1
605040,1
605041,1
605042,1
605043,1
605044,1
605045,1
605046,1
605047,1
605048,1
605049,1
605050,1
605051,1
605052,1
605053,1
605054,1
605055,1
605056,1
605057,1
605058,1
605059,1
605060,1
605061,1
605062,1
605063,1
605064,1
605065,1
605066,1
605067,1
605068,1
605069,1
605070,1
606001,1
606002,1
606003,1
606004,1
606005,1
606006,1
606007,1
606008,1
606009,1
606010,1
606011,1
606012,1
606013,1
606014,1
606015,1
606016,1
606017,1
606018,1
606019,1
606020,1
606021,1
606022,1
606023,1
606024,1
606025,1
606026,1
606027,1
606028,1
606029,1
606030,1
606031,1
606032,1
606033,1
606034,1
606035,1
606036,1
606037,1
606038,1
606039,1
606040,1
606041,1
606042,1
606043,1
606044,1
606045,1
606046,1
606047,1
606048,1
606049,1
606050,1
606051,1
606052,1
606053,1
606054,1
606055,1
606056,1
606057,1
606058,1
606059,1
606060,1
606061,1
606062,1
606063,1
606064,1
606065,1
606066,1
606067,1
606068,1
606069,1
606070,1
607001,1
607002,1
607003,1
607004,1
607005,1
607006,1
607007,1
607008,1
607009,1
607010,1
607011,1
607012,1
607013,1
607014,1
607015,1
607016,1
607017,1
