stage1,stage,group,group_rate,res_type,res_id,res_number,item_rate,initial_production_number,production_number,production_interval
101001,101010,0,39,2,10,1,1,,,
,,1,1,2,11,1,1,,,
102001,102015,0,39,2,10,1,1,,,
,,1,1,2,11,1,1,,,
103001,103020,0,39,2,10,1,1,,,
,,1,1,2,11,1,1,,,
104001,104025,0,39,2,10,1,1,,,
,,1,1,2,11,1,1,,,
105001,105030,0,39,2,10,1,1,,,
,,1,1,2,11,1,1,,,
201001,201015,0,232,2,10,1,1,,,
,,1,8,2,11,1,1,,,
,,2,23,3,1011,1,1,,,
,,,,3,2011,1,1,,,
,,,,3,3011,1,1,,,
,,,,3,4011,1,1,,,
,,3,6,3,1012,1,1,,,
,,,,3,2012,1,1,,,
,,,,3,3012,1,1,,,
,,,,3,4012,1,1,,,
,,4,1,3,1013,1,1,,,
,,,,3,2013,1,1,,,
,,,,3,3013,1,1,,,
,,,,3,4013,1,1,,,
202001,202020,0,232,2,10,1,1,,,
,,1,8,2,11,1,1,,,
,,2,23,3,1011,1,1,,,
,,,,3,2011,1,1,,,
,,,,3,3011,1,1,,,
,,,,3,4011,1,1,,,
,,3,6,3,1012,1,1,,,
,,,,3,2012,1,1,,,
,,,,3,3012,1,1,,,
,,,,3,4012,1,1,,,
,,4,1,3,1013,1,1,,,
,,,,3,2013,1,1,,,
,,,,3,3013,1,1,,,
,,,,3,4013,1,1,,,
203001,203025,0,232,2,10,1,1,,,
,,1,8,2,11,1,1,,,
,,2,23,3,1011,1,1,,,
,,,,3,2011,1,1,,,
,,,,3,3011,1,1,,,
,,,,3,4011,1,1,,,
,,3,6,3,1012,1,1,,,
,,,,3,2012,1,1,,,
,,,,3,3012,1,1,,,
,,,,3,4012,1,1,,,
,,4,1,3,1013,1,1,,,
,,,,3,2013,1,1,,,
,,,,3,3013,1,1,,,
,,,,3,4013,1,1,,,
204001,204019,0,460,2,10,1,1,,,
,,1,20,2,11,1,1,,,
,,2,27,3,1012,1,1,,,
,,,,3,2012,1,1,,,
,,,,3,3012,1,1,,,
,,,,3,4012,1,1,,,
,,3,12,3,1013,1,1,,,
,,,,3,2013,1,1,,,
,,,,3,3013,1,1,,,
,,,,3,4013,1,1,,,
,,4,1,3,1014,1,1,,,
,,,,3,2014,1,1,,,
,,,,3,3014,1,1,,,
,,,,3,4014,1,1,,,
204020,204030,0,456,2,10,1,1,,,
,,1,24,2,11,1,1,,,
,,2,27,3,1012,1,1,,,
,,,,3,2012,1,1,,,
,,,,3,3012,1,1,,,
,,,,3,4012,1,1,,,
,,3,12,3,1013,1,1,,,
,,,,3,2013,1,1,,,
,,,,3,3013,1,1,,,
,,,,3,4013,1,1,,,
,,4,1,3,1014,1,1,,,
,,,,3,2014,1,1,,,
,,,,3,3014,1,1,,,
,,,,3,4014,1,1,,,
205001,205010,0,456,2,10,1,1,,,
,,1,24,2,11,1,1,,,
,,2,27,3,1012,1,1,,,
,,,,3,2012,1,1,,,
,,,,3,3012,1,1,,,
,,,,3,4012,1,1,,,
,,3,12,3,1013,1,1,,,
,,,,3,2013,1,1,,,
,,,,3,3013,1,1,,,
,,,,3,4013,1,1,,,
,,4,1,3,1014,1,1,,,
,,,,3,2014,1,1,,,
,,,,3,3014,1,1,,,
,,,,3,4014,1,1,,,
205011,205029,0,678,2,10,1,1,,,
,,1,42,2,11,1,1,,,
,,2,36,3,1013,1,1,,,
,,,,3,2013,1,1,,,
,,,,3,3013,1,1,,,
,,,,3,4013,1,1,,,
,,3,3,3,1014,1,1,,,
,,,,3,2014,1,1,,,
,,,,3,3014,1,1,,,
,,,,3,4014,1,1,,,
,,4,1,3,1015,1,1,,,
,,,,3,2015,1,1,,,
,,,,3,3015,1,1,,,
,,,,3,4015,1,1,,,
205030,205035,0,672,2,10,1,1,,,
,,1,48,2,11,1,1,,,
,,2,36,3,1013,1,1,,,
,,,,3,2013,1,1,,,
,,,,3,3013,1,1,,,
,,,,3,4013,1,1,,,
,,3,3,3,1014,1,1,,,
,,,,3,2014,1,1,,,
,,,,3,3014,1,1,,,
,,,,3,4014,1,1,,,
,,4,1,3,1015,1,1,,,
,,,,3,2015,1,1,,,
,,,,3,3015,1,1,,,
,,,,3,4015,1,1,,,
206001,206014,0,672,2,10,1,1,,,
,,1,48,2,11,1,1,,,
,,2,36,3,1013,1,1,,,
,,,,3,2013,1,1,,,
,,,,3,3013,1,1,,,
,,,,3,4013,1,1,,,
,,3,3,3,1014,1,1,,,
,,,,3,2014,1,1,,,
,,,,3,3014,1,1,,,
,,,,3,4014,1,1,,,
,,4,1,3,1015,1,1,,,
,,,,3,2015,1,1,,,
,,,,3,3015,1,1,,,
,,,,3,4015,1,1,,,
206015,206035,0,666,2,10,1,1,,,
,,1,54,2,11,1,1,,,
,,2,36,3,1013,1,1,,,
,,,,3,2013,1,1,,,
,,,,3,3013,1,1,,,
,,,,3,4013,1,1,,,
,,3,3,3,1014,1,1,,,
,,,,3,2014,1,1,,,
,,,,3,3014,1,1,,,
,,,,3,4014,1,1,,,
,,4,1,3,1015,1,1,,,
,,,,3,2015,1,1,,,
,,,,3,3015,1,1,,,
,,,,3,4015,1,1,,,
301001,301019,0,440,2,10,1,1,,,
,,1,40,2,11,1,1,,,
,,2,36,3,1013,1,1,,,
,,,,3,2013,1,1,,,
,,,,3,3013,1,1,,,
,,,,3,4013,1,1,,,
,,3,3,3,1014,1,1,,,
,,,,3,2014,1,1,,,
,,,,3,3014,1,1,,,
,,,,3,4014,1,1,,,
,,4,1,3,1015,1,1,,,
,,,,3,2015,1,1,,,
,,,,3,3015,1,1,,,
,,,,3,4015,1,1,,,
301020,301020,0,436,2,10,1,1,,,
,,1,44,2,11,1,1,,,
,,2,36,3,1013,1,1,,,
,,,,3,2013,1,1,,,
,,,,3,3013,1,1,,,
,,,,3,4013,1,1,,,
,,3,3,3,1014,1,1,,,
,,,,3,2014,1,1,,,
,,,,3,3014,1,1,,,
,,,,3,4014,1,1,,,
,,4,1,3,1015,1,1,,,
,,,,3,2015,1,1,,,
,,,,3,3015,1,1,,,
,,,,3,4015,1,1,,,
302001,302019,0,436,2,10,1,1,,,
,,1,44,2,11,1,1,,,
,,2,36,3,1013,1,1,,,
,,,,3,2013,1,1,,,
,,,,3,3013,1,1,,,
,,,,3,4013,1,1,,,
,,3,3,3,1014,1,1,,,
,,,,3,2014,1,1,,,
,,,,3,3014,1,1,,,
,,,,3,4014,1,1,,,
,,4,1,3,1015,1,1,,,
,,,,3,2015,1,1,,,
,,,,3,3015,1,1,,,
,,,,3,4015,1,1,,,
302020,302025,0,432,2,10,1,1,,,
,,1,48,2,11,1,1,,,
,,2,36,3,1013,1,1,,,
,,,,3,2013,1,1,,,
,,,,3,3013,1,1,,,
,,,,3,4013,1,1,,,
,,3,3,3,1014,1,1,,,
,,,,3,2014,1,1,,,
,,,,3,3014,1,1,,,
,,,,3,4014,1,1,,,
,,4,1,3,1015,1,1,,,
,,,,3,2015,1,1,,,
,,,,3,3015,1,1,,,
,,,,3,4015,1,1,,,
303001,303014,0,432,2,10,1,1,,,
,,1,48,2,11,1,1,,,
,,2,36,3,1013,1,1,,,
,,,,3,2013,1,1,,,
,,,,3,3013,1,1,,,
,,,,3,4013,1,1,,,
,,3,3,3,1014,1,1,,,
,,,,3,2014,1,1,,,
