stage1,stage,exp_train,res_type,res_id,res_number
101001,101002,1,2,0,20
,,,2,10,10
101003,101005,1,2,0,20
,,,2,10,10
,,,8,0,50
101006,101010,1,2,0,22
,,,2,10,11
,,,8,0,51
102001,102005,1,2,0,24
,,,2,10,12
,,,8,0,52
102006,102010,1,2,0,26
,,,2,10,13
,,,8,0,53
102011,102015,1,2,0,28
,,,2,10,14
,,,8,0,54
103001,103005,1,2,0,30
,,,2,10,15
,,,8,0,55
103006,103010,1,2,0,32
,,,2,10,16
,,,8,0,56
103011,103015,1,2,0,34
,,,2,10,17
,,,8,0,57
103016,103020,1,2,0,36
,,,2,10,18
,,,8,0,58
104001,104005,1,2,0,38
,,,2,10,19
,,,8,0,59
104006,104010,1,2,0,40
,,,2,10,20
,,,8,0,60
104011,104015,1,2,0,42
,,,2,10,21
,,,8,0,61
104016,104020,1,2,0,44
,,,2,10,22
,,,8,0,62
104021,104025,1,2,0,46
,,,2,10,23
,,,8,0,63
105001,105005,1,2,0,48
,,,2,10,24
,,,8,0,64
105006,105010,1,2,0,50
,,,2,10,25
,,,8,0,65
105011,105015,1,2,0,52
,,,2,10,26
,,,8,0,66
105016,105020,1,2,0,54
,,,2,10,27
,,,8,0,67
105021,105025,1,2,0,56
,,,2,10,28
,,,8,0,68
105026,105030,1,2,0,58
,,,2,10,29
,,,8,0,69
201001,201005,2,2,0,60
,,,2,10,30
,,,8,0,70
201006,201010,2,2,0,62
,,,2,10,31
,,,8,0,71
201011,201015,2,2,0,64
,,,2,10,32
,,,8,0,72
202001,202005,2,2,0,66
,,,2,10,33
,,,8,0,73
202006,202010,2,2,0,68
,,,2,10,34
,,,8,0,74
202011,202015,2,2,0,70
,,,2,10,35
,,,8,0,75
202016,202020,2,2,0,72
,,,2,10,36
,,,8,0,76
203001,203005,2,2,0,74
,,,2,10,37
,,,8,0,77
203006,203010,2,2,0,76
,,,2,10,38
,,,8,0,78
203011,203015,2,2,0,78
,,,2,10,39
,,,8,0,79
203016,203020,2,2,0,80
,,,2,10,40
,,,8,0,80
203021,203025,2,2,0,82
,,,2,10,41
,,,8,0,81
204001,204005,2,2,0,84
,,,2,10,42
,,,8,0,82
204006,204010,2,2,0,86
,,,2,10,43
,,,8,0,83
204011,204015,2,2,0,88
,,,2,10,44
,,,8,0,84
204016,204020,2,2,0,90
,,,2,10,45
,,,8,0,85
204021,204025,2,2,0,92
,,,2,10,46
,,,8,0,86
204026,204030,2,2,0,94
,,,2,10,47
,,,8,0,87
205001,205005,2,2,0,96
,,,2,10,48
,,,8,0,88
205006,205010,2,2,0,98
,,,2,10,49
,,,8,0,89
205011,205015,2,2,0,100
,,,2,10,50
,,,8,0,90
205016,205020,2,2,0,102
,,,2,10,51
,,,8,0,91
205021,205025,2,2,0,104
,,,2,10,52
,,,8,0,92
205026,205030,2,2,0,106
,,,2,10,53
,,,8,0,93
205031,205035,2,2,0,108
,,,2,10,54
,,,8,0,94
206001,206005,2,2,0,110
,,,2,10,55
,,,8,0,95
206006,206010,2,2,0,112
,,,2,10,56
,,,8,0,96
206011,206015,2,2,0,114
,,,2,10,57
,,,8,0,97
206016,206020,2,2,0,116
,,,2,10,58
,,,8,0,98
206021,206025,2,2,0,118
,,,2,10,59
,,,8,0,99
206026,206030,2,2,0,120
,,,2,10,60
,,,8,0,100
206031,206035,2,2,0,122
,,,2,10,61
,,,8,0,101
301001,301005,3,2,0,124
,,,2,10,62
,,,8,0,102
301006,301010,3,2,0,126
,,,2,10,63
,,,8,0,103
301011,301015,3,2,0,128
,,,2,10,64
,,,8,0,104
301016,301020,3,2,0,130
,,,2,10,65
,,,8,0,105
302001,302005,3,2,0,132
,,,2,10,66
,,,8,0,106
302006,302010,3,2,0,134
,,,2,10,67
,,,8,0,107
302011,302015,3,2,0,136
,,,2,10,68
,,,8,0,108
302016,302020,3,2,0,138
,,,2,10,69
,,,8,0,109
302021,302025,3,2,0,140
,,,2,10,70
,,,8,0,110
303001,303005,3,2,0,142
,,,2,10,71
,,,8,0,111
303006,303010,3,2,0,144
,,,2,10,72
,,,8,0,112
303011,303015,3,2,0,146
,,,2,10,73
,,,8,0,113
303016,303020,3,2,0,148
,,,2,10,74
,,,8,0,114
303021,303025,3,2,0,150
,,,2,10,75
,,,8,0,115
303026,303030,3,2,0,152
,,,2,10,76
,,,8,0,116
304001,304005,3,2,0,154
,,,2,10,77
,,,8,0,117
304006,304010,3,2,0,156
,,,2,10,78
,,,8,0,118
304011,304015,3,2,0,158
,,,2,10,79
,,,8,0,119
304016,304020,3,2,0,160
,,,2,10,80
,,,8,0,120
304021,304025,3,2,0,162
,,,2,10,81
,,,8,0,121
304026,304030,3,2,0,164
,,,2,10,82
,,,8,0,122
305001,305005,3,2,0,166
,,,2,10,83
,,,8,0,123
305006,305010,3,2,0,168
,,,2,10,84
,,,8,0,124
305011,305015,3,2,0,170
,,,2,10,85
,,,8,0,125
305016,305020,3,2,0,172
,,,2,10,86
,,,8,0,126
305021,305025,3,2,0,174
,,,2,10,87
,,,8,0,127
305026,305030,3,2,0,176
,,,2,10,88
,,,8,0,128
305031,305035,3,2,0,178
,,,2,10,89
,,,8,0,129
306001,306005,3,2,0,180
,,,2,10,90
,,,8,0,130
306006,306010,3,2,0,182
,,,2,10,91
,,,8,0,131
306011,306015,3,2,0,184
,,,2,10,92
,,,8,0,132
306016,306020,3,2,0,186
,,,2,10,93
,,,8,0,133
306021,306025,3,2,0,188
,,,2,10,94
,,,8,0,134
306026,306030,3,2,0,190
,,,2,10,95
,,,8,0,135
306031,306035,3,2,0,192
,,,2,10,96
,,,8,0,136
306036,306040,3,2,0,194
,,,2,10,97
,,,8,0,137
307001,307005,3,2,0,196
,,,2,10,98
,,,8,0,138
307006,307010,3,2,0,198
,,,2,10,99
,,,8,0,139
307011,307015,3,2,0,200
,,,2,10,100
,,,8,0,140
307016,307020,3,2,0,202
,,,2,10,101
,,,8,0,141
307021,307025,3,2,0,204
,,,2,10,102
,,,8,0,142
307026,307030,3,2,0,206
,,,2,10,103
,,,8,0,143
307031,307035,3,2,0,208
,,,2,10,104
,,,8,0,144
307036,307040,3,2,0,210
,,,2,10,105
,,,8,0,145
307041,307045,3,2,0,212
,,,2,10,106
,,,8,0,146
401001,401005,4,2,0,214
,,,2,10,107
,,,8,0,147
401006,401010,4,2,0,216
,,,2,10,108
,,,8,0,148
401011,401015,4,2,0,218
,,,2,10,109
,,,8,0,149
401016,401020,4,2,0,220
,,,2,10,110
,,,8,0,150
401021,401025,4,2,0,222
,,,2,10,111
,,,8,0,151
402001,402005,4,2,0,224
,,,2,10,112
,,,8,0,152
402006,402010,4,2,0,226
,,,2,10,113
,,,8,0,153
402011,402015,4,2,0,228
,,,2,10,114
,,,8,0,154
402016,402020,4,2,0,230
,,,2,10,115
,,,8,0,155
402021,402025,4,2,0,232
,,,2,10,116
,,,8,0,156
402026,402030,4,2,0,234
,,,2,10,117
,,,8,0,157
403001,403005,4,2,0,236
,,,2,10,118
