stage,power
1,38939
2,41821
3,42791
4,40095
5,46002
6,52078
7,56733
8,60912
9,63845
10,63311
11,64386
12,67288
13,68305
14,64506
15,80052
16,79395
17,83386
18,86153
19,92068
20,92589
21,83785
22,88734
23,86778
24,88005
25,83553
26,87701
27,88961
28,97287
29,93150
30,88481
31,92199
32,106740
33,95377
34,106026
35,131144
36,118380
37,120549
38,120272
39,148213
40,129080
41,124689
42,113442
43,139035
44,145144
45,151516
46,139670
47,117688
48,131289
49,141375
50,157348
51,143188
52,141418
53,147037
54,117633
55,165238
56,156859
57,147254
58,155351
59,128928
60,146921
61,158694
62,161471
63,164585
64,142499
65,171273
66,154007
67,154934
68,165931
69,145098
70,168569
71,158987
72,154149
73,190341
74,187682
75,161253
76,172748
77,208616
78,166193
79,160518
80,198556
81,184207
82,194628
83,151896
84,197702
85,175964
86,160221
87,181020
88,202757
89,195181
90,161795
91,195105
92,221520
93,177303
94,192186
95,188365
96,181726
97,201505
98,226216
99,188961
100,192201
101,192614
102,188691
103,203638
104,188749
105,228595
106,238106
107,212048
108,194915
109,186689
110,193575
111,206201
112,207086
113,221023
114,218240
115,229190
116,268106
117,235075
118,238377
119,233439
120,225880
121,248769
122,229959
123,227882
124,222643
125,227709
126,244203
127,271864
128,239510
129,250037
130,235331
131,246019
132,277878
133,229258
134,301037
135,260539
136,274667
137,294655
138,255347
139,281833
140,274865
141,266373
142,274986
143,270896
144,258957
145,315198
146,303418
147,312913
148,252529
149,292599
150,315810
151,311366
152,323623
153,273117
154,314846
155,296046
156,302373
157,336418
158,287305
159,316470
160,303201
161,295422
162,362591
163,365158
164,306551
165,329259
166,462521
167,326567
168,320777
169,379818
170,352903
171,401458
172,288860
173,390732
174,332013
175,342998
176,329052
177,375293
178,419965
179,348084
180,350096
181,364073
182,360945
183,375208
184,351382
185,426470
186,465642
187,405415
188,369263
189,344514
190,373416
191,391934
192,382933
193,429483
194,410161
195,425582
196,446940
197,442663
198,440958
199,431103
200,417545
201,469343
202,424487
203,422168
204,402212
205,427613
206,455647
207,553177
208,449634
209,479595
210,445868
211,478859
212,558251
213,440374
214,598231
215,506186
216,532265
217,622042
218,506596
219,561466
220,551869
221,515369
222,667060
223,526690
224,537092
225,529166
226,491634
227,557663
228,645072
229,523189
230,523529
231,558131
232,537446
233,567427
234,521712
235,652995
236,737713
237,646318
238,569072
239,524180
240,583635
241,620392
242,593514
243,672102
244,639279
245,718646
246,826555
247,740000
248,721226
249,709378
250,684064
251,778208
252,709345
253,680297
254,650110
255,686642
256,738132
257,927698
258,735874
259,779213
260,736120
261,780727
262,928584
263,713251
264,990215
265,818347
266,867126
267,1033171
268,821261
269,914386
270,898174
271,837282
272,948705
273,848467
274,1019668
275,895709
276,842219
277,966136
278,1132649
279,889204
280,903021
281,972083
282,925651
283,978098
284,896145
285,1149876
286,1298681
287,1117936
288,978207
289,899884
290,1030864
291,1081349
292,1015831
293,1215028
294,1115532
295,1247377
296,1554928
297,1293166
298,1276488
299,1264856
300,1225607
301,1405474
302,1290022
303,1235295
304,1144272
305,1215270
306,1258916
307,1723367
308,1266586
309,1341928
310,1277280
311,1413182
312,1701328
313,1211510
314,1813870
315,1409526
316,1525795
317,1991333
318,1515786
319,1627328
320,1591220
321,1491747
322,2134266
323,1537935
324,1824032
325,1612322
326,1472882
327,1751637
328,2050314
329,1525839
330,1548746
331,1821445
332,1576773
333,1694354
334,1537432
335,2002443
336,2481205
337,2008917
338,1869405
339,1690460
340,1983101
341,2100728
342,1748072
343,2153324
344,2119183
345,2443177
346,2724936
347,2273567
348,2219789
349,2365528
350,2066454
351,2614221
352,2474828
353,2062891
354,2141690
355,2031716
356,2154718
357,3053694
358,2174082
359,2274708
360,2238388
361,2415391
362,2998523
363,2084256
364,3142800
365,2522700
366,2729903
367,3541493
368,2591689
369,2859431
370,2893329
371,2667246
372,3575231
373,2730533
374,2103701
375,5576179
376,2837675
377,3318360
378,4038385
379,2673196
380,2939326
381,3271890
382,2864101
383,3278510
384,2990583
385,3963618
386,4656547
387,3975958
388,2997311
389,2783973
390,3737744
391,3755335
392,3215220
393,4295879
394,3934475
395,4392081
396,3288403
397,4275548
398,4694173
399,4436683
400,9028106
401,4706310
402,4615912
403,3807579
404,3501533
405,4418664
406,4654129
407,5881331
408,4166157
409,4829133
410,4904244
411,4450142
412,6252962
413,4084241
414,6102804
415,5663936
416,6416172
417,7799130
418,4652517
419,6697351
420,12712960
421,5745583
422,3574092
423,5575265
424,6849153
425,6087061
426,7368283
427,6365538
428,5860165
429,6314460
430,5021480
431,5561182
432,5695863
433,7841184
434,5551450
435,7153394
436,5450802
437,5334835
438,7061292
439,7486636
440,5958043
441,5806432
442,9756050
443,6479122
444,6127795
445,7077393
446,6878218
447,8578001
448,5292623
449,8535846
450,6909142
451,7028751
452,6667216
453,7713729
454,9364477
455,6398970
456,6849747
457,7936191
458,6552148
459,7518596
460,7224898
461,8956996
462,10052789
463,8875925
464,7458143
465,6826934
466,8354982
467,8953469
468,7175335
469,9603136
470,8868465
471,9566265
472,9504379
473,9124782
474,9671686
475,9903652
476,8824760
477,9249984
478,9974133
479,7905132
480,8547514
481,8190214
482,8346010
483,11903517
484,8337527
485,8764028
486,8653237
487,9484111
488,10872846
489,7229362
490,13046268
491,8827317
492,9848820
493,13952520
494,10119105
495,10985619
496,9753721
