id,element,evelope,hp,atk,def,speed,special atk
,metal,1,45,60,40,45,60
,metal,2,60,85,60,55,68
,metal,3,80,100,70,80,74
,wood,1,45,49,49,45,65
,wood,2,60,62,63,60,70
,wood,3,100,82,83,80,85
,water,1,44,48,65,43,60
,water,2,59,63,70,58,70
,water,3,75,70,75,78,100
,fire,1,39,52,43,65,55
,fire,2,58,64,58,80,60
,fire,3,78,84,78,100,70
,earth,1,55,68,64,31,50
,earth,2,75,75,85,36,66
,earth,3,76,75,100,38,75
,light,1,68,90,65,82,70
,light,2,108,130,95,102,80
,light,3,110,140,115,92,100
,dark,1,68,90,65,82,70
,dark,2,108,130,95,102,80
,dark,3,110,140,115,92,100
