id,star
10026,1
10025,1
10024,2
10023,2
10014,2
10022,3
10021,3
10020,3
10019,3
10018,4
10017,4
10015,4
10016,4
10006,4
10013,4
10010,5
10012,5
10009,5
10003,5
10002,5
10011,5
10008,5
10004,5
10007,5
10005,5
10001,5
20017,1
20018,1
20021,2
20022,2
20019,2
20015,3
20020,3
20013,3
20023,3
20024,4
20025,4
20026,4
20012,4
20011,4
20016,4
20005,5
20007,5
20004,5
20002,5
20003,5
20001,5
20006,5
20008,5
20009,5
20010,5
20014,5
30017,1
30016,1
30026,2
30015,2
30025,2
30024,3
30023,3
30022,3
30021,3
30018,4
30019,4
30020,4
30014,4
30012,4
30013,4
30010,5
30002,5
30004,5
30006,5
30007,5
30001,5
30003,5
30005,5
30008,5
30009,5
30011,5
40013,1
40014,1
40017,2
40016,2
40015,2
40018,3
40019,3
40020,3
40021,3
40022,4
40025,4
40026,4
40012,4
40023,4
40024,4
40011,5
40001,5
40010,5
40008,5
40002,5
40003,5
40004,5
40005,5
40006,5
40007,5
40009,5
50016,1
50017,1
50018,2
50019,2
50020,2
50021,3
50023,3
50022,3
50024,3
50025,4
50015,4
50014,4
50013,4
50005,4
50026,4
50012,5
50010,5
50008,5
50003,5
50002,5
50001,5
50004,5
50006,5
50007,5
50009,5
50011,5
60016,1
60017,1
60018,2
60019,2
60020,2
60022,3
60023,3
60024,3
60025,3
60015,4
60014,4
60021,4
60012,4
60013,4
60026,4
60011,5
60002,5
60009,5
60003,5
60006,5
60001,5
60004,5
60005,5
60007,5
60008,5
60010,5
