hero_id,skin_id,attack_impact_type,attack_impact_name,skill_impact_type,skill_impact_name
0,-1,,,HeroBattleEffect,hero_0_skill_impact
1,-1,,,HeroBattleEffect,hero_1_skill_impact
2,-1,,,HeroBattleEffect,hero_2_skill_impact
3,-1,,,HeroBattleEffect,hero_3_skill_impact
4,-1,,,HeroBattleEffect,hero_4_skill_impact
5,-1,,,HeroBattleEffect,hero_5_skill_impact
10002,-1,HeroBattleEffect,hero_10002_attack_impact,HeroBattleEffect,hero_10002_skill_impact
10003,-1,GeneralBattleEffect,impact_water2,HeroBattleEffect,hero_10003_skill_impact
10004,-1,HeroBattleEffect,hero_10004_attack_impact,HeroBattleEffect,hero_10004_skill_impact
10004,10004001,HeroBattleEffect,hero_10004_skin_id_10004001_attack_impact,HeroBattleEffect,hero_10004_skin_id_10004001_skill_impact
10005,-1,HeroBattleEffect,hero_10005_attack_impact,HeroBattleEffect,hero_10005_skill_impact
10005,10005001,HeroBattleEffect,hero_10005_skin_id_10005001_attack_impact,HeroBattleEffect,hero_10005_skin_id_10005001_skill_impact
10006,-1,HeroBattleEffect,hero_10006_attack_impact,HeroBattleEffect,hero_10006_skill_impact
10007,-1,GeneralBattleEffect,impact_water2,,
10009,-1,GeneralBattleEffect,impact_water,HeroBattleEffect,hero_10009_skill_impact
10010,-1,GeneralBattleEffect,impact_melee,HeroBattleEffect,hero_10010_skill_impact
10011,-1,GeneralBattleEffect,impact_melee,HeroBattleEffect,hero_10011_skill_impact
10012,-1,GeneralBattleEffect,impact_water2,HeroBattleEffect,hero_10012_skill_impact
10013,-1,GeneralBattleEffect,impact_water2,HeroBattleEffect,hero_10013_skill_impact
10014,-1,GeneralBattleEffect,impact_water2,GeneralBattleEffect,impact_water
10015,-1,HeroBattleEffect,hero_10015_attack_impact,HeroBattleEffect,hero_10015_skill_impact
10016,-1,GeneralBattleEffect,impact_melee,GeneralBattleEffect,impact_melee_2
10017,-1,HeroBattleEffect,hero_10017_attack_impact,GeneralBattleEffect,impact_water2
10018,-1,GeneralBattleEffect,impact_white,,
10019,-1,GeneralBattleEffect,impact_water2,HeroBattleEffect,hero_10019_skill_impact
10020,-1,GeneralBattleEffect,impact_fire,HeroBattleEffect,hero_10020_skill_impact
10021,-1,GeneralBattleEffect,impact_melee,GeneralBattleEffect,impact_melee_2
10022,-1,GeneralBattleEffect,impact_water2,HeroBattleEffect,hero_10022_skill_impact
10023,-1,GeneralBattleEffect,impact_melee,GeneralBattleEffect,impact_melee_2
10024,-1,GeneralBattleEffect,impact_melee,GeneralBattleEffect,impact_melee_2
10025,-1,GeneralBattleEffect,impact_melee,HeroBattleEffect,hero_10025_skill_impact
10026,-1,GeneralBattleEffect,impact_water2,GeneralBattleEffect,impact_range
20001,-1,GeneralBattleEffect,impact_fire,HeroBattleEffect,hero_20001_skill_impact
20001,20001001,HeroBattleEffect,hero_20001_skin_id_20001001_attack_impact,HeroBattleEffect,hero_20001_skin_id_20001001_skill_impact
20001,20001002,HeroBattleEffect,hero_20001_skin_id_20001002_attack_impact,HeroBattleEffect,hero_20001_skin_id_20001002_skill_impact
20002,-1,HeroBattleEffect,hero_20002_attack_impact,HeroBattleEffect,hero_20002_skill_impact
20003,-1,HeroBattleEffect,hero_20003_attack_impact,HeroBattleEffect,hero_20003_skill_impact
20004,-1,HeroBattleEffect,hero_20004_attack_impact,HeroBattleEffect,hero_20004_skill_impact
20005,-1,HeroBattleEffect,hero_20005_attack_impact,HeroBattleEffect,hero_20005_skill_impact
20007,-1,HeroBattleEffect,hero_20007_attack_impact,HeroBattleEffect,hero_20007_skill_impact
20008,-1,HeroBattleEffect,hero_20008_attack_impact,HeroBattleEffect,hero_20008_skill_impact
20010,-1,HeroBattleEffect,hero_20010_attack_impact,HeroBattleEffect,hero_20010_skill_impact
20011,-1,,,HeroBattleEffect,hero_20011_skill_impact
20012,-1,,,GeneralBattleEffect,impact_fire_skill
20013,-1,GeneralBattleEffect,impact_melee,,
20014,-1,HeroBattleEffect,hero_20014_attack_impact,HeroBattleEffect,hero_20014_skill_impact
20015,-1,HeroBattleEffect,hero_20015_attack_impact,HeroBattleEffect,hero_20015_skill_impact
20016,-1,GeneralBattleEffect,impact_melee,GeneralBattleEffect,impact_fire_skill
20017,-1,GeneralBattleEffect,impact_melee,GeneralBattleEffect,impact_melee_2
20018,-1,HeroBattleEffect,hero_20018_attack_impact,HeroBattleEffect,hero_20018_skill_impact
20019,-1,GeneralBattleEffect,impact_range,HeroBattleEffect,hero_20019_skill_impact
20020,-1,GeneralBattleEffect,impact_white_hit,HeroBattleEffect,hero_20020_skill_impact
20021,-1,GeneralBattleEffect,impact_range,HeroBattleEffect,hero_20021_skill_impact
20022,-1,GeneralBattleEffect,impact_range,GeneralBattleEffect,impact_melee_2
20023,-1,GeneralBattleEffect,impact_melee,HeroBattleEffect,hero_20023_skill_impact
20024,-1,GeneralBattleEffect,impact_melee,GeneralBattleEffect,impact_fire_skill
20025,-1,HeroBattleEffect,hero_20025_attack_impact,GeneralBattleEffect,impact_fire_skill
20026,-1,HeroBattleEffect,hero_20026_attack_impact,HeroBattleEffect,hero_20026_skill_impact
30001,-1,HeroBattleEffect,hero_30001_attack_impact,HeroBattleEffect,hero_30001_skill_impact
30002,-1,HeroBattleEffect,hero_30002_attack_impact,HeroBattleEffect,hero_30002_skill_impact
30003,-1,HeroBattleEffect,hero_30003_attack_impact,,
30004,-1,HeroBattleEffect,hero_30004_atttack_impact,HeroBattleEffect,hero_30004_skill_impact2
30006,-1,HeroBattleEffect,hero_30006_attack_impact,HeroBattleEffect,hero_30006_skill_impact
30006,30006001,HeroBattleEffect,hero_30006_skin_id_30006001_attack_impact,HeroBattleEffect,hero_30006_skin_id_30006001_skill_impact
30007,-1,HeroBattleEffect,hero_30007_attack_impact,,
30007,30007002,HeroBattleEffect,hero_30007_skin_id_30007002_attack_impact,HeroBattleEffect,hero_30007_skin_id_30007002_skill_impact
30008,-1,,,HeroBattleEffect,hero_30008_skill_impact
30009,-1,HeroBattleEffect,hero_30009_attack_impact,HeroBattleEffect,hero_30009_skill_impact
30010,-1,HeroBattleEffect,hero_30010_attack_impact,HeroBattleEffect,hero_30010_skill_impact
30011,-1,HeroBattleEffect,hero_30011_attack_impact,HeroBattleEffect,hero_30011_skill_impact
30012,-1,HeroBattleEffect,hero_30012_attack_impact,GeneralBattleEffect,impact_melee_2
30013,-1,GeneralBattleEffect,impact_melee,HeroBattleEffect,hero_30013_skill_impact
30014,-1,GeneralBattleEffect,impact_melee,HeroBattleEffect,hero_30014_skill_impact
30015,-1,GeneralBattleEffect,impact_white,,
30016,-1,GeneralBattleEffect,impact_range,GeneralBattleEffect,impact_melee_2
30017,-1,GeneralBattleEffect,impact_melee,GeneralBattleEffect,impact_melee_2
