type,stage_id,background_id
0,1,101
,,102
,,103
,,104
,2,101
,,102
,,103
,,104
,3,101
,,102
,,103
,,104
,4,101
,,102
,,103
,,104
,5,101
,,102
,,103
,,104
,6,101
,,102
,,103
,,104
,7,101
,,102
,,103
,,104
,8,101
,,102
,,103
,,104
,9,101
,,102
,,103
,,104
1,1,201
,,202
,,203
,,204
,2,201
,,202
,,203
,,204
,3,201
,,202
,,203
,,204
,4,201
,,202
,,203
,,204
,5,201
,,202
,,203
,,204
,6,201
,,202
,,203
,,204
,7,201
,,202
,,203
,,204
,8,201
,,202
,,203
,,204
,9,201
,,202
,,203
,,204
2,1,301
,,302
,,303
,,304
,2,301
,,302
,,303
,,304
,3,301
,,302
,,303
,,304
,4,301
,,302
,,303
,,304
,5,301
,,302
,,303
,,304
,6,301
,,302
,,303
,,304
,7,301
,,302
,,303
,,304
,8,301
,,302
,,303
,,304
,9,301
,,302
,,303
,,304
