group,group_rate,dragon_id,rate
1,1200,10026,2
,,10025,2
,,20017,2
,,20018,2
,,30017,2
,,30016,2
,,40013,2
,,40014,2
,,50016,1
,,50017,1
,,60016,1
,,60017,1
2,600,10024,2
,,10023,2
,,10014,2
,,20021,2
,,20022,2
,,20019,2
,,30026,2
,,30015,2
,,30025,2
,,40017,2
,,40016,2
,,40015,2
,,50018,1
,,50019,1
,,50020,1
,,60018,1
,,60019,1
,,60020,1
3,200,10022,2
,,10021,2
,,10020,2
,,10019,2
,,20015,2
,,20020,2
,,20013,2
,,20023,2
,,30024,2
,,30023,2
,,30022,2
,,30021,2
,,40018,2
,,40019,2
,,40020,2
,,40021,2
,,50021,1
,,50023,1
,,50022,1
,,50024,1
,,60022,1
,,60023,1
,,60024,1
,,60025,1
4,50,10018,2
,,10017,2
,,10015,2
,,20024,2
,,20025,2
,,20026,2
,,30018,2
,,30019,2
,,30020,2
,,40022,2
,,40025,2
,,40026,2
,,50025,1
,,50015,1
,,50014,1
,,60015,1
,,60014,1
,,60021,1
,,10016,2
,,10006,2
,,10013,2
,,20012,2
,,20011,2
,,20016,2
,,30014,2
,,30012,2
,,30013,2
,,40012,2
,,40023,2
,,40024,2
,,50013,1
,,50005,1
,,50026,1
,,60012,1
,,60013,1
,,60026,1
5,1,10010,2
,,10009,2
,,10002,2
,,10003,2
,,10012,2
,,20005,2
,,20007,2
,,20004,2
,,20014,2
,,20010,2
,,30010,2
,,30002,2
,,30004,2
,,30009,2
,,30011,2
,,40011,2
,,40001,2
,,40010,2
,,40005,2
,,40009,2
,,50012,1
,,50010,1
,,50008,1
,,50001,1
,,50009,1
,,60011,1
,,60002,1
,,60009,1
,,60001,1
,,60007,1
