group,group_rate,hero_id,star,hero_rate
1,63,10022,3,2
,,10021,3,2
,,10020,3,2
,,10019,3,2
,,20015,3,2
,,20020,3,2
,,20013,3,2
,,20023,3,2
,,30024,3,2
,,30023,3,2
,,30022,3,2
,,30021,3,2
,,40018,3,2
,,40019,3,2
,,40020,3,2
,,40021,3,2
,,50021,3,1
,,50023,3,1
,,50022,3,1
,,50024,3,1
,,60022,3,1
,,60023,3,1
,,60024,3,1
,,60025,3,1
2,33,10018,4,2
,,10017,4,2
,,10015,4,2
,,20024,4,2
,,20025,4,2
,,20026,4,2
,,30018,4,2
,,30019,4,2
,,30020,4,2
,,40022,4,2
,,40025,4,2
,,40026,4,2
,,50025,4,1
,,50015,4,1
,,50014,4,1
,,60015,4,1
,,60014,4,1
,,60021,4,1
,,10016,4,2
,,10006,4,2
,,10013,4,2
,,20012,4,2
,,20011,4,2
,,20016,4,2
,,30014,4,2
,,30012,4,2
,,30013,4,2
,,40012,4,2
,,40023,4,2
,,40024,4,2
,,50013,4,1
,,50005,4,1
,,50026,4,1
,,60012,4,1
,,60013,4,1
,,60026,4,1
3,4,10010,5,6
,,10009,5,6
,,10002,5,6
,,10003,5,6
,,10012,5,6
,,20005,5,6
,,20007,5,6
,,20004,5,6
,,20014,5,6
,,20010,5,6
,,30010,5,6
,,30002,5,6
,,30004,5,6
,,30009,5,6
,,30011,5,6
,,40011,5,6
,,40001,5,6
,,40010,5,6
,,40005,5,6
,,40009,5,6
,,50012,5,3
,,50010,5,3
,,50008,5,3
,,50001,5,3
,,50009,5,3
,,60011,5,3
,,60002,5,3
,,60009,5,3
,,60001,5,3
,,60007,5,3
,,10007,5,2
,,10005,5,2
,,20001,5,2
,,20002,5,2
,,20003,5,2
,,30006,5,2
,,30007,5,2
,,40008,5,2
,,40002,5,2
,,40003,5,2
,,50003,5,1
,,50002,5,1
,,60003,5,1
,,60006,5,1
,,10004,5,2
,,60010,5,1
,,30001,5,2
,,50006,5,1
,,60008,5,1
,,40004,5,2
,,50004,5,1
,,20008,5,2
,,60004,5,1
,,10011,5,2
