name,class,star,type,attack,defense,hp,speed,pure_damage,skill_damage,crit_rate,crit_damage,cc_resistance,armor_break,accuracy,dodge,damage_reduction
Jormungand,1,1,0,410,60,5545,114,0,0.3,0.1,1.5,0,0,3137,2823,0
,,2,0,670,95,8192,135,0,0.3,0.1,1.5,0,0,3451,3106,0
,,3,0,977,140,11976,159,0,0.3,0.1,1.5,0,0,3764,3388,0
,,4,0,1700,241,20800,180,0,0.3,0.1,1.5,0,0,4078,3670,0
,,5,0,2515,360,30885,202,0,0.3,0.1,1.5,0,0,4392,3953,0
,,6,0,3645,525,44751,227,0,0.3,0.1,1.5,0,0,4706,4235,0
,,7,0,6525,933,80046,249,0,0.3,0.1,1.5,0,0,5019,4517,0
,,8,0,8270,1182,101475,306,0,0.3,0.1,1.5,0,0,5333,4800,0
,,9,0,10428,1490,127946,362,0,0.3,0.1,1.5,0,0,5647,5082,0
,,10,0,12995,1856,159460,419,0,0.3,0.1,1.5,0,0,5960,5364,0
,,11,0,16075,2297,197277,475,0,0.3,0.1,1.5,0,0,6274,5647,0
,,12,0,21620,3090,265345,532,0,0.3,0.1,1.5,0,0,6588,5929,0
,,13,0,46525,6645,571013,682,0,0.3,0.1,1.5,0,0,7371,6627,0
,,1,1,21,3,252,0,0,0,0,0,0,0,0,0,0
,,2,1,26,4,315,0,0,0,0,0,0,0,0,0,0
,,3,1,31,4,378,0,0,0,0,0,0,0,0,0,0
,,4,1,36,5,441,0,0,0,0,0,0,0,0,0,0
,,5,1,41,6,504,0,0,0,0,0,0,0,0,0,0
,,6,1,56,8,693,0,0,0,0,0,0,0,0,0,0
,,7,1,72,10,882,0,0,0,0,0,0,0,0,0,0
,,8,1,87,12,1071,0,0,0,0,0,0,0,0,0,0
,,9,1,108,15,1324,0,0,0,0,0,0,0,0,0,0
,,10,1,128,18,1576,0,0,0,0,0,0,0,0,0,0
,,11,1,154,22,1891,0,0,0,0,0,0,0,0,0,0
,,12,1,185,26,2269,0,0,0,0,0,0,0,0,0,0
,,13,1,272,34,3371,0,0,0,0,0,0,0,0,0,0
