name,class,star,type,attack,defense,hp,speed,pure_damage,skill_damage,crit_rate,crit_damage,cc_resistance,armor_break,accuracy,dodge,damage_reduction
Carnifex,4,1,0,477,57,4894,138,0,0,0.1,1.5,0,0,3451,3451,0
,,2,0,775,93,7952,166,0,0,0.1,1.5,0,0,3796,3796,0
,,3,0,1132,136,11623,193,0,0,0.1,1.5,0,0,4141,4141,0
,,4,0,1967,237,20187,221,0,0,0.1,1.5,0,0,4486,4486,0
,,5,0,2921,351,29975,248,0,0,0.1,1.5,0,0,4831,4831,0
,,6,0,4234,510,43436,276,0,0,0.1,1.5,0,0,5176,5176,0
,,7,0,7572,912,77692,304,0,0,0.1,1.5,0,0,5521,5521,0
,,8,0,9599,1157,98492,373,0,0,0.1,1.5,0,0,5866,5866,0
,,9,0,12105,1459,124185,442,0,0,0.1,1.5,0,0,6211,6211,0
,,10,0,15085,1819,154772,511,0,0,0.1,1.5,0,0,6556,6556,0
,,11,0,18660,2249,191477,580,0,0,0.1,1.5,0,0,6902,6902,0
,,12,0,25098,3024,257547,649,0,0,0.1,1.5,0,0,7247,7247,0
,,13,0,54021,6511,554252,822,0,0,0.1,1.5,0,0,8103,8103,0
,,1,1,24,3,245,0,0,0,0,0,0,0,0,0,0
,,2,1,30,4,306,0,0,0,0,0,0,0,0,0,0
,,3,1,36,4,367,0,0,0,0,0,0,0,0,0,0
,,4,1,42,5,428,0,0,0,0,0,0,0,0,0,0
,,5,1,48,6,489,0,0,0,0,0,0,0,0,0,0
,,6,1,66,8,673,0,0,0,0,0,0,0,0,0,0
,,7,1,83,10,856,0,0,0,0,0,0,0,0,0,0
,,8,1,101,12,1040,0,0,0,0,0,0,0,0,0,0
,,9,1,125,15,1285,0,0,0,0,0,0,0,0,0,0
,,10,1,149,18,1529,0,0,0,0,0,0,0,0,0,0
,,11,1,179,22,1835,0,0,0,0,0,0,0,0,0,0
,,12,1,215,26,2202,0,0,0,0,0,0,0,0,0,0
,,13,1,320,34,3270,0,0,0,0,0,0,0,0,0,0
