name,class,star,type,attack,defense,hp,speed,pure_damage,skill_damage,crit_rate,crit_damage,cc_resistance,armor_break,accuracy,dodge,damage_reduction
Celestia,3,1,0,427,57,7178,119,0,0.2,0.1,1.5,0,0,3074,2980,0
,,2,0,693,93,11664,143,0,0.2,0.1,1.5,0,0,3382,3278,0
,,3,0,1013,136,17047,167,0,0.2,0.1,1.5,0,0,3689,3576,0
,,4,0,1760,237,29608,191,0,0.2,0.1,1.5,0,0,3997,3874,0
,,5,0,2615,351,43963,216,0,0.2,0.1,1.5,0,0,4304,4174,0
,,6,0,3787,510,63703,240,0,0.2,0.1,1.5,0,0,4614,4472,0
,,7,0,6774,912,113946,264,0,0.2,0.1,1.5,0,0,4920,4770,0
,,8,0,8587,1155,144452,324,0,0.2,0.1,1.5,0,0,5228,5069,0
,,9,0,10830,1460,182135,381,0,0.2,0.1,1.5,0,0,5538,5368,0
,,10,0,13499,1819,226998,444,0,0.2,0.1,1.5,0,0,5844,5664,0
,,11,0,16701,2249,280830,505,0,0.2,0.1,1.5,0,0,6153,5965,0
,,12,0,22453,3027,377726,565,0,0.2,0.1,1.5,0,0,6460,6263,0
,,13,0,48250,6534,812864,715,0,0.2,0.1,1.5,0,0,7210,6981,0
,,1,1,21,3,359,0,0,0,0,0,0,0,0,0,0
,,2,1,27,4,449,0,0,0,0,0,0,0,0,0,0
,,3,1,32,4,538,0,0,0,0,0,0,0,0,0,0
,,4,1,37,5,628,0,0,0,0,0,0,0,0,0,0
,,5,1,43,6,718,0,0,0,0,0,0,0,0,0,0
,,6,1,59,8,987,0,0,0,0,0,0,0,0,0,0
,,7,1,75,10,1256,0,0,0,0,0,0,0,0,0,0
,,8,1,91,12,1525,0,0,0,0,0,0,0,0,0,0
,,9,1,112,15,1884,0,0,0,0,0,0,0,0,0,0
,,10,1,133,18,2243,0,0,0,0,0,0,0,0,0,0
,,11,1,160,22,2692,0,0,0,0,0,0,0,0,0,0
,,12,1,192,26,3230,0,0,0,0,0,0,0,0,0,0
,,13,1,282,34,4795,0,0,0,0,0,0,0,0,0,0
