name,class,star,type,attack,defense,hp,speed,pure_damage,skill_damage,crit_rate,crit_damage,cc_resistance,armor_break,accuracy,dodge,damage_reduction,target_position,target_number
Oropher,3,1,0,388,52,7178,119,0,0.2,0.1,1.5,0,0,3074,2980,0,10,3
,,2,0,630,85,10603,143,0,0.2,0.1,1.5,0,0,3382,3278,0,,
,,3,0,921,124,15497,167,0,0.2,0.1,1.5,0,0,3689,3576,0,,
,,4,0,1600,215,26916,191,0,0.2,0.1,1.5,0,0,3997,3874,0,,
,,5,0,2376,319,39966,215,0,0.2,0.1,1.5,0,0,4304,4172,0,,
,,6,0,3442,463,57910,238,0,0.2,0.1,1.5,0,0,4611,4470,0,,
,,7,0,6157,828,103586,262,0,0.2,0.1,1.5,0,0,4919,4768,0,,
,,8,0,7806,1049,131317,322,0,0.2,0.1,1.5,0,0,5226,5066,0,,
,,9,0,9842,1323,165574,381,0,0.2,0.1,1.5,0,0,5534,5364,0,,
,,10,0,12266,1649,206356,441,0,0.2,0.1,1.5,0,0,5841,5662,0,,
,,11,0,15175,2040,255294,501,0,0.2,0.1,1.5,0,0,6149,5960,0,,
,,12,0,20411,2744,343383,560,0,0.2,0.1,1.5,0,0,6456,6258,0,,
,,13,0,43923,5906,738910,702,0,0.2,0.1,1.5,0,0,7216,7003,0,,
,,1,1,19,3,326,0,0,0,0,0,0,0,0,0,0,,
,,2,1,24,3,408,0,0,0,0,0,0,0,0,0,0,,
,,3,1,29,4,489,0,0,0,0,0,0,0,0,0,0,,
,,4,1,34,5,571,0,0,0,0,0,0,0,0,0,0,,
,,5,1,39,5,653,0,0,0,0,0,0,0,0,0,0,,
,,6,1,53,7,897,0,0,0,0,0,0,0,0,0,0,,
,,7,1,68,9,1142,0,0,0,0,0,0,0,0,0,0,,
,,8,1,82,11,1387,0,0,0,0,0,0,0,0,0,0,,
,,9,1,102,14,1713,0,0,0,0,0,0,0,0,0,0,,
,,10,1,121,16,2039,0,0,0,0,0,0,0,0,0,0,,
,,11,1,145,20,2447,0,0,0,0,0,0,0,0,0,0,,
,,12,1,175,24,2936,0,0,0,0,0,0,0,0,0,0,,
,,13,1,267,29,4358,0,0,0,0,0,0,0,0,0,0,,
