name,class,star,type,attack,defense,hp,speed,pure_damage,skill_damage,crit_rate,crit_damage,cc_resistance,armor_break,accuracy,dodge,damage_reduction
Cold Axe,2,1,0,435,78,7830,100,0,0,0.1,1.5,0,0,2667,2510,0
,,2,0,706,127,11567,120,0,0,0.1,1.5,0,0,2933,2761,0
,,3,0,1034,186,16906,141,0,0,0.1,1.5,0,0,3200,3012,0
,,4,0,1792,323,29363,161,0,0,0.1,1.5,0,0,3466,3263,0
,,5,0,2660,479,43599,181,0,0,0.1,1.5,0,0,3733,3514,0
,,6,0,3855,694,63175,201,0,0,0.1,1.5,0,0,4000,3764,0
,,7,0,6890,1242,113003,221,0,0,0.1,1.5,0,0,4266,4015,0
,,8,0,8730,1574,143255,271,0,0,0.1,1.5,0,0,4533,4266,0
,,9,0,11015,1985,180626,321,0,0,0.1,1.5,0,0,4800,4517,0
,,10,0,13723,2474,225116,371,0,0,0.1,1.5,0,0,5066,4768,0
,,11,0,16970,3060,278503,422,0,0,0.1,1.5,0,0,5333,5019,0
,,12,0,22822,4116,374599,472,0,0,0.1,1.5,0,0,5600,5270,0
,,13,0,49130,8863,806142,590,0,0,0.1,1.5,0,0,6265,5898,0
,,1,1,22,4,356,0,0,0,0,0,0,0,0,0,0
,,2,1,27,5,445,0,0,0,0,0,0,0,0,0,0
,,3,1,33,6,534,0,0,0,0,0,0,0,0,0,0
,,4,1,38,7,623,0,0,0,0,0,0,0,0,0,0
,,5,1,43,8,712,0,0,0,0,0,0,0,0,0,0
,,6,1,60,11,979,0,0,0,0,0,0,0,0,0,0
,,7,1,76,14,1246,0,0,0,0,0,0,0,0,0,0
,,8,1,92,17,1513,0,0,0,0,0,0,0,0,0,0
,,9,1,114,21,1869,0,0,0,0,0,0,0,0,0,0
,,10,1,135,24,2224,0,0,0,0,0,0,0,0,0,0
,,11,1,163,29,2669,0,0,0,0,0,0,0,0,0,0
,,12,1,195,35,3203,0,0,0,0,0,0,0,0,0,0
,,13,1,278,50,4758,0,0,0,0,0,0,0,0,0,0
