star,gold,magic_potion,awaken_book,material_id_1,material_star_1,material_number_1,material_id_2,material_star_2,material_number_2,material_id_3,material_star_3,material_number_3,material_id_4,material_star_4,material_number_4
2,30000,0,0,1,1,1,,,,,,,,,
3,50000,0,0,1,2,2,,,,,,,,,
4,70000,0,0,1,3,3,,,,,,,,,
5,100000,0,0,1,4,4,,,,,,,,,
6,150000,0,0,1,5,5,,,,,,,,,
7,300000,0,0,2,5,1,1,6,1,,,,,,
8,750000,0,0,1,6,2,,,,,,,,,
9,1500000,0,0,2,5,1,1,7,1,0,7,1,,,
10,3000000,0,0,2,5,1,1,8,1,0,7,1,,,
11,6000000,0,0,2,6,1,1,9,1,,,,,,
12,12000000,0,0,2,6,2,1,8,1,0,9,1,,,
13,24000000,0,0,2,6,3,1,10,1,0,9,1,,,
