star,gold,magic_potion,awaken_book,material_id_1,material_star_1,material_number_1,material_id_2,material_star_2,material_number_2,material_id_3,material_star_3,material_number_3,material_id_4,material_star_4,material_number_4
2,200,400,0,10001,1,1,,,,,,,,,
3,300,600,0,10001,2,1,,,,,,,,,
4,400,800,0,10001,3,2,,,,,,,,,
5,500,1000,0,10001,4,3,,,,,,,,,
6,600,1200,0,10001,5,4,,,,,,,,,
7,700,1400,0,10001,5,1,1,5,1,,,,,,
8,800,1600,0,10001,5,1,1,5,1,,,,,,
9,900,1800,0,10001,5,1,1,5,1,1,5,1,,,
10,1000,2000,0,10001,5,1,1,5,1,1,5,1,,,
11,1100,2200,0,10001,5,1,1,5,1,1,5,1,1,5,1
12,1200,2400,0,10001,5,1,1,5,1,1,5,1,1,5,1
