id,is_new_equipment,tier,rarity,star,price,price_forge,magical_crystal_price,set_id,option_type,option_param_1,option_param_2,option_param_3,option_param_4,option_param_5
1001,,1,1,1,10,,,-1,1,1,4,3,,
1003,,3,2,1,10,,,-1,1,1,9,3,,
1005,,5,2,2,10,,,-1,1,1,25,3,,
1010,,10,3,1,10,,,-1,1,1,49,3,,
1011,,11,3,2,10,1000,,-1,1,1,100,3,,
1012,,12,3,3,20,2000,,-1,1,1,169,3,,
1013,,13,4,1,50,3000,,1,1,1,256,3,,
1014,,14,4,2,100,5000,,2,1,1,400,3,,
1015,,15,4,3,200,7000,,3,1,1,576,3,,
1016,,16,4,4,400,10000,,4,1,1,784,3,,
1017,,17,5,1,1000,15000,,5,1,1,1024,3,,
1018,,18,5,2,2000,20000,,6,1,1,1296,3,,
1019,,19,5,3,4000,40000,,7,1,1,1600,3,,
1020,,20,5,4,6000,100000,,8,1,1,1936,3,,
1021,,21,5,5,8000,200000,,9,1,1,2304,3,,
1022,,22,6,1,10000,1000000,,10,1,1,2809,3,,
,,,,,,,,,1,11,0.01,1,,
1023,,23,6,2,12000,1200000,,11,1,1,3481,3,,
,,,,,,,,,1,11,0.04,1,,
1024,,24,6,3,16000,1600000,,12,1,1,4356,3,,
,,,,,,,,,1,11,0.09,1,,
1025,,25,6,4,20000,2000000,,13,1,1,5776,3,,
,,,,,,,,,1,11,0.15,1,,
1026,,26,6,5,30000,3000000,,14,1,1,7744,3,,
,,,,,,,,,1,11,0.22,1,,
1027,,27,6,6,45000,4500000,,15,1,1,11664,3,,
,,,,,,,,,1,11,0.3,1,,
1028,TRUE,28,7,1,90000,9000000,30,21,1,1,12886,3,,
,,,,,,,,,1,11,0.38,1,,
1100,,100,6,6,1000000,,,16,1,1,7405,3,,
,,,,,,,,,1,11,0.15,1,,
,,,,,,,,,1,1,0.15,1,2,
1102,,102,6,6,1000000,,,17,1,1,7405,3,,
,,,,,,,,,1,11,0.15,1,,
,,,,,,,,,1,11,0.15,1,4,
1104,,104,6,6,1000000,,,18,1,1,7405,3,,
,,,,,,,,,1,11,0.15,1,,
,,,,,,,,,1,31,0.15,1,1,
1106,,106,6,6,1000000,,,19,1,1,7405,3,,
,,,,,,,,,1,11,0.15,1,,
,,,,,,,,,1,3,0.15,1,3,
1108,,108,6,6,1000000,,,20,1,1,7405,3,,
,,,,,,,,,1,11,0.15,1,,
,,,,,,,,,1,3,0.15,1,5,
2001,,1,1,1,10,,,-1,1,3,52,3,,
2003,,3,2,1,10,,,-1,1,3,117,3,,
2005,,5,2,2,10,,,-1,1,3,325,3,,
2010,,10,3,1,10,,,-1,1,3,637,3,,
2011,,11,3,2,10,1000,,-1,1,3,1300,3,,
2012,,12,3,3,20,2000,,-1,1,3,2197,3,,
2013,,13,4,1,50,3000,,1,1,3,3328,3,,
2014,,14,4,2,100,5000,,2,1,3,5200,3,,
2015,,15,4,3,200,7000,,3,1,3,7488,3,,
2016,,16,4,4,400,10000,,4,1,3,10192,3,,
2017,,17,5,1,1000,15000,,5,1,3,13312,3,,
2018,,18,5,2,2000,20000,,6,1,3,16848,3,,
2019,,19,5,3,4000,40000,,7,1,3,20800,3,,
2020,,20,5,4,6000,100000,,8,1,3,25168,3,,
2021,,21,5,5,8000,200000,,9,1,3,29952,3,,
2022,,22,6,1,10000,1000000,,10,1,3,36517,3,,
,,,,,,,,,1,21,295,3,,
2023,,23,6,2,12000,1200000,,11,1,3,45253,3,,
,,,,,,,,,1,21,325,3,,
2024,,24,6,3,16000,1600000,,12,1,3,56628,3,,
,,,,,,,,,1,21,389,3,,
2025,,25,6,4,20000,2000000,,13,1,3,75088,3,,
,,,,,,,,,1,21,506,3,,
2026,,26,6,5,30000,3000000,,14,1,3,100672,3,,
,,,,,,,,,1,21,709,3,,
2027,,27,6,6,45000,4500000,,15,1,3,151632,3,,
,,,,,,,,,1,21,1063,3,,
2028,TRUE,28,7,1,90000,9000000,30,21,1,3,167518,3,,
,,,,,,,,,1,21,1595,3,,
2100,,100,6,6,1000000,,,16,1,3,111081,3,,
,,,,,,,,,1,41,0.07,1,,
,,,,,,,,,1,31,0.15,1,2,
2102,,102,6,6,1000000,,,17,1,3,111081,3,,
,,,,,,,,,1,41,0.07,1,,
,,,,,,,,,1,3,0.15,1,4,
2104,,104,6,6,1000000,,,18,1,3,111081,3,,
,,,,,,,,,1,41,0.07,1,,
,,,,,,,,,1,3,0.15,1,1,
2106,,106,6,6,1000000,,,19,1,3,111081,3,,
,,,,,,,,,1,41,0.07,1,,
,,,,,,,,,1,1,0.15,1,3,
2108,,108,6,6,1000000,,,20,1,3,111081,3,,
,,,,,,,,,1,41,0.07,1,,
,,,,,,,,,1,31,0.15,1,5,
3001,,1,1,1,10,,,-1,1,2,3,3,,
3003,,3,2,1,10,,,-1,1,2,4,3,,
3005,,5,2,2,10,,,-1,1,2,6,3,,
3010,,10,3,1,10,,,-1,1,2,11,3,,
3011,,11,3,2,10,1000,,-1,1,2,21,3,,
3012,,12,3,3,20,2000,,-1,1,2,36,3,,
3013,,13,4,1,50,3000,,1,1,2,55,3,,
3014,,14,4,2,100,5000,,2,1,2,85,3,,
3015,,15,4,3,200,7000,,3,1,2,123,3,,
3016,,16,4,4,400,10000,,4,1,2,167,3,,
3017,,17,5,1,1000,15000,,5,1,2,218,3,,
3018,,18,5,2,2000,20000,,6,1,2,276,3,,
3019,,19,5,3,4000,40000,,7,1,2,341,3,,
3020,,20,5,4,6000,100000,,8,1,2,413,3,,
3021,,21,5,5,8000,200000,,9,1,2,491,3,,
3022,,22,6,1,10000,1000000,,10,1,2,599,3,,
,,,,,,,,,1,2,0.01,1,,
3023,,23,6,2,12000,1200000,,11,1,2,741,3,,
,,,,,,,,,1,2,0.03,1,,
3024,,24,6,3,16000,1600000,,12,1,2,928,3,,
,,,,,,,,,1,2,0.06,1,,
3025,,25,6,4,20000,2000000,,13,1,2,1230,3,,
,,,,,,,,,1,2,0.1,1,,
3026,,26,6,5,30000,3000000,,14,1,2,1649,3,,
,,,,,,,,,1,2,0.14,1,,
3027,,27,6,6,45000,4500000,,15,1,2,2484,3,,
,,,,,,,,,1,2,0.19,1,,
3028,TRUE,28,7,1,90000,9000000,30,21,1,2,2762,3,,
,,,,,,,,,1,2,0.25,1,,
3100,,100,6,6,1000000,,,16,1,2,2222,3,,
,,,,,,,,,1,2,0.14,1,,
,,,,,,,,,1,30,0.15,1,2,
3102,,102,6,6,1000000,,,17,1,2,2222,3,,
,,,,,,,,,1,2,0.14,1,,
,,,,,,,,,1,41,0.15,1,4,
3104,,104,6,6,1000000,,,18,1,2,2222,3,,
,,,,,,,,,1,2,0.14,1,,
,,,,,,,,,1,41,0.15,1,1,
3106,,106,6,6,1000000,,,19,1,2,2222,3,,
,,,,,,,,,1,2,0.14,1,,
,,,,,,,,,1,41,0.15,1,3,
3108,,108,6,6,1000000,,,20,1,2,2222,3,,
,,,,,,,,,1,2,0.14,1,,
,,,,,,,,,1,41,0.15,1,5,
4001,,1,1,1,10,,,-1,1,20,10,3,,
4003,,3,2,1,10,,,-1,1,20,15,3,,
4005,,5,2,2,10,,,-1,1,20,22,3,,
4010,,10,3,1,10,,,-1,1,20,31,3,,
4011,,11,3,2,10,1000,,-1,1,20,42,3,,
4012,,12,3,3,20,2000,,-1,1,20,55,3,,
4013,,13,4,1,50,3000,,1,1,20,70,3,,
4014,,14,4,2,100,5000,,2,1,20,87,3,,
4015,,15,4,3,200,7000,,3,1,20,106,3,,
4016,,16,4,4,400,10000,,4,1,20,127,3,,
4017,,17,5,1,1000,15000,,5,1,20,150,3,,
4018,,18,5,2,2000,20000,,6,1,20,175,3,,
4019,,19,5,3,4000,40000,,7,1,20,202,3,,
4020,,20,5,4,6000,100000,,8,1,20,231,3,,
4021,,21,5,5,8000,200000,,9,1,20,262,3,,
4022,,22,6,1,10000,1000000,,10,1,20,295,3,,
,,,,,,,,,1,41,0.005,1,,
4023,,23,6,2,12000,1200000,,11,1,20,325,3,,
,,,,,,,,,1,41,0.01,1,,
4024,,24,6,3,16000,1600000,,12,1,20,389,3,,
,,,,,,,,,1,41,0.02,1,,
4025,,25,6,4,20000,2000000,,13,1,20,506,3,,
,,,,,,,,,1,41,0.03,1,,
4026,,26,6,5,30000,3000000,,14,1,20,709,3,,
,,,,,,,,,1,41,0.05,1,,
4027,,27,6,6,45000,4500000,,15,1,20,1063,3,,
,,,,,,,,,1,41,0.07,1,,
4028,TRUE,28,7,1,90000,9000000,30,21,1,20,1595,3,,
,,,,,,,,,1,41,0.1,1,,
4100,,100,6,6,1000000,,,16,1,20,1063,3,,
,,,,,,,,,1,21,1063,3,,
,,,,,,,,,1,1,0.15,1,2,
4102,,102,6,6,1000000,,,17,1,20,1063,3,,
,,,,,,,,,1,21,1063,3,,
,,,,,,,,,1,32,0.15,1,4,
4104,,104,6,6,1000000,,,18,1,20,1063,3,,
,,,,,,,,,1,21,1063,3,,
,,,,,,,,,1,3,0.15,1,1,
4106,,106,6,6,1000000,,,19,1,20,1063,3,,
,,,,,,,,,1,21,1063,3,,
,,,,,,,,,1,1,0.15,1,3,
4108,,108,6,6,1000000,,,20,1,20,1063,3,,
,,,,,,,,,1,21,1063,3,,
,,,,,,,,,1,11,0.15,1,5,
