id,rarity,option_type,option_param_1,option_param_2,option_param_3,option_param_4,option_param_5
40008001,3,1,1,0.05,1,,
,,1,21,200,3,,
10005001,3,1,3,0.05,1,,
,,1,20,200,3,,
50003001,3,1,4,10,3,,
,,1,40,0.05,1,,
30006001,3,1,3,0.05,1,,
,,1,20,200,3,,
60003002,3,1,4,10,3,,
,,1,10,0.05,1,,
60009001,1,1,1,1000,3,,
,,1,3,14000,3,,
20001001,3,1,1,1000,3,,
,,1,30,0.05,1,,
30007002,3,1,3,15000,3,,
,,1,40,0.05,1,,
50011001,3,1,1,0.05,1,,
,,1,21,200,3,,
10004001,3,1,1,0.05,1,,
,,1,30,0.05,1,,
40003001,3,1,3,0.05,1,,
,,1,41,0.05,1,,
50001001,3,1,3,0.05,1,,
,,1,40,0.1,1,,
20001002,3,1,20,200,3,,
,,1,40,0.05,1,,
50006001,3,1,1,0.05,1,,
,,1,32,0.02,1,,
60008001,3,1,3,15000,3,,
,,1,41,0.05,1,,
60008002,4,1,1,3000,3,,
,,1,4,20,3,,
60006002,3,1,32,0.03,1,,
,,1,3,0.05,1,,
50002001,4,1,3,0.05,1,,
,,1,31,0.1,1,,
50006002,4,1,3,0.075,1,,
,,1,30,0.075,1,,
30001001,3,1,3,0.05,1,,
,,1,10,0.05,1,,
60010001,3,1,3,0.05,1,,
,,1,4,20,3,,
30007001,4,1,33,0.075,1,,
,,1,10,0.075,1,,
