group,upgrade_gold_price,upgrade_stone_dust_price,keep_property_price,convert_gold_price,convert_stone_dust_price,disassemble_rate
1,0,0,0,500,2,0
2,10000,36,10,1000,10,0.8
3,20000,84,10,1100,16,0.8
4,40000,180,50,1200,40,0.8
5,80000,340,50,1300,45,0.8
6,160000,580,50,1400,50,0.8
7,240000,916,100,60000,150,0.8
8,360000,1364,100,70000,170,0.8
9,540000,1940,100,80000,190,0.8
10,810000,2660,100,90000,210,0.8
11,1215000,3540,150,245000,300,0.8
12,1823000,4596,150,269500,325,0.8
13,2734000,5844,150,296450,350,0.8
14,4100000,7300,150,326095,375,0.8
15,6200000,8980,150,358705,400,0.8
16,7700000,10900,200,1922000,900,0.8
17,9600000,13076,200,1922000,955,0.8
18,12000000,15524,200,2403000,1050,0.8
19,15000000,18260,300,3003000,1155,0.8
20,18800000,21300,500,3003000,1270,0.8
21,23500000,24660,1000,3003000,1397,0.8
