id,tier,level,option_type,option_param_1,option_param_2,option_param_3,option_param_4,option_param_5
1000101,1,1,1,1,4800,3,,
1000201,1,1,1,1,0.945,1,,
1000301,1,1,1,2,1.5,1,,
1000401,1,1,1,3,141750,3,,
1000501,1,1,1,3,0.63,1,,
1000601,1,1,1,4,220,3,,
1000701,1,1,1,10,0.8,1,,
1000801,1,1,1,11,0.8,1,,
1000901,1,1,1,20,2536,3,,
1001001,1,1,1,21,2536,3,,
1001101,1,1,1,30,0.48,1,,
1001201,1,1,1,31,0.58,1,,
1001301,1,1,1,32,0.48,1,,
1001401,1,1,1,40,0.775,1,,
1001501,1,1,1,41,0.24,1,,
1001601,1,1,1,33,0.36,1,,
