key<>value
1001<>Brave Heart
1002<>Steel Sword
1003<>Wooden Shield
1004<>Archer Eye
1005<>Silver Bow
1007<>Gladiator Armor
2002<>Ocean's Blessing
2003<>Berserker Horn
2004<>Cursed Mask
2005<>Divine Bow
2006<>Wings of Glory
2007<>Dark Phoenix Egg
2009<>Gladiator Sword
2010<>Sharp Blade
2011<>Priest's Bible
2012<>Wanderer's Lute
2013<>Mystical Sign
3003<>Magic Conch
3004<>Priest's Fruit
3005<>Firewyrm Scale
3006<>Dark Essence
3007<>Liberty Sword
3008<>Spirit Skull
3009<>Phoenix Ring
4002<>Holy Feather
4004<>Sacrificial Knife
4006<>Cowardice Blade
4007<>Glory Gauntlets
