key<>value
1001<>Hati Yang Berani
1002<>Pedang Baja
1003<>Perisai Kayu
1004<>Mata Pemanah
1005<>Busur Perak
1007<>Armor Gladiator
2002<>Berkah Laut
2003<>Tanduk Berserker
2004<>Topeng Terkutuk
2005<>Busur Ilahi
2006<>Sayap Kemuliaan
2007<>Telur Phoenix Gelap
2009<>Pedang Gladiator
2010<>Pedang Tajam
2011<>Alkitab Imam
2012<>Kecapi Pengembara
2013<>Tanda Mistik
3003<>Keong Ajaib
3004<>Buah Imam
3005<>Skala Firewyrm
3006<>Esensi Gelap
3007<>Pedang Liberty
3008<>Tengkorak Roh
3009<>Cincin Phoenix
4002<>Bulu Suci
4004<>Pisau Pengorbanan
4006<>Pisau Pengecut
4007<>Lengan Kemuliaan
