key<>value
1001<>Храброе Сердце
1002<>Стальной Меч
1003<>Деревянный Щит
1004<>Глаз Лучника
1005<>Серебряный Лук
1007<>Доспехи Гладиатора
2002<>Благословение Океана
2003<>Рог Берсерка
2004<>Проклятая Маска
2005<>Божественный Лук
2006<>Крылья Славы
2007<>Яйцо Темного Феникса
2009<>Меч Гладиатора
2010<>Сюрикен
2011<>Библия Священника
2012<>Лютня Странника
2013<>Мистический Знак
3003<>Волшебная Раковина
3004<>Плод Жреца
3005<>Чешуя Огненного Змея
3006<>Темная Сущность
3007<>Меч Свободы
3008<>Череп Духа
3009<>Кольцо Феникса
4002<>Святое Перо
4004<>Жертвенный Нож
4006<>Клинок Трусости
4007<>Рукавицы Славы
