key<>value
feature_content_5<>En Torre del Dragón, hay muchos desafíos y recompensas esperando que descubras.
feature_content_7<>En Taberna, puede designar a los Héroes para participar en las misiones para recibir recompensas.
feature_content_8<>En Árbol Profética, puedes convocar al Héroe que elijas.
feature_content_9<>En Infierno, hay muchos niveles de desafíos y recompensas esperándote.
feature_content_10<>En Gremio, te unirás a los otros miembros de Gremio para participar en la lucha y recibir recompensas.
feature_content_11<>En Rueda del Destino, tendrás la oportunidad de recibir valiosas recompensas.
feature_content_12<>En Arena, compites contra otros jugadores y obtienes recompensas.
feature_content_16<>En Tabla suplementaria, puedes aumentar tu fuerza por clase de héroe
feature_content_18<>En el modo Desafío, tienes la opción de participar en varios eventos de Desafío y recibir recompensas.
feature_content_13<>En Mina de oro, puedes obtener Oro gratis o puedes usar la gema para comprar más oro.
feature_content_20<>Puedes subir el nivel de muchos héroes igual al héroe de nivel más bajo de los Mighty Five
feature_content_21<>Enhorabuena Has desbloqueado Fortaleza
feature_content_23<>Enhorabuena Has desbloqueado Arena Marcial 
feature_content_24<>Enhorabuena Has desbloqueado Regreso 
feature_content_26<>Explora con amigos, recibe más recompensas.
