key<>value
feature_content_5<>Tại Tháp Rồng, có rất nhiều thử thách và phần thưởng đang chờ bạn khám phá.
feature_content_7<>Tại Hội quán, bạn có thể cử các Anh hùng tham gia vào các nhiệm vụ để nhận thưởng.
feature_content_8<>Tại Cây Tiên Tri, bạn có thể triệu hồi Anh hùng theo hệ mình mong muốn.
feature_content_9<>Tại Hỏa Ngục, có rất nhiều tầng thử thách và phần thưởng giá trị đang chờ bạn.
feature_content_10<>Tại Bang Hội, bạn sẽ cùng với những thành viên khác trong Bang Hội tham gia chiến đấu và nhận thưởng.
feature_content_11<>Tại Vòng Quay Định Mệnh, bạn sẽ có cơ hội nhận được những phần thưởng giá trị.
feature_content_12<>Tại Đấu Trường, bạn sẽ so tài với những người chơi khác và nhận thưởng.
feature_content_16<>Tại Bảng bổ trợ, bạn có thể tăng sức mạnh theo tộc Anh hùng
feature_content_18<>Tại chế độ Thử Thách, bạn có thể tùy chọn tham gia các sự kiện Thách Đấu khác nhau và nhận thưởng.
feature_content_13<>Tại Mỏ vàng, bạn có thể nhận được Vàng miễn phí hoặc có thể dùng Ngọc để mua thêm vàng.
feature_content_20<>Bạn có thể tăng cấp độ cho nhiều Anh hùng bằng với cấp độ thấp nhất của anh hùng trong nhóm Ngũ Hùng.
feature_content_21<>Xin chúc mừng! Bạn đã mở khoá tính năng mới: Pháo Đài
feature_content_23<>Xin chúc mừng! Bạn đã mở khoá tính năng mới: Đấu Trường Trí Dũng
feature_content_24<>Xin chúc mừng! Bạn đã mở khoá tính năng mới: Phân Rã
feature_content_26<>Khám phá Bí cảnh cùng bạn bè, nhận thưởng nhiều hơn nữa.
