key<>value
1001<>Épée émoussée
1003<>Hache d'avant-garde
1005<>Marteau de guerre
1010<>Épée longue
1011<>Épée tranchante
1012<>Dague de guerre
1013<>Arbalète de dragon
1014<>Baguette magique glacée
1015<>Épée élégante
1016<>Baguette magique élémentaire
1017<>Griffe d'assassin
1018<>Épée en os
1019<>Baguette magique épineuse
1020<>Faux de monstre
1021<>Couperet de fantôme nocturne
1022<>Faux de sorcier
1023<>Sabre de flamme
1024<>Épée sainte
1025<>Couperet de Conquérant ancien
1026<>Bâton de chasseur humain
1027<>Bâton du prophète
1028<>Preuve de destruction
1100<>Hache de courage
1102<>Épée de nuit
1104<>Bâton d'alchimiste
1106<>Bâton de maître
1108<>Arbalète sainte
2001<>Armure de cuir
2003<>Armure de fer
2005<>Armure de cuivre
2010<>Armure de durabilité
2011<>Armure de gardien
2012<>Armure d'élément
2013<>Armure de dragon
2014<>Armure de plumes
2015<>Armure d'élégance
2016<>Armure de sorcière
2017<>Armure des crocs du dragon
2018<>Armure d'os
2019<>Armure d'épine
2020<>Armure de monstre
2021<>Armure de fantôme nocturne
2022<>Armure de courage
2023<>Armure de flamme
2024<>Armure de saint
2025<>Armure de conquérant ancien
2026<>Armure de chasseur humain
2027<>Armure de prophète
2028<>Armor of Destruction
2100<>Armure de vaillance
2102<>Robe de l'enfer
2104<>Armure de gloire
2106<>Armure de divin
2108<>Armure de bénédiction au clair de lune
3001<>Casque en cuir
3003<>Casque en fer
3005<>Casque en cuivre
3010<>Casque en métal
3011<>Casque de chevalier
3012<>Casque d'élément
3013<>Casque de dragon
3014<>Casque de plumes
3015<>Casque d'élégance
3016<>Casque de sorcière
3017<>Casque des crocs du dragon
3018<>Casque en os
3019<>Casque d'épine
3020<>Casque de monstre
3021<>Casque de fantôme nocturne
3022<>Casque de courage
3023<>Casque de flamme
3024<>Casque de saint
3025<>Casque de conquérant ancient
3026<>Casque maléfique
3027<>Casque de prophète
3028<>Casque de destruction
3100<>Casque de vaillance
3102<>Casque de l'enfer
3104<>Casque de gloire
3106<>Casque de divin
3108<>Armure de pécheur
4001<>Bague en argent
4003<>Collier chanceux
4005<>Bague en cuivre
4010<>Bague en métal
4011<>Collier croix en or
4012<>Bague d'élément
4013<>Bague de dragon
4014<>Collier en pierre
4015<>Bague d'élégance
4016<>Collier de sorcière
4017<>Bague de crocs du dragon
4018<>Collier en os
4019<>Collier d'épine
4020<>Bague de monstre
4021<>Bague de fantôme nocturne
4022<>Collier de courage
4023<>Bague de flamme
4024<>Bague de saint
4025<>Bague de conquérant ancient
4026<>Collier maléfique
4027<>Collier de prophète
4028<>Joyau de destruction
4100<>Bague de vaillance
4102<>Bague d'enfer
4104<>Bague de gloire
4106<>Bague de divin
4108<>Collier de bénédiction au clair de lune
