key<>value
1001<>무딘 칼날
1003<>선봉 도끼
1005<>전쟁 망치
1010<>긴 검
1011<>샤프한 검
1012<>전쟁 단검
1013<>용 석궁
1014<>얼음 지팡이
1015<>우아한 검
1016<>정령의 지팡이
1017<>살인자 발톱
1018<>뼈 검
1019<>가시 지팡이
1020<>괴물 낫
1021<>어둠의 큰 칼
1022<>마녀 낫
1023<>플레임 세이버
1024<>홀리검
1025<>고인 정복 칼
1026<>휴먼 헌터 지팡이
1027<>예언 지팡이
1028<>파괴의 증거
1100<>용기 도끼
1102<>나이트 블레이드
1104<>연금 지팡이
1106<>마스터 지팡이
1108<>거룩한 석궁
2001<>가죽 갑옷
2003<>철 갑옷
2005<>구리 갑옷
2010<>튼튼한 갑옷
2011<>수호자의 갑옷
2012<>정령 갑옷
2013<>용 갑옷
2014<>깃털 갑옷
2015<>아우한 갑옷
2016<>마녀 갑옷
2017<>용 송곳니 갑옷
2018<>뼈 갑옷
2019<>가시 갑옷
2020<>괴물 갑옷
2021<>어둠 갑옷
2022<>용기 갑옷
2023<>플레임 갑옷
2024<>홀리 갑옷
2025<>고인 정복 갑옷
2026<>휴먼 헌터 갑옷
2027<>예언 갑옷
2028<>파괴의 갑옷
2100<>용감 갑옷
2102<>지옥의 로브
2104<>영광 갑옷
2106<>신의 갑옷
2108<>달빛 축복 갑옷
3001<>가죽 헬멧
3003<>철 헬멧
3005<>구리 헬멧
3010<>금속 헬멧
3011<>기사 헬멧
3012<>정령 헬멧
3013<>드래곤 헬멧
3014<>깃털 헬멧
3015<>아우한 헬멧
3016<>마녀 헬멧
3017<>용 송곳니 헬멧
3018<>뼈 헬멧
3019<>가시 헬멧
3020<>괴물 헬멧
3021<>어둠 헬멧
3022<>용기 헬멧
3023<>플레임 헬멧
3024<>홀리 헬멧
3025<>고인 정복 헬멧
3026<>귀신 헬멧
3027<>예언 헬멧
3028<>파괴의 투구
3100<>용감 헬멧
3102<>지옥의 헬멧
3104<>영광 헬멧
3106<>신의 헬멧
3108<>죄인 갑옷
4001<>실버 링
4003<>운행 목걸이
4005<>구리 반지
4010<>금속 반지
4011<>금 십자 목걸이
4012<>정령의 반지
4013<>그래곤 링
4014<>돌 목걸이
4015<>아우한 반지
4016<>마녀 목걸이
4017<>용 송곳니 반지
4018<>뼈 목걸이
4019<>가시 목걸이
4020<>괴물 반지
4021<>어둠 반지
4022<>용기 목걸이
4023<>플레임 링
4024<>홀리 링
4025<>고인 정복 반지
4026<>귀신 반지
4027<>예언 목걸이
4028<>파괴의 보석
4100<>용감 반지
4102<>지옥 반지
4104<>영광 반지
4106<>신의 반지
4108<>달빛 축복 목걸이
