key<>value
10001_1<>Hyper Strike
10001_2<>Ice Breaker
10001_3<>Ice Armor
10001_4<>Frozen Counter
10002_1<>Throw Mine
10002_2<>Lacerate
10002_3<>Malefic Gun
10002_4<>Deadeye
10003_1<>Ebb and Flow
10003_2<>Mark of Healing
10003_3<>Water Protection
10003_4<>Mythical Creature
10004_1<>Freeze
10004_2<>Frostcoming
10004_3<>Frostbite
10004_4<>Ice Woman 
10005_1<>Home Run
10005_2<>Misty Blades
10005_3<>Misty Bindings
10005_4<>Misty Veil
10006_1<>Shark Summon
10006_2<>Protective Bond
10006_3<>Aqua Shield
10006_4<>Self-healing
10007_1<>Hailstorm
10007_2<>Water Spreader
10007_3<>Water Restraint
10007_4<>Ocean Rage
10008_1<>Judgment
10008_2<>Fighting Instinct
10008_3<>Ice Age Hunter
10008_4<>Kill Streak
10009_1<>Water Cyclone
10009_2<>Bouncing Ball
10009_3<>Water Ward
10009_4<>Cecaelia
10010_1<>Frontal Smash
10010_2<>Shorty's Fury
10010_3<>Ocean Armor
10010_4<>Cold Rage
10011_1<>Critical Shot
10011_2<>Revenge Shot
10011_3<>Harpoon
10011_4<>Agile Bowman
10012_1<>Slow Death
10012_2<>Waterband
10012_3<>Careful Preparation
10012_4<>Fatal Fate
10013_1<>Ocean Wave
10013_2<>Warrior's Doom
10013_3<>Corruption
10013_4<>Staff of the Sea
10014_1<>Ice Needle
10014_3<>Ice Power
10015_1<>Rapid Shot
10015_3<>Heavy Anchor
10015_4<>Stun
10016_1<>Hop, Skip, Jump
10016_2<>Tough Skin
10016_3<>Mage's Rupture
10016_4<>Damage Block
10017_1<>The Quiet Priest
10017_2<>Glugrgly's Spirit
10017_4<>Lightning Power
10018_1<>Backstab
10018_3<>Armor Break
10018_4<>Critical Lifesteal
10019_1<>Frontal Attack
10019_3<>Accuracy Reduction
10019_4<>Bravery
10020_1<>Back Shot
10020_3<>Adaptable
10020_4<>Silence
10021_1<>A Drill for Assassins
10021_2<>Beefy
10021_4<>Rage
10022_1<>Stunball
10022_2<>Burly
10022_4<>Speed Rage
10023_1<>Back Clone Attack
10023_3<>Penetration
10024_1<>Stunning Harpoon
10024_2<>Precision
10025_1<>Back Slash
10026_1<>Jump Attack
20001_1<>Burning Wings
