key<>value
10001_1<>#VALUE!
10001_2<>Pemecah Es
10001_3<>Armor es
10001_4<>Counter Beku.
10002_1<>Lempar milikku
10002_2<>Mengoyakkan
10002_3<>Senjata Malefic
10002_4<>Penembak jitu
10003_1<>Pasang surut
10003_2<>Tanda penyembuhan
10003_3<>Perlindungan air
10003_4<>Makhluk mitos
10004_1<>Membekukan
10004_2<>Kebangkitan.
10004_3<>Radang dingin
10004_4<>Wanita es
10005_1<>Home run
10005_2<>Blades berkabut
10005_3<>Bungkus kabut
10005_4<>Kerudung berkabut
10006_1<>Pemanggilan Hiu
10006_2<>Obligasi pelindung
10006_3<>Perisai air
10006_4<>Penyembuhan diri sendiri
10007_1<>Hujan es
10007_2<>Penyebar air
10007_3<>Menahan air.
10007_4<>Amal samudra
10008_1<>Pertimbangan
10008_2<>Melawan Insting
10008_3<>Pemburu Zaman Es.
10008_4<>Pembunuhan berantai
10009_1<>Siklon air.
10009_2<>Bola memantul
10009_3<>#VALUE!
10009_4<>#VALUE!
10010_1<>Pukulan Frontal
10010_2<>kurcaci gila
10010_3<>Armor Ocean.
10010_4<>Kemarahan dingin
10011_1<>Tembakan kritis
10011_2<>Tembakan Balas Dendam
10011_3<>Seruit
10011_4<>Pemanah tangkas
10012_1<>Kematian lambat
10012_2<>#VALUE!
10012_3<>#VALUE!
10012_4<>Nasib fatal.
10013_1<>Gelombang laut.
10013_2<>Kehancuran Prajurit
10013_3<>Korupsi
10013_4<>Staf laut
10014_1<>Jarum es
10014_3<>Es Power.
10015_1<>Tembakan cepat
10015_3<>Jangkar berat.
10015_4<>#VALUE!
10016_1<>#VALUE!
10016_2<>Kulit tangguh
10016_3<>Pecahnya Penyihir
10016_4<>Kerusakan blok.
10017_1<>Imam yang tenang
10017_2<>Roh Glugrgly
10017_4<>#VALUE!
10018_1<>#VALUE!
10018_3<>#VALUE!
10018_4<>Lifesteal kritis.
10019_1<>Serangan frontal.
10019_3<>Pengurangan akurasi
10019_4<>Keberanian
10020_1<>Tembakan Kembali
10020_3<>Mudah beradaptasi
10020_4<>Kesunyian
10021_1<>Bor bit untuk pembunuh
10021_2<>Berdaging
10021_4<>Kemarahan
10022_1<>#VALUE!
10022_2<>Buron
10022_4<>Kecepatan marah
10023_1<>Ilusi Menyelinap
10023_3<>Penetrasi
10024_1<>Harpoon yang menakjubkan
10024_2<>Presisi
10025_1<>Kembali tebasan
10026_1<>Melompat menyerang
20001_1<>Sayap Terbakar
20001_2<>Tangan terbakar
20001_3<>Phoenix
20001_4<>Kelahiran kembali
20002_1<>Semangat membara
20002_2<>Penyembuhan sentuh
20002_3<>Persepsi berapi-api
20002_4<>Bersifat ketuhanan
20003_1<>Menabrak uang itu
20003_2<>Membersihkan
20003_3<>Pembela
20003_4<>Berserker kemarahan
20004_1<>Membungkam yang lemah
20004_2<>Kursi terobosan
20004_3<>Pelatihan tanpa henti
20004_4<>kredo pembunuh
20005_1<>Tendangan Api Frontal
20005_2<>Aura Api Merah
20005_3<>Inferno di gerbang
20005_4<>Memicu api
20006_1<>ledakan magma
20006_2<>Pembakaran
20006_3<>Kristal Magma
20006_4<>Api abadi
20007_1<>Rubah api
20007_2<>Lagu pengantar tidur di belakang
20007_3<>Rubah berekor sembilan
20007_4<>Penyembuhan api
20008_1<>Serangan menyilaukan
20008_2<>Penghasut perang
20008_3<>Penghancur Kembali
20008_4<>Tekad kritis.
20009_1<>Napas api
20009_2<>Binatang kolosal
20009_3<>Bash yang lebih besar
20009_4<>Kemarahan Dispel.
20010_1<>Spike Sluggish.
20010_2<>Menyembuhkan lonjakan
20010_3<>Kaki yang tajam
20010_4<>Lapisan Silken.
20011_1<>Pendeta stomper.
20011_2<>Priestbane Minotaur.
20011_3<>Serangan Berturut-turut
20011_4<>Regen Daging Sapi
20012_1<>Serangan Berturut-turut
20012_2<>Membakar Armor
20012_3<>Orce cair.
20012_4<>korek api lava
20013_1<>Kejutan prajurit
20013_2<>Kasar
20013_4<>Peluang Setrum
20014_1<>Kembali menghancurkan
20014_2<>Konstitusi lava
20014_3<>Pukulan cemeti
20014_4<>Kemarahan energi
20015_1<>Pembakaran kembali.
20015_2<>Efisiensi
20015_4<>Serangan penyembuhan
20016_1<>Neraka
20016_2<>Akumulasi panas
20016_3<>Kehendak abadi
20016_4<>Pelepasan cair.
20017_1<>Pukulan Penyelesaian
20018_1<>Batu api
20019_1<>Tebasan Frontal
20019_3<>Besar
20020_1<>tiup api
20020_3<>Penetrasi Armor
20020_4<>Terbuat dari api
20021_1<>Panah api
20021_2<>Presisi
20022_1<>Kembali Cakar
20022_3<>Tangan Energi
20023_1<>Ledakan punggung
20023_3<>Menghindari
20023_4<>Kemarahan kelincahan
20024_1<>sabit bash
20024_3<>Gigih
20024_4<>Pukulan Korosif
20025_1<>Pembunuh raksasa
20025_2<>Echolokasi
20025_4<>Memvonis
20026_1<>Bola penyembuhan api
20026_2<>Penghalang penghalang
20026_3<>Hit Pemulihan
30001_1<>Cara ke neraka.
30001_2<>Pencabut nyawa
30001_3<>Pembalasan Jiwa
30001_4<>Devil Horns.
30002_1<>Avalace ke depan
30002_2<>Terbuat dari batu
30002_3<>Kerusakan negasi.
30002_4<>Passing Restoratif
30003_1<>Buku kematian
30003_2<>Mayat hidup
30003_3<>Tangan Berdarah
30003_4<>Tanpa jiwa
30004_1<>Tatapan membatu
30004_2<>Sengatan Racun
30004_3<>Talonahi
30004_4<>Tak berujung
30005_1<>Melahap dunia
30005_2<>Makhluk besar.
30005_3<>Gigitan Berbisa
30005_4<>Skala beracun
30006_1<>Penyelesai Vendetta
30006_2<>Pengamuk
30006_3<>Garis Hidup Ghostifikasi
30006_4<>Duri tajam.
30007_1<>Napas membatu
30007_2<>Naga Mayat Hidup
30007_3<>Tulang cockatrice.
30007_4<>Kebangunan rohani bumi
30008_1<>Kristalisasi frontal.
30008_2<>Tubuh raksasa
30008_3<>Resonansi gelap
30008_4<>Perhitungan kristal
30009_1<>tembakan artileri
30009_2<>Cannoneer yang luar biasa
30009_3<>Ledakan mereka
30009_4<>Penguasaan artileri
30010_1<>Menghancurkan sembuh
30010_2<>Sihir pemulihan berenergi
30010_3<>Penyembuhan cahaya
30010_4<>Memblokir tangan
30011_1<>Menyebarkan penyakit
30011_2<>Rezynance menular
30011_3<>Penularan
30011_4<>Epidemi
30012_1<>Mutlak nol.
30012_2<>Mudah beradaptasi
30012_3<>Pemecah Batu
30012_4<>Pukulan Pendarahan
30013_1<>Penyembuhan Ray.
30013_2<>sabit menyembuhkan
30013_3<>Subsisten yang langgeng.
30013_4<>Kemarahan kekerasan
30014_1<>dinger berdarah
30014_2<>Darah dibalas darah
30014_3<>PENGIRIMAN PARRY
30014_4<>Balas dendam
30015_1<>Perdarahan tebasan
30015_4<>Pukulan Pendarahan
30016_1<>Tembakan kembali
30017_1<>Kembali Cakar
30018_1<>Armor iris.
30018_2<>Akhir
30018_3<>Panen Berdarah
30019_1<>Bulu racun
30019_2<>Selesaikan yang terluka
30019_4<>Kemarahan beracun
30020_1<>Sabun kembali tebasan
30020_3<>Membengkelkan tubuh
30020_4<>Kutukan
30021_1<>Roh Gaia.
30021_2<>Perisai Batu
30021_4<>Pelan - pelan
30022_1<>Panah berdarah
30022_3<>Pemburu berpengalaman
30022_4<>Penembak kembali
30023_1<>Lampu korosif
30023_2<>Pengasapan
30023_4<>Hal itu
30024_1<>Pemotongan frontal
30024_3<>Kemarahan yang salah
30024_4<>Fleksibel
30025_1<>Bola Roh
30025_3<>Memperkuat Sihir
30026_1<>Haus darah
30026_3<>Pakta Merah
40001_1<>Mending Bola
40001_2<>Ketuk Penyembuhan
40001_3<>Staf Bulan
40001_4<>Kemarahan mengantuk
40002_1<>Melemahnya duri
40002_2<>Erosi
40002_3<>Pohon muda
40002_4<>Perisai Alam
40003_1<>Racun alami
40003_2<>tanda kering
40003_3<>Pertahanan alami
40003_4<>Perhitungan
40004_1<>Diam di depan
40004_2<>Membimbing tangan.
40004_3<>Membelah
40004_4<>Esensi dari alam.
40005_1<>Penyembuhan bambu
40005_2<>Kristal alami
40005_3<>Gema Terampil
40005_4<>Kerusakan negasi.
40006_1<>Perisai obat
40006_2<>Hit kuratif
40006_3<>Garis Berkah
40006_4<>Kemarahan alam
40007_1<>Serangan kilat
40007_2<>Serangan Penghindaran
40007_3<>Ketenangan
40007_4<>Berkat Kemarahan
40008_1<>Panah Racun
40008_2<>Musuh fana
40008_3<>Aura Balas Dendam
40008_4<>Defiance beracun
40009_1<>Pemogokan yang sulit dipahami
40009_2<>#VALUE!
40009_3<>Ilmu pedang.
40009_4<>Kesempurnaan
40010_1<>Racun granat.
40010_2<>Poison Pouch.
40010_3<>Toksisitas.
40010_4<>Rilis racun
40011_1<>Prajurit fist.
40011_2<>Jatuh pingsan
40011_3<>Terampil
40011_4<>binatang buas
40012_1<>Membungkam melodi
40012_2<>Bersemangat
40012_3<>Keheningan kritis
40012_4<>Tag tenang
40013_1<>Mainkan Catch.
40014_1<>Menusuk
40015_1<>Racun
40015_3<>#VALUE!
40016_1<>Klon racun
40016_2<>Serang ke atas
40017_1<>Pembunuh Tidak Suka
40017_4<>Kerusakan keterampilan naik
40018_1<>Slash yang akurat
40018_3<>Bersihkan Alam.
40018_4<>Sleepy Grip.
40019_1<>Pembunuh mimpi
40019_2<>Serang ke atas
40019_4<>Aspek mengantuk
40020_1<>Penyembuhan Gleam.
40020_3<>#VALUE!
40020_4<>Berani
40021_1<>Rebung
40021_2<>Sulit naik
40021_4<>Tindakan balasan
40022_1<>rayuan musik
40022_3<>Berkembang pesat
40022_4<>Tidur
40023_1<>Gigitan haus darah
40023_2<>Serangan balik
40023_3<>Kejam
40023_4<>Kemarahan liar
40024_1<>Lagu toksin
40024_2<>Keberanian
40024_3<>Tangan Racun
40024_4<>Kemarahan melodi
40025_1<>Sulap solid.
40025_2<>#VALUE!
40025_4<>Melewati sembuh
40026_1<>Menginjak
40026_2<>Licik
40026_3<>Bendungan terus menerus
50001_1<>Cahaya Berkah
50001_2<>Melemah
50001_3<>Ditandai penyembuhan
50001_4<>Permintaan terakhir
50002_1<>Mark Suci
50002_2<>Ditandai penebusan dosa
50002_3<>Reinkarnasi Suci
50002_4<>Berkat yang ditandai
50003_1<>Transfer semangat
50003_2<>Wawasan
50003_3<>Jiwa mencuri
50003_4<>Cahaya bangkit kembali
50004_1<>Perisai Ilahi
50004_2<>lambang kerajaan
50004_3<>Talon melengkung
50004_4<>Berkat Soar.
50005_1<>Pedang cahaya
50005_2<>Perisai cahaya
50005_3<>Penyembuhan cleave.
50005_4<>Pakta Cahaya
50006_1<>Glaive yang mengejutkan
50006_2<>Memantul seni
50006_3<>Putar ekstra
50006_4<>Gila
50007_1<>Dewi kemenangan.
50007_2<>Roh Mencuri
50007_3<>Lifeline.
50007_4<>Sanksi ilahi.
50008_1<>Sambaran Petir
50008_2<>Daya konduksi
50008_3<>Berenergi
50008_4<>Rilis listrik
50009_1<>Mengusir Kegelapan
50009_2<>Cahaya menusuk
50009_3<>Resonansi cahaya
50009_4<>Malaikat Berkat.
50010_1<>Topan suci
50010_2<>Serangan balik
50010_3<>Peluang Multistrike
50010_4<>Cahaya hukuman
50011_1<>Cahaya yang mengejutkan
50011_2<>Staf retribusi
50011_3<>#VALUE!
50011_4<>Akibat yang disucikan
50012_1<>Blades kuratif
50012_2<>Tubuh bayangan
50012_3<>Gain kritis.
50012_4<>Celah daya
50013_1<>Blinder kembali
50013_2<>Armor Suci
50013_3<>Perisai bash.
50013_4<>Bantuan putus asa
50014_1<>Pembunuh
50014_3<>Perhatian
50014_4<>Tembakan yang bersemangat
50015_1<>Lampu resonansi
50015_2<>Gulir Brio.
50015_4<>Kemarahan Keterampilan
50016_1<>Penyembuhan mantra
50017_1<>Atas dorong
50018_1<>Lonjakan cahaya
50018_4<>Lightening.
50019_1<>Penyembuhan doa.
50019_3<>Kerusakan keterampilan naik
50020_1<>Mengenakan biaya
50020_2<>Tameng
50021_1<>Tembak sampai Berdarah
50021_4<>Panah ringan
50022_1<>Pukulan Kembali
50022_2<>Buku ajaib
50022_3<>Energi hingga
50023_1<>Slash cepat
50023_3<>Peluang Setrum
50023_4<>Penyembuhan Pertahanan
