key<>value
10001_1<>#VALUE!
10001_2<>얼음 차단기
10001_3<>얼음 갑옷
10001_4<>냉동 카운터
10002_1<>내 던지기
10002_2<>괴롭히다
10002_3<>말레 섬
10002_4<>삼공 활차
10003_1<>간만
10003_2<>치유의 표시
10003_3<>물 보호
10003_4<>신화의 생물
10004_1<>얼다
10004_2<>맹화
10004_3<>동상
10004_4<>얼음 여자
10005_1<>홈런
10005_2<>안개가 자욱한 블레이드
10005_3<>안개가 자욱한 바인딩
10005_4<>안개가 자욱한 베일
10006_1<>상어 소환
10006_2<>보호 본드
10006_3<>아쿠아 쉴드
10006_4<>자기 치유
10007_1<>우박
10007_2<>물 살포기
10007_3<>물 구속
10007_4<>바다 분노
10008_1<>심판
10008_2<>전투 본능
10008_3<>빙하기 헌터
10008_4<>살해
10009_1<>물 사이클론
10009_2<>튀는 공
10009_3<>#VALUE!
10009_4<>#VALUE!
10010_1<>정면 스매쉬
10010_2<>쇼티의 분노
10010_3<>해양 갑옷
10010_4<>추운 분노
10011_1<>중요한 샷
10011_2<>복수 샷
10011_3<>작살
10011_4<>민첩한 bowman.
10012_1<>천천히 맞이하는 죽음
10012_2<>#VALUE!
10012_3<>#VALUE!
10012_4<>치명적인 운명
10013_1<>바다 물결
10013_2<>전사의 운명
10013_3<>부패
10013_4<>바다의 직원
10014_1<>얼음 바늘
10014_3<>얼음력
10015_1<>급속한 샷
10015_3<>무거운 앵커
10015_4<>#VALUE!
10016_1<>#VALUE!
10016_2<>힘든 피부
10016_3<>마법사의 파열
10016_4<>손상 블록
10017_1<>조용한 제사장
10017_2<>글루 그르 글리의 정신
10017_4<>번개의 힘
10018_1<>#VALUE!
10018_3<>갑옷 휴식
10018_4<>중요한 생활
10019_1<>정면 공격
10019_3<>정확도 감소
10019_4<>용감
10020_1<>뒷 샷
10020_3<>적응할 수 있는
10020_4<>고요
10021_1<>암살자를위한 드릴 비트
10021_2<>우둔한
10021_4<>격노
10022_1<>#VALUE!
10022_2<>억센
10022_4<>속도 분노
10023_1<>다시 복제 공격
10023_3<>침투
10024_1<>놀라운 한완
10024_2<>정도
10025_1<>뒷면서 슬래시
10026_1<>점프 공격
20001_1<>불타는 날개
20001_2<>불타는 손
20001_3<>불사조
20001_4<>갱생
20002_1<>레코딩 열기
20002_2<>치유의 터치
20002_3<>불 같은 인식
20002_4<>신성한 실드
20003_1<>정면 녹아웃
20003_2<>씻어 깨끗이 하다
20003_3<>방어자
20003_4<>광고자 분노
20004_1<>약한 침묵
20004_2<>기약을 깨뜨려 라
20004_3<>끊임없는 훈련
20004_4<>어쌔신의 신조
20005_1<>정면 불꽃 차기
20005_2<>붉은 불꽃 오라
20005_3<>게이츠에서 지옥
20005_4<>불의 연출
20006_1<>마그마 폭발
20006_2<>연소
20006_3<>마그마 크리스탈
20006_4<>영원한 불꽃
20007_1<>여우의 불
20007_2<>허리에 자장가
20007_3<>아홉개의 꼬리를 가진 여우
20007_4<>치유 불
20008_1<>맹목적인 폭행
20008_2<>워밍업 자
20008_3<>백프레어 백
20008_4<>중요한 해결
20009_1<>불의의 호흡
20009_2<>거대한 짐승
20009_3<>그레이터 배쉬
20009_4<>분노의 분노
20010_1<>부진한 스파이크
20010_2<>경화 스파이크
20010_3<>날카로운 다리
20010_4<>실크 층
20011_1<>성직자의 스톰퍼
20011_2<>신권 미노타 우르
20011_3<>연속적인 파업
20011_4<>비피 리젠
20012_1<>#VALUE!
20012_2<>불타는 갑옷
20012_3<>용융 오리
20012_4<>용암 기타
20013_1<>전사의 재생
20013_2<>엄격한
20013_4<>#VALUE!
20014_1<>뒤로 분쇄
20014_2<>용암 헌법
20014_3<>편달
20014_4<>에너지 분노
20015_1<>다시 소각
20015_2<>능률
20015_4<>치유 공격
20016_1<>지옥
20016_2<>열 축적
20016_3<>영원한 의지
20016_4<>용융 방전
20017_1<>히트 마무리
20018_1<>화재 돌
20019_1<>정면 슬래시
20019_3<>큰
20020_1<>불을 불어 넣어
20020_3<>갑옷 침투
20020_4<>불의 제작
20021_1<>화재 화살표
20021_2<>정도
20022_1<>다시 발톱
20022_3<>에너지 손
20023_1<>다시 폭발
20023_3<>닷지 기회
20023_4<>민첩성 분노
20024_1<>낫 Bash.
20024_3<>굽히지 않는
20024_4<>부식성 히트
20025_1<>거대한 슬레이어
20025_2<>소리와 전압
20025_4<>판사
20026_1<>화재 치유 공
20026_2<>치유 장벽
20026_3<>회복 히트
30001_1<>지옥에가는 길
30001_2<>인생 취력
30001_3<>영혼 복수
30001_4<>악마 뿔
30002_1<>아울란스 앞동
30002_2<>돌로 만들어진
30002_3<>부정하지 않습니다
30002_4<>복원 전달
30003_1<>죽음의 책
30003_2<>씨족
30003_3<>혈액 동결 접촉
30003_4<>영혼이없는 것
30004_1<>제련 된 시선
30004_2<>포이즌 찌르다
30004_3<>생식 탈론
30004_4<>끝없는
30005_1<>세계를 삼킨다
30005_2<>엄청난 생물
30005_3<>맹독 물린
30005_4<>유독 한 비늘
30006_1<>복수 해결사
30006_2<>맹렬한
30006_3<>유령화 라이프 라인
30006_4<>컬링 스피어
30007_1<>호흡 해제
30007_2<>언데드 드래곤
30007_3<>코카트리스 본즈
30007_4<>토양 부흥
30008_1<>정면 결정화
30008_2<>거대한 몸
30008_3<>어두운 공명
30008_4<>결정화 된 계산음
30009_1<>포병의 불
30009_2<>우수한 대포
30009_3<>폭발했다
30009_4<>포병 숙달
30010_1<>치유를 분쇄합니다
30010_2<>활력이 강한 복구 마법
30010_3<>치유 빛
30010_4<>손을 차단합니다
30011_1<>질병을 펼친다
30011_2<>전염성이 전혀
30011_3<>전염
30011_4<>감염병 유행
30012_1<>절대 제로
30012_2<>적응할 수 있는
30012_3<>돌 차단기
30012_4<>출혈 히트
30013_1<>치유 레이
30013_2<>낫 치유
30013_3<>지속적인 생존
30013_4<>폭력적인 분노
30014_1<>피 묻은 딜더
30014_2<>피를위한 피
30014_3<>패리 전문 지식
30014_4<>피 묻은 복수
30015_1<>출혈 슬래시
30015_4<>출혈 히트
30016_1<>뒷 장면
30017_1<>다시 발톱
30018_1<>갑옷 조각
30018_2<>종악장
30018_3<>출혈 수확
30019_1<>독약 깃털
30019_2<>부상당한 마무리
30019_4<>독성 분노
30020_1<>낫 백 슬래시
30020_3<>몸을 침식
30020_4<>저주
30021_1<>가이아 정신
30021_2<>돌 실드
30021_4<>천천히 해
30022_1<>출혈 화살표
30022_3<>노련한 헌터
30022_4<>백 슈터
30023_1<>부식 램프
30023_2<>훈증
30023_4<>그곳에서
30024_1<>정면 컷
30024_3<>부식하는 분노
30024_4<>유연한
30025_1<>정신 공
30025_3<>강화하기
30026_1<>피 굶주린
