key<>value
10001_1<>#VALUE!
10001_2<>Ледяной выключатель
10001_3<>Доспехи на льду
10001_4<>Замороженная счетчик
10002_1<>Выбросить
10002_2<>Преступность
10002_3<>Малефический пистолет
10002_4<>Омерзлость
10003_1<>Приливы и отливы
10003_2<>Знак исцеления
10003_3<>Защита воды
10003_4<>Мифическое существо
10004_1<>Заморозить
10004_2<>Приближается мороз
10004_3<>Обморожение
10004_4<>Ледяная женщина
10005_1<>Домашний пробег
10005_2<>Туманные лезвия
10005_3<>Туманные привязки
10005_4<>Туманная завеса
10006_1<>Призыв акулы
10006_2<>Защитная связь
10006_3<>Аква щит
10006_4<>Самовосстановление
10007_1<>Хейлсторм
10007_2<>Разбрасыватель воды
10007_3<>Водная сдержанность
10007_4<>Океанская ярость
10008_1<>Суждение
10008_2<>Боевой инстинкт
10008_3<>Охотник на леднику
10008_4<>Серия убийств
10009_1<>Водный циклон
10009_2<>Прыгающий мяч
10009_3<>#VALUE!
10009_4<>#VALUE!
10010_1<>Фронтальный удар
10010_2<>Ярость Шорты
10010_3<>Океанская броня
10010_4<>Холодная ярость
10011_1<>Критический удар
10011_2<>Месть выстрел
10011_3<>Гарпун
10011_4<>Проворный лучник
10012_1<>Медленная смерть
10012_2<>#VALUE!
10012_3<>#VALUE!
10012_4<>Фатальная судьба
10013_1<>Океанская волна
10013_2<>Воина гибели
10013_3<>Коррупция
10013_4<>Сотрудники моря
10014_1<>Ледяная игровая
10014_3<>Ледяная энергия
10015_1<>Быстрый выстрел
10015_3<>Тяжелый якорь
10015_4<>#VALUE!
10016_1<>#VALUE!
10016_2<>Жесткая кожа
10016_3<>Разрыв мага
10016_4<>Повреждение блока
10017_1<>Тихий священник
10017_2<>Дух Глюгри
10017_4<>Молниевая мощность
10018_1<>#VALUE!
10018_3<>Доспехи ломается
10018_4<>Критический образ жизни
10019_1<>Фронтальная атака
10019_3<>Уменьшение точности
10019_4<>Храбрость
10020_1<>Выстрел назад
10020_3<>Адаптируется
10020_4<>Тишина
10021_1<>#VALUE!
10021_2<>Беги
10021_4<>Ярость
10022_1<>#VALUE!
10022_2<>Сурли
10022_4<>Скорость ярости
10023_1<>Задняя атака клона
10023_3<>Проникновение
10024_1<>Потрясающий гарпун
10024_2<>Точность
10025_1<>Задняя слеш
10026_1<>Прыгать атаку
20001_1<>Горящие крылья
20001_2<>Горящие руки
20001_3<>Феникс
20001_4<>Возрождение
20002_1<>Горящий пыл
20002_2<>Исцеляющий палец
20002_3<>Огненное восприятие
20002_4<>Божественный щит
20003_1<>Фронтальный нокаут
20003_2<>Чистить
20003_3<>Защитник
20003_4<>Ярость берсерка
20004_1<>Молчание слабого
20004_2<>Разбить хрипл
20004_3<>Неустанная тренировка
20004_4<>кредо ассасина
20005_1<>Огненные удары
20005_2<>Красное пламя аура
20005_3<>Inferno у ворот
20005_4<>Заправлять огонь
20006_1<>Magma Blast.
20006_2<>Сгорание
20006_3<>Хрусталь магмы
20006_4<>Вечный огонь
20007_1<>Фокс-огонь
20007_2<>Колыбельная в спину
20007_3<>Девятихвостый лис
20007_4<>Исцеляющий огонь
20008_1<>Ослепляющий нападение
20008_2<>Теплоугольник
20008_3<>Уровень назад
20008_4<>Критическая решимость
20009_1<>Дыхание огня
20009_2<>Колоссальный зверь
20009_3<>Большой Bash
20009_4<>Ярость разгона
20010_1<>Вялый всплеск
20010_2<>Криги
20010_3<>Острые ноги
20010_4<>Шелковый слой
20011_1<>Священник стопуя
20011_2<>Rizbane minotaur
20011_3<>Последовательные удары
20011_4<>Беги Регенс
20012_1<>#VALUE!
20012_2<>Горящая доспеха
20012_3<>Расплавленная орцема
20012_4<>Лавовый матч
20013_1<>Хурес воина
20013_2<>Прочный
20013_4<>#VALUE!
20014_1<>Назад дробление
20014_2<>Конституция Лавы
20014_3<>Хвост
20014_4<>Энергетическая ярость
20015_1<>Обратно сжигание
20015_2<>Эффективность
20015_4<>Исцеляющая атака
20016_1<>Инферно
20016_2<>Накопление тепла
20016_3<>Вечная воля
20016_4<>Расплавленный разряд
20017_1<>Отделочный удар
20018_1<>Пожарный камень
20019_1<>Фронтальный удар
20019_3<>Большой
20020_1<>Задушить
20020_3<>Проникновение брони
20020_4<>Изготовлен из огня
20021_1<>Стрелка огня
20021_2<>Точность
20022_1<>Задние когти
20022_3<>Энергия руки
20023_1<>Задний взрыв
20023_3<>Шанс увернуться
20023_4<>Ярость ловкости
20024_1<>Серповидник
20024_3<>Небрежно
20024_4<>Коррозийный удар
20025_1<>Гигант убийца
20025_2<>Эхолокация
20025_4<>Осуждать
20026_1<>Пожарный мяч
20026_2<>Целебный барьер
20026_3<>Восстановление удара
30001_1<>Путь к черту
30001_2<>Жизнь-текер
30001_3<>Душа месть
30001_4<>Рога демонов
30002_1<>Авалесство впереди
30002_2<>Сделан из камня
30002_3<>Ущерб отрицания
30002_4<>Восстановление прохождения
30003_1<>Книга смерти
30003_2<>Нежить
30003_3<>Замерзание крови
30003_4<>Бездушный
30004_1<>Окаменеть взгляд
30004_2<>Яд жалко
30004_3<>Окаменение Talon
30004_4<>Бесконечный
30005_1<>Пожрать мир
30005_2<>Огромное существо
30005_3<>Ядовитый укус
30005_4<>Ядовитые весы
30006_1<>Вендетта Финишер
30006_2<>Беспертер
30006_3<>Сотрудничество охостификации
30006_4<>Отборное копье
30007_1<>Окаменеть дыхание
30007_2<>Dragon
30007_3<>Кокатрица костей
30007_4<>Земное возрождение
30008_1<>Фронтальная кристаллизация
30008_2<>Гигантское тело
30008_3<>Темный резонанс
30008_4<>Кристаллизованный расчет
30009_1<>Артиллерийский огонь
30009_2<>Отличный канонир
30009_3<>Взрываться
30009_4<>Артиллерийское мастерство
30010_1<>Сокрушительное лечение
30010_2<>Восстановленное восстановление магии
30010_3<>Заживление света
30010_4<>Блокируя руки
30011_1<>Распространение болезни
30011_2<>Заразное поддержание
30011_3<>Передача инфекции
30011_4<>Эпидемия
30012_1<>Абсолютный ноль
30012_2<>Адаптируется
30012_3<>Каменный выключатель
30012_4<>Кровотечение хит
30013_1<>Исцеляющий луч
30013_2<>Серповидное лечение
