key,value
bonus_1,{ct(bonus_1~calculation_type_1)}
bonus_2,{ct(bonus_2~calculation_type_2)}
bonus_3,{ct(bonus_3~calculation_type_3)}
stat_debuff_amount,{ct(stat_debuff_amount~stat_debuff_calculation_type)}
effect_amount,{ct(effect_amount~effect_stat_calculation_type)}
stat_buff_amount,{ct(stat_buff_amount~stat_buff_calculation_type)}
stat_debuff_amount_1,{ct(stat_debuff_amount~stat_debuff_calculation)}
stat_2_buff_amount,{ct(stat_2_buff_amount~stat_2_calculation_type)}
stat_debuff_amount_2,{ct(stat_debuff_amount_2~stat_debuff_calculation_type_2)}
stat_debuff_percent,{ct(stat_debuff_percent~stat_debuff_calculation_type)}
stat_buff_amount_2,{ct(stat_buff_amount~stat_calculation_type)}
stat_debuff_max,{ct(stat_debuff_max~stat_debuff_calculation_type)}
stat_debuff_amount_3,{ct(stat_debuff_amount~stat_debuff_calculation)}
stat_buff_1_amount,{ct(stat_buff_1_amount~stat_buff_1_calculation)}
stat_buff_2_amount,{ct(stat_buff_2_amount~stat_buff_2_calculation)}
stat_debuff_amount_3,{ct(stat_debuff_amount~stat_debuff_calculation)}
stat_buff_amount_3,{ct(stat_buff_amount~stat_buff_calculation)}
stat_debuff_amount_3_1,{ct(stat_debuff_amount_3~stat_debuff_calculation_type_3)}
debuff_amount_1,{ct(debuff_amount_1~debuff_calculation_1)}
debuff_amount_2,{ct(debuff_amount_2~debuff_calculation_2)}
buff_amount,{ct(buff_amount~buff_calculation_type)}
target_ally_min_max,{tmm(ally_target_position~target_position~target_number_min~target_number_max)}
target_enemy_min_max,{tmm(enemy_target_position~target_position~target_number_min~target_number_max)}
target_position,{tp(enemy_target_position~target_position~target_number~target_class)}
target_position_2,{tp(ally_target_position~target_position~target_number~target_class)}
target_position_3,{tp(ally_target_position~other_target_position~other_target_number~other_target_class)}
stat_buff_target_position,{tp(ally_target_position~stat_buff_target_position~stat_buff_target_number)}
damage_target_position,{tp(enemy_target_position~damage_target_position~damage_target_number)}
effect_1_target_position,{tp(enemy_target_position~effect_1_target_position~effect_1_target_number)}
effect_target_position,{tp(enemy_target_position~effect_target_position~effect_target_number)}
effect_target_position_2,{tp(ally_target_position~effect_target_position~effect_target_number)}
basic_attack_target_position,{tp(enemy_target_position~basic_attack_target_position~basic_attack_target_number)}
power_buff_target_position,{tp(ally_target_position~power_buff_target_position~power_buff_target_number)}
enemy_target_position,{tp(enemy_target_position~enemy_target_position~enemy_target_number)}
ally_target_position,{tp(ally_target_position~ally_target_position~ally_target_number)}
buff_target_position,{tp(ally_target_position~buff_target_position~buff_target_number)}
steal_buff_target_position,{tp(ally_target_position~steal_buff_target_position~steal_buff_target_number)}
heal_target_position,{tp(ally_target_position~heal_target_position~heal_target_number)}
effect_1_target_position_2,{tp(ally_target_position~effect_1_target_position~effect_1_target_number)}
bond_target_position,{tp(ally_target_position~bond_target_position~bond_target_number~bond_target_class)}
damage_target_position_2,{tp(ally_target_position~damage_target_position~target_number)}
tanker_target_position,{tp(ally_target_position~tanker_target_position~tanker_target_number~tanker_target_class)}
effect_debuff_type,{et(effect_type~effect_debuff_type)}
steal_stat_type,{et(stat_type~steal_stat_type)}
stat_1_buff_type,{et(stat_type~stat_1_buff_type)}
stat_2_buff_type,{et(stat_type~stat_2_buff_type)}
effect_check_type,{et(effect_type~effect_check_type)}
effect_stat_debuff_type,{et(stat_type~effect_stat_debuff_type)}
buff_stat,{et(stat_type~buff_stat)}
stat_1_buff_type_1,{et(stat_type~stat_1_buff_type_1)}
stat_2_buff_type_1,{et(stat_type~stat_2_buff_type_1)}
stat_1_buff_type_2,{et(stat_type~stat_1_buff_type_2)}
stat_type,{et(stat_type~stat_type)}
cc_type,{et(effect_type~cc_type)}
effect_trigger_bonus,{et(effect_type~effect_trigger_bonus)}
stat_buff_type_1,{et(stat_type~stat_buff_type_1)}
stat_buff_type_2,{et(stat_type~stat_buff_type_2)}
stat_1_debuff_type,{et(stat_type~stat_1_debuff_type)}
stat_2_debuff_type,{et(stat_type~stat_2_debuff_type)}
stat_per_faction_buff_type,{et(stat_type~stat_per_faction_buff_type)}
resistance_effect_type_1,{et(effect_type~resistance_effect_type_1)}
front_stat,{et(stat_type~front_stat)}
back_stat_1,{et(stat_type~back_stat_1)}
back_stat_2,{et(stat_type~back_stat_2)}
back_stat_3,{et(stat_type~back_stat_3)}
cc_trigger_type,{et(effect_type~cc_trigger_type)}
cc_trigger_class,{et(class_type~cc_trigger_class)}
dot_type,{et(effect_type~dot_type)}
buff_type,{et(stat_type~buff_type)}
stat_to_steal,{et(stat_type~stat_to_steal)}
stat_convert,{et(stat_type~stat_convert)}
steal_stat_type_1,{et(stat_type~steal_stat_type_1)}
steal_stat_type_2,{et(stat_type~steal_stat_type_2)}
bonus_damage_faction_type,{et(faction_type~bonus_damage_faction_type)}
stat_per_dark_buff_type,{et(stat_type~stat_per_dark_buff_type)}
effect_type_debuff_warrior,{et(effect_type~effect_type_debuff_warrior)}
hero_class_type,{et(class_type~hero_class_type)}
effect_faction,{et(faction_type~effect_faction)}
affected_faction,{et(faction_type~affected_faction)}
stat_debuff_type_1,{et(stat_type~stat_debuff_type_1)}
stat_debuff_type_2,{et(stat_type~stat_debuff_type_2)}
stat_debuff_type_3,{et(stat_type~stat_debuff_type_3)}
stat_3_buff_type,{et(stat_type~stat_3_buff_type)}
faction_buff,{et(faction_type~faction_buff)}
stat_debuff_type,{et(stat_type~stat_debuff_type)}
stat_buff_type,{et(stat_type~stat_buff_type)}
buff_stat_front_line,{et(stat_type~buff_stat_front_line)}
buff_stat_back_line,{et(stat_type~buff_stat_back_line)}
bonus_class_hero,{et(class_type~bonus_class_hero)}
enemy_class,{et(class_type~enemy_class)}
effect_class_trigger,{et(class_type~effect_trigger_class)}
stat_1,{et(stat_type~stat_1)}
stat_2,{et(stat_type~stat_2)}
stat_3,{et(stat_type~stat_3)}
effect_trigger_class,{et(class_type~effect_trigger_class)}
effect_dot_type,{et(effect_type~effect_dot_type)}
stat_debuff_type_null,{et(effect_type~stat_debuff_type)}
heal_mark_type,{et(effect_type~heal_mark_type)}
immune_effect_type,{et(effect_type~immune_effect_type)}
effect_affect_to_stat,{et(stat_type~effect_affect_to_stat)}
stat_buff_type,{et(stat_type~stat_buff_type)}
effect_type,{et(effect_type~effect_type)}
effect_dot_type,{et(effect_type~effect_dot_type)}
enemy_class,{et(class_type~enemy_class)}
bonus_class_hero,{et(class_type~bonus_class_hero)}
buff_stat_front_line,{et(stat_type~buff_stat_front_line)}
buff_stat_back_line,{et(stat_type~buff_stat_back_line)}
effect_1_type,{et(effect_type~effect_1_type)}
stat_2_buff_type_2,{et(stat_type~stat_2_buff_type_2)}
stat_per_faction_buff_type_1,{et(stat_type~stat_per_faction_buff_type_1)}
stat_per_faction_buff_type_2,{et(stat_type~stat_per_faction_buff_type_2)}
counter_attack_effect,{et(effect_type~counter_attack_effect)}
affected_hero_class,{et(class_type~affected_hero_class)}
stat_per_light_buff_type,{et(stat_type~stat_per_light_buff_type)}
stat_buff_1_type,{et(stat_type~stat_buff_1_type)}
stat_buff_2_type,{et(stat_type~stat_buff_2_type)}
stat_buff_3_type,{et(stat_type~stat_buff_3_type)}
effect_trigger,{et(effect_type~effect_trigger)}
resistance_effect_type_2,{et(effect_type~resistance_effect_type_2)}
affected_class,{et(class_type~affected_class)}
debuff_type,{et(effect_type~debuff_type)}
target_hero_class,{et(class_type~target_hero_class)}
debuff_stat_1,{et(stat_type~debuff_stat_1)}
buff_type,{et(stat_type~buff_type)}
trigger_1_stat_1_buff_type,{et(stat_type~trigger_1_stat_1_buff_type)}
trigger_1_stat_2_buff_type,{et(stat_type~trigger_1_stat_2_buff_type)}
trigger_2_stat_1_buff_type,{et(stat_type~trigger_2_stat_1_buff_type)}
trigger_2_stat_2_buff_type,{et(stat_type~trigger_2_stat_2_buff_type)}
