key,value
10001_1,active_skill_10001_1~stat_debuff_chance~0
10001_2,passive_skill_10001_2
10001_3,passive_skill_effect_buff_3_stat
10001_4,passive_skill_10001_4~reflect_chance~0
10002_1,active_skill_10002_1~stat_debuff_chance~0
10002_2,passive_skill_effect_debuff_chance_basic_attack_amount~effect_chance
10002_3,passive_skill_effect_buff_1_stat
10002_4,passive_skill_10002_4
10003_1,active_skill_10003_1
10003_2,passive_skill_10003_2
10003_3,passive_skill_10003_3~effect_chance~0
10003_4,passive_skill_effect_buff_3_stat
10004_1,active_skill_effect_debuff_chance~effect_chance
10004_2,passive_skill_effect_buff_3_stat
10004_3,passive_skill_10004_3
10004_4,passive_skill_10004_4
10005_1,active_skill_10005_1~stat_debuff_chance~0
10005_2,passive_skill_effect_buff_3_stat
10005_3,passive_skill_10005_3~stat_debuff_chance~0
10005_4,passive_skill_10005_4_20004_4~counter_attack_chance~0
10006_1,active_skill_10006_1~stat_debuff_chance~0
10006_2,passive_skill_10006_2
10006_3,passive_skill_effect_buff_2_stat
10006_4,passive_skill_10006_4~trigger_chance~0
10007_1,active_skill_effect_buff_heal~heal_duration~1
10007_2,passive_skill_10007_2
10007_3,passive_skill_10007_3
10007_4,passive_skill_10007_4
10008_1,active_skill_10008_1
10008_2,passive_skill_10008_2
10008_3,passive_skill_effect_buff_2_stat
10008_4,passive_skill_10008_4
10009_1,active_skill_effect_debuff_chance_bonus_class_hero~effect_chance
10009_2,passive_skill_10009_2
10009_3,passive_skill_10009_3~heal_chance~0
10009_4,passive_skill_effect_buff_2_stat
10010_1,active_skill_10010_1
10010_2,passive_skill_10010_2~stat_buff_chance~0
10010_3,passive_skill_effect_buff_2_stat
10010_4,passive_skill_10010_4
10011_1,active_skill_10011_1~multi_damage_chance~0
10011_2,passive_skill_10011_2~stat_buff_chance~0
10011_3,passive_skill_effect_buff_2_stat
10011_4,passive_skill_10011_4~extra_turn_chance~0
10012_1,active_skill_10012_1~effect_drowning_chance~0
10012_2,passive_skill_10012_2
10012_3,passive_skill_10012_3
10012_4,passive_skill_10012_4
10013_1,active_skill_10013_1
10013_2,passive_skill_10013_2~effect_chance~0
10013_3,passive_skill_10013_3
10013_4,passive_skill_10013_4
10014_1,active_skill_10014_1
10014_3,passive_skill_effect_buff_1_stat
10015_1,active_skill_10015_1
10015_3,passive_skill_effect_buff_2_stat
