key<>value
10009001<>Lady Mariette Lashna
30004001<>Queen Cobra Stheno
10010001<>Deep Lord Japulan
20007001<>Mistress Kitsune
20005001<>Tai Chi Yin
60009001<>Azrael Khann
50012001<>Archangel Alvar
40001001<>Wise Druid Tilion
50003001<>Lianguzi Xavier
40008001<>Lass Houyi
10005001<>Moon Slasher Mist
60003002<>Poltergeist Zalidus
30006001<>Pumpir Zyx
20001001<>Krampus Icarus
30007002<>Lwyd Zygor
50011001<>Koschei Ignatius
10004001<>Madam Fu Pasthera
40003001<>Longmu Arryl
50001001<>Amore Entia
20001002<>Icarus Easter Bunny
50006001<>Enule 夏のパーティー
60008001<>Renaks 夏のパーティー
60008002<>Renaksサル呪い
60006001<>Hehta Deadly Violet
60006002<>Hehta 看守
50002001<>Phalanx 死の司令官
50006002<>Enule 死の予言
