key<>value
10009001<>Lady Mariette Lashna
30004001<>Queen Cobra Stheno
10010001<>Deep Lord Japulan
20007001<>Mistress Kitsune
20005001<>Tai Chi Yin
60009001<>Azrael Khann
50012001<>Archangel Alvar
40001001<>Wise Druid Tilion
50003001<>Xavier Thái Ất Chân Nhân
40008001<>Lass Hậu Nghệ
10005001<>Mist Bán Nguyệt Thiếu Nữ
60003002<>Zalidus Oán Linh Đao Phủ
30006001<>Zyx Sát Thủ Bí Ngô
20001001<>Icarus Hoàng Tử Tuần Lộc
30007002<>Zygor Bạch Cốt Thanh Long
50011001<>Koschei Ignatius
10004001<>Pasthera Quý Phu nhân
40003001<>Arryl Hoàng Kim Long Mẫu
50001001<>Entia Ái Nữ Tinh Nghịch
20001002<>Icarus Thỏ Phục Sinh
50006001<>Enule Mùa Hè Sôi Động
60008001<>Renaks Mùa Hè Sôi Động
60008002<>Renaks Hắc Hầu Tinh
60006001<>Hehta Ánh tím Chết chóc
60006002<>Quản Ngục Hehta
50002001<>Phalanx Tử Linh Ma Tướng
50006002<>Enule Địa Ngục Báo Tử
