key<>value
summoner_0_1_1<>Guruh
summoner_1_1_1<>Hinder Light.
summoner_1_1_2<>Melemah bola
summoner_1_1_3<>mengejar
summoner_1_2_1<>Kerajinan mantra
summoner_1_2_2<>Mage Boost.
summoner_1_2_3<>Sihir gelap.
summoner_1_3_1<>Kekebalan
summoner_1_3_2<>Berkat No.5.
summoner_1_3_3<>Kesedihan
summoner_1_4_1<>Magic Shield 4 & 5
summoner_1_4_2<>Energi No.5
summoner_1_4_3<>Menjiwai
summoner_2_1_1<>Pedang melemah
summoner_2_1_2<>Pedang negasi.
summoner_2_1_3<>Heroic Strike.
summoner_2_2_1<>Armor berat
summoner_2_2_2<>Prajurit ofensif.
summoner_2_2_3<>Ketabahan
summoner_2_3_1<>Perlindungan hidup.
summoner_2_3_2<>Menutupi
summoner_2_3_3<>Kebangkitan
summoner_2_4_1<>Kerusakan blok 123.
summoner_2_4_2<>Linked Guard 2.
summoner_2_4_3<>Melawan Insting
summoner_3_1_1<>Penyembuhan kristal
summoner_3_1_2<>Kutukan keheningan
summoner_3_1_3<>Alam ikatan
summoner_3_2_1<>Berkat suci
summoner_3_2_2<>Taat
summoner_3_2_3<>Kekuasaan
summoner_3_3_1<>Perlawanan
summoner_3_3_2<>Keterampilan Buff.
summoner_3_3_3<>Kritis
summoner_3_4_1<>Starlight yang kuat
summoner_3_4_2<>Bersihkan 3&4
summoner_3_4_3<>Respons ilahi
summoner_4_1_1<>Pendarahan Warglaives
summoner_4_1_2<>Membatu warglaives.
summoner_4_1_3<>Menyapu
summoner_4_2_1<>Bayangan Pembunuh
summoner_4_2_2<>Kerusakan sejati
summoner_4_2_3<>kredo pembunuh
summoner_4_3_1<>Kecepatan
summoner_4_3_2<>Tautan Assassins.
summoner_4_3_3<>Seni Pisau
summoner_4_4_1<>Potensi kritis.
summoner_4_4_2<>Evasion kritis
summoner_4_4_3<>Rilis Energi
summoner_5_1_1<>Panah Piercing.
summoner_5_1_2<>Memperkuat Panah
summoner_5_1_3<>Panah darah
summoner_5_2_1<>Keahlian menembak
summoner_5_2_2<>Menghentikan kekuasaan
summoner_5_2_3<>Perlawanan
summoner_5_3_1<>Tujuan yang stabil.
summoner_5_3_2<>Konsentrasi
summoner_5_3_3<>Hutan memberkati
summoner_5_4_1<>Buff Kritis 2 & 4
summoner_5_4_2<>Resistance 3 & 4
summoner_5_4_3<>Hijau suci
