key<>value
summoner_0_1_1<>우뢰
summoner_1_1_1<>빛을 방해한다
summoner_1_1_2<>약을 약화시킨다
summoner_1_1_3<>뒤쫓다 다
summoner_1_2_1<>스펠 크래프트
summoner_1_2_2<>마법사 부스트
summoner_1_2_3<>어두운 마술
summoner_1_3_1<>면역
summoner_1_3_2<>No.5 축복
summoner_1_3_3<>쓸쓸함
summoner_1_4_1<>마술 실드 4 & 5.
summoner_1_4_2<>No.5 에너지
summoner_1_4_3<>활기 띠게 하다
summoner_2_1_1<>약화의 칼
summoner_2_1_2<>부정의 칼
summoner_2_1_3<>영웅적 스트라이크
summoner_2_2_1<>무거운 갑옷
summoner_2_2_2<>공격적인 전사
summoner_2_2_3<>꿋꿋함
summoner_2_3_1<>삶의 보호
summoner_2_3_2<>씌우다
summoner_2_3_3<>부활
summoner_2_4_1<>손상 블록 123.
summoner_2_4_2<>연결된 가드 2.
summoner_2_4_3<>전투 본능
summoner_3_1_1<>크리스탈 치유
summoner_3_1_2<>침묵의 저주
summoner_3_1_3<>자연 채권
summoner_3_2_1<>거룩한 축복
summoner_3_2_2<>독실한
summoner_3_2_3<>힘
summoner_3_3_1<>저항
summoner_3_3_2<>스킬 버프
summoner_3_3_3<>비판적인
summoner_3_4_1<>강력한 별빛
summoner_3_4_2<>청정 3 & 4.
summoner_3_4_3<>신성한 응답
summoner_4_1_1<>출혈전
summoner_4_1_2<>축구적 인 워글레이브
summoner_4_1_3<>스위프
summoner_4_2_1<>암살자의 그림자
summoner_4_2_2<>진정한 피해
summoner_4_2_3<>어쌔신의 신조
summoner_4_3_1<>속도
summoner_4_3_2<>암살자의 링크
summoner_4_3_3<>블레이드 아트
summoner_4_4_1<>중요한 잠재력
summoner_4_4_2<>비판적인 회피
summoner_4_4_3<>에너지 릴리스
summoner_5_1_1<>피어싱 화살
summoner_5_1_2<>증폭 화살표
summoner_5_1_3<>혈액 화살
summoner_5_2_1<>사격 솜씨
summoner_5_2_2<>멈추는 힘
summoner_5_2_3<>저항
summoner_5_3_1<>꾸준한 목표
summoner_5_3_2<>집중
summoner_5_3_3<>숲 축복
summoner_5_4_1<>중요한 버프 2 & 4.
summoner_5_4_2<>저항 3 & 4.
summoner_5_4_3<>그린 거룩한
