key<>value
summoner_0_1_1<>Sấm Sét
summoner_1_1_1<>Ánh Sáng Cản Chân
summoner_1_1_2<>Quả Cầu Suy yếu
summoner_1_1_3<>Truy Đuổi
summoner_1_2_1<>Tinh Thông Phép Thuật
summoner_1_2_2<>Cường Hóa Pháp Sư
summoner_1_2_3<>Phép Thuật Bóng Tối
summoner_1_3_1<>Miễn Nhiễm Hiệu Ứng
summoner_1_3_2<>Chúc Phúc Số 5
summoner_1_3_3<>Tàn Phá
summoner_1_4_1<>Lá Chắn Phép 4&5
summoner_1_4_2<>Trợ Năng Số 5
summoner_1_4_3<>Cổ Vũ
summoner_2_1_1<>Thần Kiếm Suy Yếu
summoner_2_1_2<>Thần Kiếm Giảm Thương
summoner_2_1_3<>Nhát Chém Dũng Mãnh
summoner_2_2_1<>Giáp Nặng
summoner_2_2_2<>Tư Thế Công Kích
summoner_2_2_3<>Dũng Mãnh
summoner_2_3_1<>Bảo Vệ Sinh Mạng
summoner_2_3_2<>Che Chắn
summoner_2_3_3<>Phục Sinh
summoner_2_4_1<>Chặn Sát Thương 123
summoner_2_4_2<>Liên Kết Hộ Vệ 2
summoner_2_4_3<>Bản Năng Chiến Đấu
summoner_3_1_1<>Tinh Thể Hồi Phục
summoner_3_1_2<>Lời Nguyền Câm Lặng
summoner_3_1_3<>Gắn Kết Tự Nhiên
summoner_3_2_1<>Chúc Phúc Thần Thánh
summoner_3_2_2<>Mộ Đạo
summoner_3_2_3<>Sức Mạnh
summoner_3_3_1<>Kháng Hiệu Ứng
summoner_3_3_2<>Chúc Phúc Kỹ Năng
summoner_3_3_3<>Bạo Kích
summoner_3_4_1<>Ánh Sao Mạnh Mẽ
summoner_3_4_2<>Thanh Tẩy 3&4
summoner_3_4_3<>Hồi Âm Thần Thánh
summoner_4_1_1<>Lưỡi Đao Nhuốm Máu
summoner_4_1_2<>Lưỡi Đao Hóa Đá
summoner_4_1_3<>Càn Quét
summoner_4_2_1<>Sát Thủ Ám Ảnh
summoner_4_2_2<>Sát Thương Chuẩn
summoner_4_2_3<>Tín Ngưỡng Sát Thủ
summoner_4_3_1<>Cực Tốc
summoner_4_3_2<>Kết Nối Sát Thủ
summoner_4_3_3<>Đao Pháp
summoner_4_4_1<>Tiềm Năng Bạo Kích
summoner_4_4_2<>Né Tránh Chí Mạng
summoner_4_4_3<>Giải Phóng Năng Lượng
summoner_5_1_1<>Mũi Tên Xuyên Giáp
summoner_5_1_2<>Mũi Tên Cộng Hưởng
summoner_5_1_3<>Mũi Tên Máu
summoner_5_2_1<>Thiện Xạ
summoner_5_2_2<>Sức Mạnh Xuyên Thấu
summoner_5_2_3<>Kháng 
summoner_5_3_1<>Ngắm Chuẩn
summoner_5_3_2<>Chuyên Chú
summoner_5_3_3<>Chúc Phúc Rừng Sâu
summoner_5_4_1<>Chúc Phúc Bạo Kích 2&4
summoner_5_4_2<>Kháng Hiệu Ứng 3&4
summoner_5_4_3<>Phép Thánh Tự Nhiên
