id,group_number,res_type,res_id,res_number,res_data,rate,stock,number_item_can_buy,money_type,money_value
1,2,7,1000305,50,,1,1,1,20,2500
,,7,1001205,50,,1,1,1,20,2500
,,7,1001005,50,,1,1,1,20,2500
,,7,1000905,50,,1,1,1,20,2500
,,7,1000205,50,,1,1,1,20,2500
2,2,7,2001405,50,,1,1,1,20,2500
,,7,2001005,50,,1,1,1,20,2500
,,7,2000505,50,,1,1,1,20,2500
,,7,2000705,50,,1,1,1,20,2500
,,7,2000405,50,,1,1,1,20,2500
3,2,7,3000905,50,,1,1,1,20,2500
,,7,3001105,50,,1,1,1,20,2500
,,7,3001005,50,,1,1,1,20,2500
,,7,3000205,50,,1,1,1,20,2500
,,7,3000405,50,,1,1,1,20,2500
4,2,7,4000905,50,,1,1,1,20,2500
,,7,4000505,50,,1,1,1,20,2500
,,7,4001105,50,,1,1,1,20,2500
,,7,4000105,50,,1,1,1,20,2500
,,7,4001005,50,,1,1,1,20,2500
5,1,7,705,50,,1,1,1,20,5000
6,1,7,704,40,,1,1,1,20,340
7,1,7,505,50,,1,1,1,20,8000
8,1,7,605,50,,1,1,1,20,8000
9,1,7,105,50,,1,1,1,20,4000
10,1,7,205,50,,1,1,1,20,4000
11,1,7,305,50,,1,1,1,20,4000
12,1,7,405,50,,1,1,1,20,4000
