id,group_number,res_type,res_id,res_number,res_data,rate,stock,number_item_can_buy,money_type,money_value
1,1,4,2001,1,,1,1,1,121,150
,,4,3001,1,,1,1,1,121,150
,,4,4001,1,,1,1,1,121,150
,,4,5001,1,,1,1,1,121,150
,,4,6001,1,,1,1,1,121,150
2,1,4,7001,1,,1,1,1,121,600
,,4,8001,1,,1,1,1,121,600
,,4,9001,1,,1,1,1,121,600
,,4,10001,1,,1,1,1,121,600
,,4,11001,1,,1,1,1,121,600
,,4,12001,1,,1,1,1,121,600
,,4,13001,1,,1,1,1,121,600
3,1,4,14001,1,,1,1,1,121,1500
,,4,15001,1,,1,1,1,121,1500
,,4,16001,1,,1,1,1,121,1500
,,4,17001,1,,1,1,1,121,1500
,,4,18001,1,,1,1,1,121,1500
,,4,19001,1,,1,1,1,121,1500
,,4,20001,1,,1,1,1,121,1500
,,4,21001,1,,1,1,1,121,1500
,,4,22001,1,,1,1,1,121,1500
4,1,4,23001,1,,3,1,1,121,3000
,,4,24001,1,,3,1,1,121,3000
,,4,25001,1,,3,1,1,121,3000
,,4,26001,1,,3,1,1,121,3000
,,4,27001,1,,3,1,1,121,3000
,,4,28001,1,,3,1,1,121,3000
,,4,29001,1,,3,1,1,121,3000
,,4,30001,1,,3,1,1,121,3000
,,4,31001,1,,1,1,1,121,3000
,,4,32001,1,,1,1,1,121,4500
,,4,33001,1,,1,1,1,121,4500
,,4,34001,1,,1,1,1,121,4500
5,1,4,35001,1,,1,1,1,121,15000
,,4,36001,1,,1,1,1,121,15000
,,4,37001,1,,1,1,1,121,15000
,,4,38001,1,,1,1,1,121,15000
,,4,39001,1,,1,1,1,121,15000
,,4,40001,1,,1,1,1,121,15000
,,4,41001,1,,1,1,1,121,15000
,,4,42001,1,,1,1,1,121,15000
,,4,43001,1,,1,1,1,121,15000
,,4,44001,1,,1,1,1,121,15000
,,4,45001,1,,1,1,1,121,15000
6,1,4,46001,1,,3,1,1,121,30000
,,4,47001,1,,3,1,1,121,30000
,,4,48001,1,,3,1,1,121,30000
,,4,49001,1,,3,1,1,121,30000
,,4,50001,1,,3,1,1,121,30000
,,4,51001,1,,3,1,1,121,30000
,,4,52001,1,,3,1,1,121,30000
,,4,53001,1,,3,1,1,121,30000
,,4,54001,1,,1,1,1,121,45000
,,4,55001,1,,1,1,1,121,45000
,,4,56001,1,,1,1,1,121,45000
,,4,57001,1,,1,1,1,121,45000
7,1,2,10,100000,,1,1,5,120,1000
8,1,2,10,10000,,1,1,10,120,120
9,1,2,80,2500,,1,1,1,121,5000
10,1,2,80,500,,1,1,4,121,1000
11,1,2,11,500,,1,1,20,120,20
12,1,2,11,5000,,1,1,20,120,200
13,1,6,4,40,,1,1,1,121,4000
14,1,6,3,40,,1,1,1,121,1500
15,1,6,6,50,,1,1,1,121,15000
16,1,6,5,50,,1,1,1,121,6000
