id,group_number,res_type,res_id,res_number,res_data,rate,stock,money_type,money_value,number_item_can_buy
1,1,2,30,3,,3,-1,1,100,1
,,2,30,2,,1,-1,0,100000,1
,,2,30,4,,1,-1,0,200000,1
2,1,2,10,20000,,1,-1,1,100,1
3,1,2,51,4,,1,-1,1,600,2
4,1,2,51,1,,1,-1,1,125,1
5,4,3,1013,1,,1,1,1,100,1
,,3,2013,1,,1,1,1,100,1
,,3,3013,1,,1,1,1,100,1
,,3,4013,1,,1,1,1,100,1
,,3,1012,1,,3,-1,1,20,1
,,3,2012,1,,3,-1,1,20,1
,,3,3012,1,,3,-1,1,20,1
,,3,4012,1,,3,-1,1,20,1
,,3,1011,1,,6,-1,0,20000,1
,,3,2011,1,,6,-1,0,20000,1
,,3,3011,1,,6,-1,0,20000,1
,,3,4011,1,,6,-1,0,20000,1
6,2,2,60,1,,1,1,1,500,1
,,2,31,1,,1,1,1,400,1
,,2,61,50,,1,-1,1,400,1
7,1,2,11,40,,1,-1,1,100,1
8,1,2,91,1,,2,-1,1,200,1
,,2,90,1,,1,-1,0,100000,1
,,2,90,2,,1,-1,0,300000,1
