boss_id,type,attack,defense,hp,speed,pure_damage,skill_damage,crit_rate,crit_damage,cc_resistance,armor_break,accuracy,dodge,damage_reduction,reduce_damage_reduction
1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,0,1,1,2,1,1,1,1,1,1,1,1,1,1,0
,1,1,1,2,1,1,1,1,1,1,1,1,1,1,0
,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,0,1,1,3,1,1,1,1,1,1,1,1,1,1,0
,1,1,1,3,1,1,1,1,1,1,1,1,1,1,0
,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4,0,1,1,4,1,1,1,1,1,1,1,1,1,1,0
,1,1,1,4,1,1,1,1,1,1,1,1,1,1,0
,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5,0,1,1,5,1,1,1,1,1,1,1,1,1,1,0
,1,1,1,5,1,1,1,1,1,1,1,1,1,1,0
,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6,0,1,1,6,1,1,1,1,1,1,1,1,1,1,0
,1,1,1,6,1,1,1,1,1,1,1,1,1,1,0
,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7,0,1,1,7,1,1,1,1,1,1,1,1,1,1,0
,1,1,1,7,1,1,1,1,1,1,1,1,1,1,0
,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8,0,1,1,8,1,1,1,1,1,1,1,1,1,1,0
,1,1,1,8,1,1,1,1,1,1,1,1,1,1,0
,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
9,0,1,1,9,1,1,1,1,1,1,1,1,1,1,0
,1,1,1,9,1,1,1,1,1,1,1,1,1,1,0
,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10,0,1,1,10,1,1,1,1,1,1,1,1,1,1,0
,1,1,1,10,1,1,1,1,1,1,1,1,1,1,0
,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11,0,1,1,11,1,1,1,1,1,1,1,1,1,1,0
,1,1,1,11,1,1,1,1,1,1,1,1,1,1,0
,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
12,0,1,1,12,1,1,1,1,1,1,1,1,1,1,0
,1,1,1,12,1,1,1,1,1,1,1,1,1,1,0
,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13,0,1,1,13,1,1,1,1,1,1,1,1,1,1,0
,1,1,1,13,1,1,1,1,1,1,1,1,1,1,0
,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
14,0,1,1,14,1,1,1,1,1,1,1,1,1,1,0
,1,1,1,14,1,1,1,1,1,1,1,1,1,1,0
,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
15,0,1,1,15,1,1,1,1,1,1,1,1,1,1,0
,1,1,1,15,1,1,1,1,1,1,1,1,1,1,0
,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
502,0,2,1,5,1,1,1,1,1,1,1,1,1,1,0
,1,2,1,5,1,1,1,1,1,1,1,1,1,1,0
,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
503,0,3,1,5,1,1,1,1,1,1,1,1,1,1,0
,1,3,1,5,1,1,1,1,1,1,1,1,1,1,0
,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
405,0,4,1,5,1,1,1,1,1,1,1,1,1,1,0
,1,4,1,5,1,1,1,1,1,1,1,1,1,1,0
,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
505,0,5,1,5,1,1,1,1,1,1,1,1,1,1,0
,1,5,1,5,1,1,1,1,1,1,1,1,1,1,0
,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
20,0,1,1,20,1,1,1,1,1,1,1,1,1,1,0
,1,1,1,20,1,1,1,1,1,1,1,1,1,1,0
,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
25,0,1,1,25,1,1,1,1,1,1,1,1,1,1,0
,1,1,1,25,1,1,1,1,1,1,1,1,1,1,0
,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
100,0,1,1,100,1,1,1,1,1,1,1,1,1,1,0
,1,1,1,100,1,1,1,1,1,1,1,1,1,1,0
,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
50,0,1,1,50,1,1,1,1,1,1,1,1,1,1,0
,1,1,1,50,1,1,1,1,1,1,1,1,1,1,0
,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
200,0,1,1,200,1,1,1,1,1,1,1,1,1,1,0
,1,1,1,200,1,1,1,1,1,1,1,1,1,1,0
,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1000,0,1,1,1000,1,1,1,1,1,1,1,1,1,1,0
,1,1,1,1000,1,1,1,1,1,1,1,1,1,1,0
,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10000,0,1,1,10000,1,1,1,1,1,1,1,1,1,1,0
,1,1,1,10000,1,1,1,1,1,1,1,1,1,1,0
,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2010000,0,2,1,10000,1,1,1,1,1,1,1,1,1,1,0
,1,2,1,10000,1,1,1,1,1,1,1,1,1,1,0
,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
305000,0,3,1,5000,1,1,1,1,1,1,1,1,1,1,0
,1,3,1,5000,1,1,1,1,1,1,1,1,1,1,0
,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
302500,0,3,1,2500,1,1,1,1,1,1,1,1,1,1,0
,1,3,1,2500,1,1,1,1,1,1,1,1,1,1,0
,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
402500,0,4,1,2500,1,1,1,1,1,1,1,1,1,1,0
,1,4,1,2500,1,1,1,1,1,1,1,1,1,1,0
,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
202500,0,2,1,2500,1,1,1,1,1,1,1,1,1,1,0
,1,2,1,2500,1,1,1,1,1,1,1,1,1,1,0
103000,0,1,1,3000,1,1,1,1,1,1,1,1,1,1,0
,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,0
401500,0,4,1,1500,1,1,1,1,1,1,1,1,1,1,0
,1,4,1,1500,1,1,1,1,1,1,1,1,1,1,0
403500,0,4,1,3500,1,1,1,1,1,1,1,1,1,1,0
,1,4,1,3500,1,1,1,1,1,1,1,1,1,1,0
405000,0,4,1,5000,1,1,1,1,1,1,1,1,1,1,0
,1,4,1,5000,1,1,1,1,1,1,1,1,1,1,0
404500,0,4,1,4500,1,1,1,1,1,1,1,1,1,1,0
