id_team_item,item_type,hero_slot_1,hero_slot_2,hero_slot_3,hero_slot_4,hero_slot_5
101,1,1013,1012,1012,1012,1012
,2,2013,2012,2012,2012,2012
,3,3013,3012,3012,3012,3012
,4,4013,4012,4012,4012,4012
,5,-1,-1,-1,-1,-1
,6,7011,6011,6011,6011,6011
,7,-1,-1,-1,-1,-1
102,1,1013,1013,1012,1012,1012
,2,2013,2013,2012,2012,2012
,3,3013,3013,3012,3012,3012
,4,4013,4013,4012,4012,4012
,5,-1,-1,-1,-1,-1
,6,7011,7011,6011,6011,6011
,7,-1,-1,-1,-1,-1
103,1,1013,1013,1013,1012,1012
,2,2013,2013,2013,2012,2012
,3,3013,3013,3013,3012,3012
,4,4013,4013,4013,4012,4012
,5,-1,-1,-1,-1,-1
,6,7011,7011,7011,6011,6011
,7,-1,-1,-1,-1,-1
104,1,1013,1013,1013,1013,1012
,2,2013,2013,2013,2013,2012
,3,3013,3013,3013,3013,3012
,4,4013,4013,4013,4013,4012
,5,-1,-1,-1,-1,-1
,6,7011,7011,7011,7011,6011
,7,-1,-1,-1,-1,-1
105,1,1013,1013,1013,1013,1013
,2,2013,2013,2013,2013,2013
,3,3013,3013,3013,3013,3013
,4,4013,4013,4013,4013,4013
,5,-1,-1,-1,-1,-1
,6,7011,7011,7011,7011,7011
,7,-1,-1,-1,-1,-1
106,1,1014,1013,1013,1013,1013
,2,2014,2013,2013,2013,2013
,3,3014,3013,3013,3013,3013
,4,4014,4013,4013,4013,4013
,5,-1,-1,-1,-1,-1
,6,8011,7011,7011,7011,7011
,7,-1,-1,-1,-1,-1
107,1,1014,1014,1013,1013,1013
,2,2014,2014,2013,2013,2013
,3,3014,3014,3013,3013,3013
,4,4014,4014,4013,4013,4013
,5,-1,-1,-1,-1,-1
,6,8011,8011,7011,7011,7011
,7,-1,-1,-1,-1,-1
108,1,1014,1014,1014,1013,1013
,2,2014,2014,2014,2013,2013
,3,3014,3014,3014,3013,3013
,4,4014,4014,4014,4013,4013
,5,-1,-1,-1,-1,-1
,6,8011,8011,8011,7011,7011
,7,-1,-1,-1,-1,-1
109,1,1014,1014,1014,1014,1013
,2,2014,2014,2014,2014,2013
,3,3014,3014,3014,3014,3013
,4,4014,4014,4014,4014,4013
,5,-1,-1,-1,-1,-1
,6,8011,8011,8011,8011,7011
,7,-1,-1,-1,-1,-1
110,1,1014,1014,1014,1014,1014
,2,2014,2014,2014,2014,2014
,3,3014,3014,3014,3014,3014
,4,4014,4014,4014,4014,4014
,5,-1,-1,-1,-1,-1
,6,8011,8011,8011,8011,8011
,7,-1,-1,-1,-1,-1
111,1,1015,1014,1014,1014,1014
,2,2015,2014,2014,2014,2014
,3,3015,3014,3014,3014,3014
,4,4015,4014,4014,4014,4014
,5,-1,-1,-1,-1,-1
,6,9011,8011,8011,8011,8011
,7,-1,-1,-1,-1,-1
112,1,1015,1015,1014,1014,1014
,2,2015,2015,2014,2014,2014
,3,3015,3015,3014,3014,3014
,4,4015,4015,4014,4014,4014
,5,-1,-1,-1,-1,-1
,6,9011,9011,8011,8011,8011
,7,-1,-1,-1,-1,-1
113,1,1015,1015,1015,1014,1014
,2,2015,2015,2015,2014,2014
,3,3015,3015,3015,3014,3014
,4,4015,4015,4015,4014,4014
,5,-1,-1,-1,-1,-1
,6,9011,9011,9011,8011,8011
,7,-1,-1,-1,-1,-1
114,1,1015,1015,1015,1015,1014
,2,2015,2015,2015,2015,2014
,3,3015,3015,3015,3015,3014
,4,4015,4015,4015,4015,4014
,5,-1,-1,-1,-1,-1
,6,9011,9011,9011,9011,8011
,7,-1,-1,-1,-1,-1
115,1,1015,1015,1015,1015,1015
,2,2015,2015,2015,2015,2015
,3,3015,3015,3015,3015,3015
,4,4015,4015,4015,4015,4015
,5,-1,-1,-1,-1,-1
,6,9011,9011,9011,9011,9011
,7,-1,-1,-1,-1,-1
116,1,1016,1015,1015,1015,1015
,2,2016,2015,2015,2015,2015
,3,3016,3015,3015,3015,3015
,4,4016,4015,4015,4015,4015
,5,-1,-1,-1,-1,-1
,6,10011,9011,9011,9011,9011
,7,-1,-1,-1,-1,-1
117,1,1016,1016,1015,1015,1015
,2,2016,2016,2015,2015,2015
,3,3016,3016,3015,3015,3015
,4,4016,4016,4015,4015,4015
,5,-1,-1,-1,-1,-1
,6,10011,10011,9011,9011,9011
,7,-1,-1,-1,-1,-1
118,1,1016,1016,1016,1015,1015
,2,2016,2016,2016,2015,2015
,3,3016,3016,3016,3015,3015
,4,4016,4016,4016,4015,4015
,5,-1,-1,-1,-1,-1
,6,10011,10011,10011,9011,9011
,7,-1,-1,-1,-1,-1
119,1,1016,1016,1016,1016,1015
,2,2016,2016,2016,2016,2015
,3,3016,3016,3016,3016,3015
,4,4016,4016,4016,4016,4015
,5,-1,-1,-1,-1,-1
,6,10011,10011,10011,10011,9011
,7,-1,-1,-1,-1,-1
120,1,1016,1016,1016,1016,1016
