id_team_mastery,hero_class,mastery_1,mastery_2,mastery_3,mastery_4,mastery_5,mastery_6
1,1,1,1,1,1,1,1
,2,1,1,1,1,1,1
,3,1,1,1,1,1,1
,4,1,1,1,1,1,1
,5,1,1,1,1,1,1
2,1,2,2,2,2,2,2
,2,2,2,2,2,2,2
,3,2,2,2,2,2,2
,4,2,2,2,2,2,2
,5,2,2,2,2,2,2
3,1,3,3,3,3,3,3
,2,3,3,3,3,3,3
,3,3,3,3,3,3,3
,4,3,3,3,3,3,3
,5,3,3,3,3,3,3
4,1,4,4,4,4,4,4
,2,4,4,4,4,4,4
,3,4,4,4,4,4,4
,4,4,4,4,4,4,4
,5,4,4,4,4,4,4
5,1,5,5,5,5,5,5
,2,5,5,5,5,5,5
,3,5,5,5,5,5,5
,4,5,5,5,5,5,5
,5,5,5,5,5,5,5
6,1,6,6,6,6,6,6
,2,6,6,6,6,6,6
,3,6,6,6,6,6,6
,4,6,6,6,6,6,6
,5,6,6,6,6,6,6
7,1,7,7,7,7,7,7
,2,7,7,7,7,7,7
,3,7,7,7,7,7,7
,4,7,7,7,7,7,7
,5,7,7,7,7,7,7
8,1,8,8,8,8,8,8
,2,8,8,8,8,8,8
,3,8,8,8,8,8,8
,4,8,8,8,8,8,8
,5,8,8,8,8,8,8
9,1,9,9,9,9,9,9
,2,9,9,9,9,9,9
,3,9,9,9,9,9,9
,4,9,9,9,9,9,9
,5,9,9,9,9,9,9
10,1,10,10,10,10,10,10
,2,10,10,10,10,10,10
,3,10,10,10,10,10,10
,4,10,10,10,10,10,10
,5,10,10,10,10,10,10
11,1,11,11,11,11,11,11
,2,11,11,11,11,11,11
,3,11,11,11,11,11,11
,4,11,11,11,11,11,11
,5,11,11,11,11,11,11
12,1,12,12,12,12,12,12
,2,12,12,12,12,12,12
,3,12,12,12,12,12,12
,4,12,12,12,12,12,12
,5,12,12,12,12,12,12
13,1,13,13,13,13,13,13
,2,13,13,13,13,13,13
,3,13,13,13,13,13,13
,4,13,13,13,13,13,13
,5,13,13,13,13,13,13
14,1,14,14,14,14,14,14
,2,14,14,14,14,14,14
,3,14,14,14,14,14,14
,4,14,14,14,14,14,14
,5,14,14,14,14,14,14
15,1,15,15,15,15,15,15
,2,15,15,15,15,15,15
,3,15,15,15,15,15,15
,4,15,15,15,15,15,15
,5,15,15,15,15,15,15
16,1,16,16,16,16,16,16
,2,16,16,16,16,16,16
,3,16,16,16,16,16,16
,4,16,16,16,16,16,16
,5,16,16,16,16,16,16
17,1,17,17,17,17,17,17
,2,17,17,17,17,17,17
,3,17,17,17,17,17,17
,4,17,17,17,17,17,17
,5,17,17,17,17,17,17
18,1,18,18,18,18,18,18
,2,18,18,18,18,18,18
,3,18,18,18,18,18,18
,4,18,18,18,18,18,18
,5,18,18,18,18,18,18
19,1,19,19,19,19,19,19
,2,19,19,19,19,19,19
,3,19,19,19,19,19,19
,4,19,19,19,19,19,19
,5,19,19,19,19,19,19
20,1,20,20,20,20,20,20
,2,20,20,20,20,20,20
,3,20,20,20,20,20,20
,4,20,20,20,20,20,20
,5,20,20,20,20,20,20
