id,sg_product_id,sg_product_web_id,sungame_ios_package_name,sungame_android_package_name,ios_package_name,android_package_name,res_type,res_id,res_number,res_data,reset_type,stock,price,is_free,view_type
18,SE138,WEB_SE138,com.se.sungame.regression,com.sungame.summoners.regression,com.fansipan.summoners.era.regression,com.fansipan.summoners.era.regression,2,25,5,,0,2,14.99,FALSE,32
,,,,,,,2,60,3,,,,,,
,,,,,,,2,2,750,,,,,,
1,SE018,WEB_SE018,com.se.sungame.idle_weekly_package_1,com.sungame.summoners.era.idle_weekly_package_1,com.fansipan.summoners.era.idle_weekly_package_1,com.fansipan.summoners.era.idle_weekly_package_1,2,51,10,,0,3,14.99,FALSE,32
,,,,,,,17,202,4,,,,,,
,,,,,,,17,203,4,,,,,,
,,,,,,,2,2,750,,,,,,
2,SE019,WEB_SE019,com.se.sungame.idle_weekly_package_2,com.sungame.summoners.era.idle_weekly_package_2,com.fansipan.summoners.era.idle_weekly_package_2,com.fansipan.summoners.era.idle_weekly_package_2,2,51,20,,0,3,29.99,FALSE,32
,,,,,,,17,202,8,,,,,,
,,,,,,,17,203,8,,,,,,
,,,,,,,2,2,1500,,,,,,
3,SE020,WEB_SE020,com.se.sungame.idle_weekly_package_3,com.sungame.summoners.era.idle_weekly_package_3,com.fansipan.summoners.era.idle_weekly_package_3,com.fansipan.summoners.era.idle_weekly_package_3,2,60,10,,0,2,49.99,FALSE,32
,,,,,,,17,202,16,,,,,,
,,,,,,,17,203,16,,,,,,
,,,,,,,2,2,2500,,,,,,
4,SE021,WEB_SE021,com.se.sungame.idle_weekly_package_4,com.sungame.summoners.era.idle_weekly_package_4,com.fansipan.summoners.era.idle_weekly_package_4,com.fansipan.summoners.era.idle_weekly_package_4,13,1,2,5,0,2,49.99,FALSE,32
,,,,,,,17,202,16,,,,,,
,,,,,,,17,203,16,,,,,,
,,,,,,,2,2,2500,,,,,,
5,SE117,WEB_SE117,com.se.sungame.idle_weekly_package_5,com.sungame.summoners.era.idle_weekly_package_5,com.fansipan.summoners.era.idle_weekly_package_5,com.fansipan.summoners.era.idle_weekly_package_5,2,110,2500,,0,1,19.99,FALSE,32
,,,,,,,17,202,6,,,,,,
,,,,,,,17,203,6,,,,,,
,,,,,,,2,2,1000,,,,,,
6,SE022,WEB_SE022,com.se.sungame.idle_monthly_package_1,com.sungame.summoners.era.idle_monthly_package_1,com.fansipan.summoners.era.idle_monthly_package_1,com.fansipan.summoners.era.idle_monthly_package_1,2,1,260,,1,1,4.99,FALSE,33
,,,,,,,2,51,5,,,,,,
,,,,,,,17,103,8,,,,,,
,,,,,,,2,2,250,,,,,,
7,SE023,WEB_SE023,com.se.sungame.idle_monthly_package_2,com.sungame.summoners.era.idle_monthly_package_2,com.fansipan.summoners.era.idle_monthly_package_2,com.fansipan.summoners.era.idle_monthly_package_2,2,1,520,,1,1,9.99,FALSE,33
,,,,,,,2,51,10,,,,,,
,,,,,,,17,202,8,,,,,,
,,,,,,,2,2,500,,,,,,
8,SE024,WEB_SE024,com.se.sungame.idle_monthly_package_3,com.sungame.summoners.era.idle_monthly_package_3,com.fansipan.summoners.era.idle_monthly_package_3,com.fansipan.summoners.era.idle_monthly_package_3,2,1,1040,,1,1,19.99,FALSE,33
,,,,,,,2,51,20,,,,,,
,,,,,,,17,203,16,,,,,,
,,,,,,,2,2,1000,,,,,,
9,SE025,WEB_SE025,com.se.sungame.idle_monthly_package_4,com.sungame.summoners.era.idle_monthly_package_4,com.fansipan.summoners.era.idle_monthly_package_4,com.fansipan.summoners.era.idle_monthly_package_4,2,1,2600,,1,1,49.99,FALSE,33
,,,,,,,2,51,50,,,,,,
,,,,,,,17,302,8,,,,,,
,,,,,,,2,2,2500,,,,,,
10,SE026,WEB_SE026,com.se.sungame.idle_monthly_package_5,com.sungame.summoners.era.idle_monthly_package_5,com.fansipan.summoners.era.idle_monthly_package_5,com.fansipan.summoners.era.idle_monthly_package_5,2,1,3640,,1,1,69.99,FALSE,33
,,,,,,,2,51,40,,,,,,
,,,,,,,2,60,10,,,,,,
,,,,,,,2,2,3500,,,,,,
11,SE027,WEB_SE027,com.se.sungame.idle_monthly_package_6,com.sungame.summoners.era.idle_monthly_package_6,com.fansipan.summoners.era.idle_monthly_package_6,com.fansipan.summoners.era.idle_monthly_package_6,2,1,5200,,1,1,99.99,FALSE,33
,,,,,,,2,51,50,,,,,,
,,,,,,,2,60,20,,,,,,
,,,,,,,2,2,5000,,,,,,
19,SE279,WEB_SE279,com.se.sungame.monthly_pack_magical_crystal,com.sungame.summoners.era.magical_crystal,com.fansipan.summoners.era.monthly_pack_magical_crystal,com.fansipan.summoners.era.monthly_pack_magical_crystal,2,15,15,,1,2,19.99,FALSE,33
,,,,,,,2,1,900,,,,,,
,,,,,,,2,2,1000,,,,,,
12,,,com.se.sungame.idle_daily_package_1,com.sungame.summoners.era.idle_daily_package_1,com.fansipan.summoners.era.idle_daily_package_1,com.fansipan.summoners.era.idle_daily_package_1,2,1,20,,2,1,0.99,TRUE,31
,,,,,,,2,141,1,,,,,,
13,SE028,WEB_SE028,com.se.sungame.idle_9,com.sungame.summoners.era.idle_daily_package_2,com.fansipan.summoners.era.idle_9,com.fansipan.summoners.era.idle_daily_package_2,2,1,60,,2,1,0.99,FALSE,31
,,,,,,,2,141,3,,,,,,
,,,,,,,2,2,50,,,,,,
14,SE029,WEB_SE029,com.se.sungame.idle_10,com.sungame.summoners.era.idle_daily_package_3,com.fansipan.summoners.era.idle_10,com.fansipan.summoners.era.idle_daily_package_3,2,1,260,,2,1,4.99,FALSE,31
,,,,,,,17,203,12,,,,,,
,,,,,,,2,2,250,,,,,,
15,SE030,WEB_SE030,com.se.sungame.idle_11,com.sungame.summoners.era.idle_daily_package_4,com.fansipan.summoners.era.idle_11,com.fansipan.summoners.era.idle_daily_package_4,2,1,260,,2,1,4.99,FALSE,31
,,,,,,,17,202,12,,,,,,
,,,,,,,2,2,250,,,,,,
16,SE031,WEB_SE031,com.se.sungame.idle_12,com.sungame.summoners.era.idle_daily_package_5,com.fansipan.summoners.era.idle_12,com.fansipan.summoners.era.idle_daily_package_5,2,1,260,,2,1,4.99,FALSE,31
,,,,,,,2,80,5000,,,,,,
,,,,,,,2,2,250,,,,,,
17,SE032,WEB_SE032,com.se.sungame.idle_13,com.sungame.summoners.era.idle_daily_package_6,com.fansipan.summoners.era.idle_13,com.fansipan.summoners.era.idle_daily_package_6,2,1,260,,2,1,4.99,FALSE,31
,,,,,,,2,51,5,,,,,,
,,,,,,,2,2,250,,,,,,
