group,duration,interval_time,pack_id,quest_id,view_type,auto_show,priority
1,1209600,-1,1,2,7,TRUE,1
,,,2,,,,
,,,3,,,,
,,,4,,,,
2,7800,-1,5,1,2,TRUE,2
,,,,3,,,
3,7800,-1,6,1,2,TRUE,3
,,,,4,,,
,,,,7,,,
4,15200,-1,7,1,2,TRUE,4
,,,,5,,,
,,,,8,,,
5,7800,-1,8,6,6,TRUE,5
6,7800,-1,9,9,9,TRUE,6
,,,,10,,,
7,7800,-1,10,9,9,TRUE,7
,,,,11,,,
8,7800,-1,11,9,9,TRUE,8
,,,,12,,,
9,7800,-1,12,9,9,TRUE,9
,,,,13,,,
10,7800,-1,13,9,9,TRUE,10
,,,,14,,,
11,7800,-1,14,9,9,TRUE,11
,,,,15,,,
12,7800,-1,15,9,9,TRUE,12
,,,,16,,,
13,14400,-1,16,17,46,TRUE,13
14,7200,-1,17,18,46,TRUE,14
15,86400,-1,18,19,46,TRUE,15
16,7200,-1,19,20,46,TRUE,16
17,7200,-1,20,21,46,TRUE,17
18,7200,-1,21,22,46,TRUE,18
19,7200,-1,22,24,46,TRUE,19
20,604800,-1,23,25,12,TRUE,1
,,,24,,,,
,,,25,,,,
