id,sg_product_id,sg_product_web_id,sungame_ios_package_name,sungame_android_package_name,ios_package_name,android_package_name,res_type,res_id,res_number,res_data,is_selection_pack,slot_id,selection_id,selection_res_type,selection_res_id,selection_res_number,selection_res_data,price,profit,stock,origin_price_pack_id
1,SE041,,com.se.sungame.idle_starter_pack_1,com.sungame.summoners.era.idle_starter_pack_1,com.fansipan.summoners.era.idle_starter_pack_1,com.fansipan.summoners.era.idle_starter_pack_1,3,1017,1,,FALSE,,,,,,,9.99,400,1,
,,,,,,,3,2017,1,,,,,,,,,,,,
,,,,,,,3,3017,1,,,,,,,,,,,,
,,,,,,,3,4017,1,,,,,,,,,,,,
,,,,,,,2,1,500,,,,,,,,,,,,
,,,,,,,2,2,500,,,,,,,,,,,,
2,SE042,,com.se.sungame.idle_starter_pack_2,com.sungame.summoners.era.idle_starter_pack_2,com.fansipan.summoners.era.idle_starter_pack_2,com.fansipan.summoners.era.idle_starter_pack_2,7,1000205,50,,FALSE,,,,,,,19.99,485,1,
,,,,,,,2,1,1000,,,,,,,,,,,,
,,,,,,,2,2,1000,,,,,,,,,,,,
3,SE043,,com.se.sungame.idle_starter_pack_3,com.sungame.summoners.era.idle_starter_pack_3,com.fansipan.summoners.era.idle_starter_pack_3,com.fansipan.summoners.era.idle_starter_pack_3,7,2000105,50,,FALSE,,,,,,,49.99,904,1,
,,,,,,,4,24005,1,,,,,,,,,,,,
,,,,,,,2,1,2600,,,,,,,,,,,,
,,,,,,,2,2,2500,,,,,,,,,,,,
4,SE044,,com.se.sungame.idle_starter_pack_4,com.sungame.summoners.era.idle_starter_pack_4,com.fansipan.summoners.era.idle_starter_pack_4,com.fansipan.summoners.era.idle_starter_pack_4,7,6000305,50,,FALSE,,,,,,,99.99,987,1,
,,,,,,,4,33005,1,,,,,,,,,,,,
,,,,,,,2,1,5200,,,,,,,,,,,,
,,,,,,,2,2,5000,,,,,,,,,,,,
5,SE045,,com.se.sungame.idle_first_purchase_1,com.sungame.summoners.era.idle_first_purchase_1,com.fansipan.summoners.era.idle_first_purchase_1,com.fansipan.summoners.era.idle_first_purchase_1,2,51,30,,FALSE,,,,,,,19.99,721,1,
,,,,,,,2,1,1500,,,,,,,,,,,,
,,,,,,,2,2,1000,,,,,,,,,,,,
6,SE046,,com.se.sungame.idle_first_purchase_2,com.sungame.summoners.era.idle_first_purchase_2,com.fansipan.summoners.era.idle_first_purchase_2,com.fansipan.summoners.era.idle_first_purchase_2,2,51,15,,FALSE,,,,,,,9.99,731,1,
,,,,,,,2,1,800,,,,,,,,,,,,
,,,,,,,2,2,500,,,,,,,,,,,,
7,SE047,,com.se.sungame.idle_first_purchase_3,com.sungame.summoners.era.idle_first_purchase_3,com.fansipan.summoners.era.idle_first_purchase_3,com.fansipan.summoners.era.idle_first_purchase_3,2,51,10,,FALSE,,,,,,,4.99,924,1,
,,,,,,,2,1,400,,,,,,,,,,,,
,,,,,,,2,2,250,,,,,,,,,,,,
8,SE048,,com.se.sungame.idle_flash_sale_1,com.sungame.summoners.era.idle_flash_sale_1,com.fansipan.summoners.era.idle_flash_sale_1,com.fansipan.summoners.era.idle_flash_sale_1,7,4000105,50,,FALSE,,,,,,,19.99,999,1,
,,,,,,,2,1,1040,,,,,,,,,,,,
,,,,,,,2,2,1000,,,,,,,,,,,,
9,SE049,,com.se.sungame.idle_14,com.sungame.summoner.era.idle_master_blacksmith_1,com.fansipan.summoners.era.idle_14,com.fansipan.summoner.era.idle_master_blacksmith_1,3,1013,1,,FALSE,,,,,,,9.99,388,1,
,,,,,,,3,2013,1,,,,,,,,,,,,
,,,,,,,3,3013,1,,,,,,,,,,,,
,,,,,,,3,4013,1,,,,,,,,,,,,
,,,,,,,2,1,500,,,,,,,,,,,,
,,,,,,,2,2,500,,,,,,,,,,,,
10,SE050,,com.se.sungame.idle_15,com.sungame.summoner.era.idle_master_blacksmith_2,com.fansipan.summoners.era.idle_15,com.fansipan.summoner.era.idle_master_blacksmith_2,3,1015,1,,FALSE,,,,,,,9.99,1238,1,
