quest_id,quest_type,requirement_1,requirement_2,requirement_3,requirement_4,requirement_5,requirement_6
1,2701,1,1,,,,
2,500,102004,,,,,
3,500,104004,,,,,
4,500,202009,,,,,
5,500,204009,,,,,
6,1600,25,,,,,
7,2700,5,3,,,,
8,2700,6,3,,,,
9,506,2,0,,,,
10,500,103001,,,,,
11,500,104015,,,,,
12,500,105019,,,,,
13,500,202015,,,,,
14,500,203015,,,,,
15,500,205015,,,,,
16,500,206020,,,,,
17,500,101010,,,,,
18,1702,11,,,,,
19,101,1,7,,,,6
20,2001,500,80,,,,
21,190,11,,,,,
22,190,11,2,,,,
23,500,102001,,,,,
24,506,1,0,,,,
25,500,101002,,,,,
