remote_config_key,remote_config_value_type
arena_be_attacked_notification,1
guild_member_change_time,4
guild_check_in_dungeon_season,4
guild_last_created_application,4
arena_season_reward_noti,2
arena_record_noti,3
fragment_noti,3
dungeon_check_in_open,4
dungeon_check_in_shop,4
auto_show_first_purchase_id,2
auto_show_flash_sale_id,2
auto_show_trial_pack_by_campaign,2
user_rate,4
auto_show_event_login,4
unlock_battle_speed_flag,1
auto_show_starter_pack_group_id,2
event_server_open_noti,3
last_guild_war_season_check_out,4
guild_ward_previous,3
campaign,2
summon,2
watch_ads,2
