day,quest_id,quest_type,requirement_1,requirement_2,requirement_3,requirement_4,requirement_5,res_type,res_id,res_number,res_data,feature_mapping,sort_id,is_calculate_when_lock
1,10101,400,15,,,,,2,135,20,,12,,FALSE
,10102,1600,40,,,,,2,135,20,,5,,TRUE
,10103,500,104025,,,,,2,135,10,,1,,TRUE
,10104,600,10,0,,,,2,135,20,,11,,FALSE
,10105,902,4,,,,,2,135,10,,4,,FALSE
2,10106,400,15,,,,,2,135,20,,12,,FALSE
,10107,822,1,,,,,2,135,20,,10,,FALSE
,10108,700,1,,,,,2,135,10,,6,,FALSE
,10109,2100,25,,,,,2,135,20,,9,,FALSE
,10110,1100,2,,,,,2,135,10,,8,,FALSE
3,10111,400,15,,,,,2,135,20,,12,,FALSE
,10112,801,1,,,,,2,135,20,,10,,FALSE
,10113,200,3,,,,,2,135,20,,13,,FALSE
,10114,2302,1,4,,,,2,135,10,,1,,FALSE
,10115,600,3,1,,,,2,135,10,,11,,FALSE
4,10116,400,15,,,,,2,135,10,,12,,FALSE
,10117,822,1,,,,,2,135,10,,10,,FALSE
,10118,2400,4,,,,,2,135,20,,16,,TRUE
,10119,500,205030,,,,,2,135,20,,1,,TRUE
,10120,2500,6,,,,,2,135,20,,18,,FALSE
5,10121,400,15,,,,,2,135,10,,12,,FALSE
,10122,801,1,,,,,2,135,10,,10,,FALSE
,10123,2100,50,,,,,2,135,20,,9,,FALSE
,10124,200,3,,,,,2,135,10,,13,,FALSE
,10125,504,3600,,,,,2,135,20,,1,,FALSE
6,10126,400,15,,,,,2,135,10,,12,,FALSE
,10127,822,1,,,,,2,135,10,,10,,FALSE
,10128,1600,150,,,,,2,135,30,,5,,TRUE
,10129,1301,1,5,,,,2,135,30,,19,,TRUE
7,10130,400,15,,,,,2,135,10,,12,,FALSE
,10131,801,1,,,,,2,135,10,,10,,FALSE
,10132,200,3,,,,,2,135,10,,13,,FALSE
,10133,950,1,5,,,,2,135,30,,14,,TRUE
,10134,500,206035,,,,,2,135,30,,1,,TRUE
