name,star,type,attack,crit_rate,crit_damage,accuracy,pure_damage,skill_damage,armor_break
SummonerAssassin,1,0,475,0.1,1.5,886,0,0,0.2
,2,0,665,0.1,1.5,974,0,0,0.2
,3,0,950,0.1,1.5,1063,0,0,0.2
,4,0,1330,0.1,1.5,1152,0,0,0.2
,5,0,1805,0.1,1.5,1240,0,0,0.2
,6,0,2375,0.1,1.5,1329,0,0,0.2
,7,0,3040,0.1,1.5,1417,0,0,0.2
,8,0,3800,0.1,1.5,1506,0,0,0.2
,9,0,4655,0.1,1.5,1594,0,0,0.2
,10,0,5605,0.1,1.5,1683,0,0,0.2
,11,0,6650,0.1,1.5,1772,0,0,0.2
,12,0,7790,0.1,1.5,1860,0,0,0.2
,6,1,38,0,0,0,0,0,0
,12,1,48,0,0,0,0,0,0
