name,star,type,attack,crit_rate,crit_damage,accuracy,pure_damage,skill_damage,armor_break
SummonerPriest,1,0,425,0.1,1.5,789,0,0.2,0
,2,0,595,0.1,1.5,868,0,0.2,0
,3,0,850,0.1,1.5,947,0,0.2,0
,4,0,1190,0.1,1.5,1026,0,0.2,0
,5,0,1615,0.1,1.5,1105,0,0.2,0
,6,0,2125,0.1,1.5,1184,0,0.2,0
,7,0,2720,0.1,1.5,1263,0,0.2,0
,8,0,3400,0.1,1.5,1342,0,0.2,0
,9,0,4165,0.1,1.5,1420,0,0.2,0
,10,0,5015,0.1,1.5,1499,0,0.2,0
,11,0,5950,0.1,1.5,1578,0,0.2,0
,12,0,6970,0.1,1.5,1657,0,0.2,0
,6,1,34,0,0,0,0,0,0
,12,1,43,0,0,0,0,0,0
